Key	Value	Comment
CurrencyItem1	62802	Home screen and character currency bar items
CurrencyItem2		Home screen and character currency bar items
CurrencyItemOther1	62803	Shop and inventory currency bar items
CurrencyItemOther2	1	Shop and inventory currency bar items
CurrencyItemOther3		Shop and inventory currency bar items
GetPluginSkipId1	20085	Skip to Ultralimit Simulation level-up screen Add-on obtaining 1
GetPluginSkipId2	20086	Skip to Ultralimit Simulation level-up screen Add-on obtaining 2
GachaSkipId	20082	Draw redirect id
RoleTransfiniteRedDotPluginStarLevel	4	Character Ultralimit Simulation red Add-on rank
RoleLevelUpPluginStarLevel	5	Threshold tips for the rank required for character Ultralimit Simulation level-up
GachaItemId	62802	Item ID required for draws (for blue point judgment)
GachaNeedItemCount	200	Items required for a single draw (for blue point judgment)
