Id	PluginsDropGroupId	DropPlugins
1	10001	18100071
2	10001	18100081
3	10001	18100091
4	10001	18100101
5	10001	18100111
6	10001	18100121
7	10001	18100131
8	10001	18100141
9	10001	18100151
10	20001	18100072
11	20001	18100082
12	20001	18100092
13	20001	18100102
14	20001	18100112
15	20001	18100122
16	20001	18100132
17	20001	18100142
18	20001	18100152
19	30001	18100073
20	30001	18100083
21	30001	18100093
22	30001	18100103
23	30001	18100113
24	30001	18100123
25	30001	18100133
26	30001	18100143
27	30001	18100153
28	40001	18100014
29	40001	18100024
30	40001	18100034
31	40001	18100044
32	40001	18100054
33	40001	18100064
34	40001	18100074
35	40001	18100084
36	40001	18100094
37	40001	18100104
38	40001	18100114
39	40001	18100124
40	40001	18100134
41	40001	18100144
42	40001	18100154
43	40001	18101014
44	40001	18101024
45	40001	18101034
46	40001	18102014
47	40001	18102024
48	40001	18102034
49	40001	18103014
50	40001	18103024
51	40001	18103034
52	40001	18104014
53	40001	18104024
54	40001	18104034
55	40001	18105014
56	40001	18105024
57	40001	18105034
58	40001	18106014
59	40001	18106024
60	40001	18106034
61	40001	18107014
62	40001	18107024
63	40001	18107034
64	40001	18108014
65	40001	18108024
66	40001	18108034
67	40001	18109014
68	40001	18109024
69	40001	18109034
70	40001	18110014
71	40001	18110024
72	40001	18110034
73	40001	18111014
74	40001	18111024
75	40001	18111034
76	40001	18112014
77	40001	18112024
78	40001	18112034
79	40001	18113014
80	40001	18113024
81	40001	18113034
82	40001	18114014
83	40001	18114024
84	40001	18114034
85	40001	18115014
86	40001	18115024
87	40001	18115034
88	40001	18116014
89	40001	18116024
90	40001	18116034
91	40001	18117014
92	40001	18117024
93	40001	18117034
94	40001	18118014
95	40001	18118024
96	40001	18118034
97	40001	18119014
98	40001	18119024
99	40001	18119034
100	40001	18120014
101	40001	18120024
102	40001	18120034
103	40001	18121014
104	40001	18121024
105	40001	18121034
106	40001	18122014
107	40001	18122024
108	40001	18122034
109	40001	18123014
110	40001	18123024
111	40001	18123034
112	40001	18124014
113	40001	18124024
114	40001	18124034
115	40001	18125014
116	40001	18125024
117	40001	18125034
118	40001	18126014
119	40001	18126024
120	40001	18126034
121	40001	18127014
122	40001	18127024
123	40001	18127034
124	40001	18128014
125	40001	18128024
126	40001	18128034
127	40001	18129014
128	40001	18129024
129	40001	18129034
130	40001	18130014
131	40001	18130024
132	40001	18130034
133	40001	18131014
134	40001	18131024
135	40001	18131034
136	40001	18132014
137	40001	18132024
138	40001	18132034
139	40001	18133014
140	40001	18133024
141	40001	18133034
142	40001	18134014
143	40001	18134024
144	40001	18134034
145	40001	18135014
146	40001	18135024
147	40001	18135034
148	40001	18136014
149	40001	18136024
150	40001	18136034
151	50001	18101041
152	50001	18102041
153	50001	18103041
154	50001	18104041
155	50001	18105041
156	50001	18106041
157	50001	18107041
158	50001	18108041
159	50001	18109041
160	50001	18110041
161	50001	18111041
162	50001	18112041
163	50001	18113041
164	50001	18114041
165	50001	18115041
166	50001	18116041
167	50001	18117041
168	50001	18118041
169	50001	18119041
170	50001	18120041
171	50001	18121041
172	50001	18122041
173	50001	18123041
174	50001	18124041
175	50001	18125041
176	50001	18126041
177	50001	18127041
178	50001	18128041
179	50001	18129041
180	50001	18130041
181	50001	18131041
182	50001	18132041
183	50001	18133041
184	50001	18134041
185	50001	18135041
186	50001	18136041
