Id	EnhancerDropGroupId	DropEnhanceId
1	1001	200014
2	1001	200024
3	1001	200034
4	1001	200044
5	1001	200054
6	1001	200064
7	1001	200074
8	1001	200084
9	1001	200094
10	1001	200104
11	1001	200114
12	1001	200124
13	1001	200134
14	1001	200144
15	1001	200154
16	1001	201014
17	1001	201024
18	1001	201034
19	1001	202014
20	1001	202024
21	1001	202034
22	1001	203014
23	1001	203024
24	1001	203034
25	1001	204014
26	1001	204024
27	1001	204034
28	1001	205014
29	1001	205024
30	1001	205034
31	1001	206014
32	1001	206024
33	1001	206034
34	1001	207014
35	1001	207024
36	1001	207034
37	1001	208014
38	1001	208024
39	1001	208034
40	1001	209014
41	1001	209024
42	1001	209034
43	1001	210014
44	1001	210024
45	1001	210034
46	1001	211014
47	1001	211024
48	1001	211034
49	1001	212014
50	1001	212024
51	1001	212034
52	1001	213014
53	1001	213024
54	1001	213034
55	1001	214014
56	1001	214024
57	1001	214034
58	1001	215014
59	1001	215024
60	1001	215034
61	1001	216014
62	1001	216024
63	1001	216034
64	1001	217014
65	1001	217024
66	1001	217034
67	1001	218014
68	1001	218024
69	1001	218034
70	1001	219014
71	1001	219024
72	1001	219034
73	1001	220014
74	1001	220024
75	1001	220034
76	1001	221014
77	1001	221024
78	1001	221034
79	1001	222014
80	1001	222024
81	1001	222034
82	1001	223014
83	1001	223024
84	1001	223034
85	1001	224014
86	1001	224024
87	1001	224034
88	1001	225014
89	1001	225024
90	1001	225034
91	1001	226014
92	1001	226024
93	1001	226034
94	1001	227014
95	1001	227024
96	1001	227034
97	1001	228014
98	1001	228024
99	1001	228034
100	1001	229014
101	1001	229024
102	1001	229034
103	1001	230014
104	1001	230024
105	1001	230034
106	1001	231014
107	1001	231024
108	1001	231034
109	1001	232014
110	1001	232024
111	1001	232034
112	1001	233014
113	1001	233024
114	1001	233034
115	1001	234014
116	1001	234024
117	1001	234034
118	1001	235014
119	1001	235024
120	1001	235034
121	1001	236014
122	1001	236024
123	1001	236034
