ChapterId	ChapterName	ChapterEn	Bg	Difficult	OrderId	StageId[1]	StageId[2]	StageId[3]	StageId[4]	StageId[5]	StageId[6]	StageId[7]	StageId[8]	StageId[9]	StageId[10]	StageId[11]	StageId[12]	StageId[13]	StageId[14]	StageId[15]	StageId[16]	StageId[17]	StageId[18]	StageId[19]	StageId[20]	StageId[21]	StageId[22]	StageId[23]	StageId[24]	StageId[25]	StageId[26]	StageId[27]	StageId[28]	StageId[29]	StageId[30]	StageId[31]	TreasureId[1]	TreasureId[2]	TreasureId[3]	TreasureId[4]	PrefabName	ActivityCondition	ExploreGroupId	OpenCondition	ParallelAnimeGroupId[1]	ParallelAnimeGroupId[2]	MoveStageIndex[1]	MoveStageIndex[2]	MoveStageIndex[3]	DatumLinePrecent	ChapterTextColor[1]	ChapterTextColor[2]	ChapterTextColor[3]	ChapterTextColor[4]	LeftTimeTextColor[1]	LeftTimeTextColor[2]	LeftTimeTextColor[3]	LeftTimeTextColor[4]	StarProgressTextColor[1]	StarProgressTextColor[2]	StarProgressTextColor[3]	StarProgressTextColor[4]	SkipId[1]	SkipCondition[1]	SkipIcon[1]	SkipId[2]	SkipCondition[2]	SkipIcon[2]	SkipId[3]	SkipCondition[3]	SkipIcon[3]	SkipId[4]	SkipCondition[4]	SkipIcon[4]
1000	Prelude	Prelude	UiFubenMainMapTab.ChapterBg01A	1	0	10010001	10010002	10010003																													1000002	1000003	1000004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor00.prefab																																	
1001	Chapter 1	Graffiti Art	UiFubenMainMapTab.ChapterBg01A	1	1	10010101	10010102	10010103	10010104	10010201	10010202	10010203	10010204	10010301	10010302	10010303	10010304																				1001002	1001003	1001004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor01.prefab																																	
1002	Chapter 2	Journey of Torture	UiFubenMainMapTab.ChapterBg02A	1	2	10020101	10020102	10020103	10020104	10020201	10020202	10020203	10020204	10020301	10020302	10020303	10020304																				1002002	1002003	1002004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor02.prefab																																	
1003	Chapter 3	Final Exhibition	UiFubenMainMapTab.ChapterBg03A	1	3	10030101	10030102	10030103	10030104	10030201	10030202	10030203	10030204	10030301	10030302	10030303	10030304																				1003002	1003003	1003004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor03.prefab																																	
1004	Chapter 4	Forgotten Sand	UiFubenMainMapTab.ChapterBg04A	1	4	10040101	10040102	10040103	10040104	10040201	10040202	10040203	10040204	10040301	10040302	10040303	10040304																				1004002	1004003	1004004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor04.prefab																																	
1005	Chapter 5	Shattered Illusion	UiFubenMainMapTab.ChapterBg05A	1	5	10050101	10050102	10050103	10050104	10050201	10050202	10050203	10050204	10050301	10050302	10050303	10050304																				1005002	1005003	1005004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor05.prefab																																	
1006	Chapter 6	Alloy Contamination	UiFubenMainMapTab.ChapterBg06A	1	6	10060101	10060102	10060103	10060104	10060201	10060202	10060203	10060204	10060301	10060302	10060303	10060304																				1006002	1006003	1006004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor06.prefab																																	
1007	Chapter 7	Inver-Collapse	UiFubenMainMapTab.ChapterBg07A	1	7	10070101	10070102	10070103	10070104	10070201	10070202	10070203	10070204	10070301	10070302	10070303	10070304																				1007002	1007003	1007004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor07.prefab																																	
1008	Chapter 8	Consumed by Darkness	UiFubenMainMapTab.ChapterBg08A	1	8	10080101	10080102	10080103	10080104	10080201	10080202	10080203	10080204	10080301	10080302	10080303	10080304																				1008002	1008003	1008004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor08.prefab																																	
1009	Chapter 9	Fallen Star	UiFubenMainMapTab.ChapterBg09A	1	9	10090101	10090102	10090103	10090104	10090201	10090202	10090203	10090204	10090301	10090302	10090303	10090304	10090401																			1009002	1009003	1009004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor09.prefab																																	
1010	Chapter 10	Eternal Engine	UiFubenMainMapTab.ChapterBg10A	1	10	10100101	10100102	10100103	10100104	10100201	10100202	10100203	10100204	10100301	10100302	10100303	10100304																				1010002	1010003	1010004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor10.prefab																																	
1011	Chapter 11	Nona Ouroboros	UiFubenMainMapTab.ChapterBg10A	1	11	10110101	10110102	10110103	10110104	10110105	10110106	10110107	10110108	10110109	10110112	10110113	10110111																				1011002	1011003	1011004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor11.prefab																																	
1012	Chapter 12	Kowloong Metropolis	UiFubenMainMapTab.ChapterBg10A	1	12	10120101	10120102	10120103	10120104	10120105	10120106	10120107	10120108	10120109	10120110	10120111	10120112	10120113	10120114	10120115	10120116	10120117	10120118	10120119	10120120	10120121	10120122	10120123	10120124	10120125	10120126						1012002	1012003	1012004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor12Ex.prefab	30406	1																															
1013	Chapter 13	Fake Ascension		1	13																																					601000	1																															
1014	Chapter 14	Imprisoned Sight	UiFubenMainMapTab.ChapterBg10A	1	14	10140101	10140102	10140103	10140104	10140105	10140106	10140107	10140108	10140109	10140110	10140111	10140112	10140113	10140114	10140115																	1014002	1014003	1014004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor14.prefab	30406																																
1015	Chapter 15	The Last Spark	UiFubenMainMapTab.ChapterBg10A	1	15	10150101	10150102	10150103	10150104	10150105	10150106	10150107	10150108	10150109	10150110	10150111	10150112	10150113	10150114	10150115	10150116	10150117															1015002	1015003	1015004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor15.prefab	30406																																
1016	Chapter 16	Evernight Beat	UiFubenMainMapTab.ChapterBg10A	1	16	10160101	10160102	10160103	10160104	10160105	10160106	10160107	10160108	10160109	10160110	10160111	10160112	10160113	10160114	10160115																	1016002	1016003	1016004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor16.prefab	30406																																
1017	Sunken in Scarlet	Sunken in Scarlet	UiFubenMainMapTab.ChapterBg10A	1	17	10170100	10170101	10170102	10170103	10170104	10170105	10170106	10170107	10170108	10170109	10170110	10170111	10170112	10170113	10170114	10170115	10170116	10170117	10170118	10170119	10170120	10170121	10170123	10170122	10170124	10170126	10170127	10170125	10170128			1017002	1017003	1017004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor16.prefab	30406																																
1018	Chapter 18	Her Last Bow	UiFubenMainMapTab.ChapterBg10A	1	18	10180101	10180102	10180103	10180104	10180105	10180106	10180107	10180108	10180109	10180110	10180111	10180112	10180113	10180114	10180115	10180116	10180117	10180118	10180119	10180120	10180121											1018002	1018003	1018004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor18.prefab	30406			1		6	13	19	0.5	#ffffff	#ffffff	#ffffff	#ffffff	#0f70BC	#0f70BC	#0f70BC	#0f70BC	#ffffff	#ffffff	#ffffff	#ffffff												
1019	Chapter 19	A New Divide	UiFubenMainMapTab.ChapterBg10A	1	19	10190101	10190102	10190103	10190104	10190105	10190106	10190107	10190108	10190109	10190110	10190111	10190112	10190113	10190114	10190115	10190116	10190117	10190118	10190119	10190120	10190121	10190122										1019002	1019003	1019004		Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor19.prefab	30406									#ffffff	#ffffff	#ffffff	#ffffff	#0f70BC	#0f70BC	#0f70BC	#0f70BC	#ffffff	#ffffff	#ffffff	#ffffff												
