Id	ChapterName	ChapterEn	Icon	OrderId	ChapterId[1]	ChapterId[2]	ChapterId[4]	BfrtId	ZhouMuId	SubChapter[1]	SubChapter[2]	SubChapter[3]	GroupId
1000	Prelude	Prelude	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic00.png	0	1000	0	1200						1
1001	Chapter 1	Graffiti Art	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic01.png	1	1001	1101		1001					1
1002	Chapter 2	Journey of Torture	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic02.png	2	1002	1102	1202	1002					1
1003	Chapter 3	Final Exhibition	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic03.png	3	1003	1103		1003					1
1004	Chapter 4	Forgotten Sand	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic04.png	4	1004	1104		1004					2
1005	Chapter 5	Shattered Illusion	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic05.png	5	1005	1105	1205	1005					2
1006	Chapter 6	Alloy Contamination	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic06.png	6	1006	1106		1006					2
1007	Chapter 7	Inver-Collapse	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic07.png	7	1007	1107		1007					2
1008	Chapter 8	Consumed by Darkness	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic08.png	8	1008	1108	1208	1008					2
1009	Chapter 9	Fallen Star	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic09.png	9	1009	1109		1009					3
1010	Chapter 10	Eternal Engine	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic10.png	10	1010	1110		1010					3
1011	Chapter 11	Nona Ouroboros	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic11.png	11	1011	1111		1011					3
1012	Chapter 12	Kowloong Metropolis	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic12.png	12	1012	1112		1012					3
1013	Chapter 13	Fake Ascension	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic13.png	13	1013			1013					3
1014	Chapter 14	Imprisoned Sight	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic14.png	14	1014	1114		1014					4
1015	Chapter 15	The Last Spark	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic15.png	15	1015	1115		1015					4
1016	Chapter 16	Evernight Beat	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic16.png	16	1016	1116							4
1017	Chapter 17	The Surviving Lucem	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic17.png	17	1017					1017	1117	1217	4
1018	Chapter 18	Her Last Bow	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic18.png	18	1018								5
1019	Chapter 19	A New Divide	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic19.png	19	1019								5
1020	Chapter 20	Across the Ruined Sea	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic20.png	20	1020								5
1021	Chapter 21	Spiral of Chronos	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic21.png	21	1021								5
1022	Chapter 22	Renaissance du Fantastique	Assets/Product/Texture/Image/UiFubenMainTabChapter/InstanceIconPic22.png	22	1022								6
