Id	Name	WinEffect	CostCoinNum	RowCount	ColumnCount	RewardId	CanFailedCounts[1]	CanFailedCounts[2]	CanFailedCounts[3]	CanFailedCounts[4]	CanFailedCounts[5]	CanFailedCounts[6]	CanFailedCounts[7]	CanFailedCounts[8]
101	1_1	Assets/Product/Effect/Prefab/FxUi/FxUiMineSweepingMain/FxUiMineSweepingMainSao3.prefab	3	5	8	12794	3	5	10	25				
102	1_2	Assets/Product/Effect/Prefab/FxUi/FxUiMineSweepingMain/FxUiMineSweepingMainSao4.prefab	3	5	8	12795	3	5	10	25				
103	1_3	Assets/Product/Effect/Prefab/FxUi/FxUiMineSweepingMain/FxUiMineSweepingMainSao2.prefab	3	5	8	12796	3	5	10	25				
104	1_4	Assets/Product/Effect/Prefab/FxUi/FxUiMineSweepingMain/FxUiMineSweepingMainSao1.prefab	4	5	8	12797	3	5	10	25				
105	2_1	Assets/Product/Effect/Prefab/FxUi/FxUiMineSweepingMain/FxUiMineSweepingMainSao6.prefab	3	5	8	12798	3	5	10	25				
106	2_2	Assets/Product/Effect/Prefab/FxUi/FxUiMineSweepingMain/FxUiMineSweepingMainSao8.prefab	3	5	8	12799	3	5	10	25				
107	2_3	Assets/Product/Effect/Prefab/FxUi/FxUiMineSweepingMain/FxUiMineSweepingMainSao7.prefab	3	5	8	12800	3	5	10	25				
108	2_4	Assets/Product/Effect/Prefab/FxUi/FxUiMineSweepingMain/FxUiMineSweepingMainSao5.prefab	4	5	8	12801	3	5	10	25				
109	3_1	Assets/Product/Effect/Prefab/FxUi/FxUiMineSweepingMain/FxUiMineSweepingMainSao9.prefab	3	5	8	12802	3	5	10	25				
110	3_2	Assets/Product/Effect/Prefab/FxUi/FxUiMineSweepingMain/FxUiMineSweepingMainSao10.prefab	3	5	8	12803	3	5	10	25				
111	3_3	Assets/Product/Effect/Prefab/FxUi/FxUiMineSweepingMain/FxUiMineSweepingMainSao11.prefab	4	5	8	12804	3	5	10	25				
