Id	Name
0	Other
9000	Default
1001	HQ Attire
1002	Efflorescence
1003	Horizon
1004	Underground Arena
1005	Unknown 5
1006	Unknown 6
1007	Corrosion
1008	Unknown 8
1009	New Life
1010	Operation Zero
1011	Christmas
1012	Unknown 12
1013	Spring Festival
1014	Fairy Garment
1015	Meaning
1016	True Blue
1017	Endearment
1018	Unknown 18
1019	Oathbound
1020	Hallow
1021	Nier
1022	Festivals
1023	Yesterday Once More
1024	Legend
1025	Gilded Glamor
1026	Unknown 26
1027	Ocean Secret
1028	Paradise Lost
1029	Wandering Ballad
1030	Fantasy Harmony
1031	Unknown 31
1032	Unknown 32
1033	Beats & Beach
1034	Male Outfit
1035	Mistletoe
