Id	UiName[1]	UiName[2]	UiName[3]	UiName[4]	UiName[5]	UiName[6]	UiName[7]	UiName[8]	UiName[9]	UiName[10]	Name
1											Target
2											Reserve
3											Recharge
4											Settings
5											Sign-in
6											Feedback
7											Benefits
8											Redeem Code
101											Omniframe
102											Members - Promote
103											Members - Evolve
104											Members - Skill
106											Members - Uniframe
201											Equip
202											Equipment - Enhance
203											Equipment - Resonance
204											Equipment - Quick Enhance
301											Warehouse
401											Research
402											Research - Equipment
403											Research - Event
501											Mission
502											Mission - Story
503											Mission - Daily
504											Mission - Event
505											Mission - Weekly
601											Team
602											Team - Mark
603											Team - Achievement
701											Mail
801											Friends
802											Chat Channel
901											Foundations - Floor Equipment
902											Dormitory
1001											Regular Shop
1002											Event Shop
1201											Dispatch
1901											Guild
1902											Guild - Create
1903											Guild - Join
1904											Guild Boss
2001											Support
10101											Normal Story
10102											Hidden Story
10103											Stronghold Mode
10201											Mission Challenge
10202											Challenge - Lemegeton
10203											Challenge - Phantom Pain Cage
10204											Challenge - War Zone
10311											Challenge - Border Pact
10300											Event Info
10301											Event Mission
10302											Co-op
10303											Event [Mass Deterioration]
10304											Ultra Hard Stage
10305											Trial Area
10306											Festival Mission Event
10307											Babel Tower
10308											Main Story
10309											Event Rerun
10310											Tower Climb Event
10312											Joint Warfare
10313											Phalanx
10314											Extra Story
10315											Autopoiesis Maze
10316											Training Stage
10317											Training Stage Minigame
10318											Virtual Horizon
10319											Ghost Festival Minigame
10323											Ghost Festival Mission
10324											Mini Puzzle
10325											S Construct Tutorial Stage
10326											Christmas Minigame
10327											New Year Minigame
10328											Couplets Minigame
10329											Ro-sham-bo Minigame
10330											Simulated Battle
10331											Flop Minigame
10338											May Day Scratch-off
10333											Poker Guessing
10334											Story launch - Venus Skit
10335											MineSweeper
10336	UiFubenHack	UiFubenHackSection	UiHackCharInfo	UiHackDevelop	UiHackLevelUpTips	UiFubenHackDetails					Hacking Mode
10337											Modify Mode
10339											Unrivaled Massacre
10401											Resource Mission
10402											Resource - None 1
10403											Resource - None 2
10404											Resource - None 3
10406											Resource - Special Training
10407											Resource - Combat Supply
10408											Resource - Military Hardware
10409											Resource - Logistics Maintenance
10410											Resource - Cogs Galore
10411											Resource - Battle Exercise
10412											Resource - Combat Unit Booster Add-on
1301											Bounty Mission
1400											Affection
1401											Affection - File
1402											Affection - Story
1403											Affection - Gift
1404											Affection - Encounter
1501											Customize Control
1601											Memory Rescue
1701											Interlude
10405											Golden Vortex
105											Army
1800											Celica's Class
1801	UiPartnerTeachingBanner	UiPartnerTeachingChapter	UiPartnerTeachingFightDetail	UiPartnerTeachingStoryDetail							CUB Tutorial
109001											Special Training RS-2
109002											Special Training RS-3
109003											Special Training RS-4
109101											Combat Supply AE-2
109102											Combat Supply AE-3
109103											Combat Supply AE-4
109201											Military Hardware AB-2
109202											Military Hardware AB-3
109203											Military Hardware AB-4
109301											Logistics Maintenance LM-2
109302											Logistics Maintenance LM-3
109303											Logistics Maintenance LM-4
109401											Cogs Galore NF-2
109402											Cogs Galore NF-3
109403											Cogs Galore NF-4
109501											Battle Exercise BE-2
109502											Battle Exercise BE-3
109503											Battle Exercise BE-4
2100											Collection
2101											Medal List
2102											Chatting Nameplate System
2200											Codex System
3000											Total Recharge
4000											Eden II
4001											Vote
8001											Share Invite Code
10450											Resource Shop
10320											World Boss
10321	UiRpgTowerMain	UiRpgTowerRoleList	UiRpgTowerSkillDetails	UiRpgTowerNature	UiRpgTowerCollect	UiRpgTowerRoomCharacter	UiRpgTowerSettleWin	UiRpgTowerTask	UiRpgTowerLevelUp		RPG Mode
10322											Honor Rank
1302											Operation Guardians
1303											Guide
1304											Fake Ascension
1305											Nier Mission
1306											Micawberism Cloisters
1307											Chestlefield
1308											Festival Mission Event
2300											Lv.2 Menu
2400											Photo System
10205	UiStrongholdMain	UiStrongholdActivityResult	UiStrongholdRewardTip	UiStrongholdMining	UiStrongholdJournal	UiStrongholdHelp	UiStrongholdPower	UiStrongholdMainLineBanner	UiStrongholdFightMain	UiStrongholdDetail	Norman Revival Plan
10206											Norman Revival Plan Power Station
5001											CUB
1309											White Day Dating Event
1310											Eden Festival
10340											Super Tower Climb
