Id	Name	ParentId	SelectPriority	OrderPriority	ContentType
1	Chat Content		1	8	
2	Player Nickname			7	1
3	Player Intro			6	2
4	Dormitory Name			5	
5	Game Behavior			4	
6	Displayed Nickname			3	1
7	Displayed Message			2	3
8	Internal Communications			1	4
101	Taunting & Insult	1		8	
102	Politics & Sensitive Info	1		7	
103	Vulgar & Pornography	1		6	
104	Fraud & Advertising	1		5	
105	Gamble Related	1		4	
106	Hacking & Cheating	1		3	
107	Off-line Transaction	1		2	
108	Others	1		1	
111	Taunting & Insult	2		8	
112	Politics & Sensitive Info	2		7	
113	Vulgar & Pornography	2		6	
114	Fraud & Advertising	2		5	
115	Gamble Related	2		4	
116	Hacking & Cheating	2		3	
117	Off-line Transaction	2		2	
118	Others	2		1	
121	Taunting & Insult	3		8	
122	Politics & Sensitive Info	3		7	
123	Vulgar & Pornography	3		6	
124	Fraud & Advertising	3		5	
125	Gamble Related	3		4	
126	Hacking & Cheating	3		3	
127	Off-line Transaction	3		2	
128	Others	3		1	
131	Taunting & Insult	4		8	
132	Politics & Sensitive Info	4		7	
133	Vulgar & Pornography	4		6	
134	Fraud & Advertising	4		5	
135	Gamble Related	4		4	
136	Hacking & Cheating	4		3	
137	Off-line Transaction	4		2	
138	Others	4		1	
141	Taunting & Insult	5		8	
142	Politics & Sensitive Info	5		7	
143	Vulgar & Pornography	5		6	
144	Fraud & Advertising	5		5	
145	Gamble Related	5		4	
146	Hacking & Cheating	5		3	
147	Off-line Transaction	5		2	
148	Others	5		1	
151	Taunting & Insult	6		8	
152	Politics & Sensitive Info	6		7	
153	Vulgar & Pornography	6		6	
154	Fraud & Advertising	6		5	
155	Gamble Related	6		4	
156	Hacking & Cheating	6		3	
157	Off-line Transaction	6		2	
158	Others	6		1	
161	Taunting & Insult	7		8	
162	Politics & Sensitive Info	7		7	
163	Vulgar & Pornography	7		6	
164	Fraud & Advertising	7		5	
165	Gamble Related	7		4	
166	Hacking & Cheating	7		3	
167	Off-line Transaction	7		2	
168	Others	7		1	
171	Taunting & Insult	8		8	
172	Politics & Sensitive Info	8		7	
173	Vulgar & Pornography	8		6	
174	Fraud & Advertising	8		5	
175	Gamble Related	8		4	
176	Hacking & Cheating	8		3	
177	Off-line Transaction	8		2	
178	Others	8		1	
1001	Co-op	106		3	
1002	War Zone	106		2	
1003	Phantom Pain Cage	106		1	
1101	Co-op	116		3	
1102	War Zone	116		2	
1103	Phantom Pain Cage	116		1	
1201	Co-op	126		3	
1202	War Zone	126		2	
1203	Phantom Pain Cage	126		1	
1301	Co-op	136		3	
1302	War Zone	136		2	
1303	Phantom Pain Cage	136		1	
1401	Co-op	146		3	
1402	War Zone	146		2	
1403	Phantom Pain Cage	146		1	
1501	Co-op	156		3	
1502	War Zone	156		2	
1503	Phantom Pain Cage	156		1	
1601	Co-op	166		3	
1602	War Zone	166		2	
1603	Phantom Pain Cage	166		1	
1701	Co-op	176		3	
1702	War Zone	176		2	
1703	Phantom Pain Cage	176		1	
