Id	BuffGroup[1]	BuffId[1]	BuffGroup[2]	BuffId[2]	BuffGroup[3]	BuffId[3]	BuffGroup[4]	BuffId[4]	BuffGroup[5]	BuffId[5]
1	1105	11051	3201	32011	3209	32091				
2	1104	11041	1205	12051	3204	32041	3303	33031		
3	1104	11042	3200	32001	3203	32031	3300	33001		
4										
5	1100	11001	3303	33031						
6	1100	11002	1213	12131	3212	32121	3216	32161		
7	1001	10011	1104	11041	1307	13071	3203	32031	3216	32161
8										
9	3206	32061	3214	32141						
10	1213	12131	3208	32081	3211	32111	3303	33031		
11	1104	11041	1215	12151	3203	32031	3204	32041	3206	32061
12										
13	1213	12131	3200	32001	3211	32111				
14	1305	13051	3107	31071	3202	32021	3204	32041		
15	1104	11041	3203	32031	3215	32151	3300	33001	3309	33091
16										
17	1100	11001	3208	32081						
18	1205	12051	1305	13051	3206	32061	3216	32161		
19	1104	11041	1213	12131	3203	32031	3300	33001	3309	33091
20										
21	3200	32001	3207	32071						
22	3201	32011	3212	32121	3300	33001	3303	33031		
23	1104	11041	3207	32072	3215	32151	3303	33032		
24										
25	1205	12051	3203	32031						
26	1100	11001	1213	12131	1305	13051	3216	32161		
27	1104	11041	3206	32061	3309	33091	3216	32161	3300	33001
28										
29	1213	12131	3306	33061						
30	3200	32001	3204	32041	3207	32071				
31	1101	11011	1104	11041	1215	12151	3211	32111	3306	33061
32										
33	3300	33001								
34	3200	32001	3203	32031	3309	33091				
35	3203	32031	3207	32071	3209	32091	3300	33001	3309	33091
36										
37	3203	32031	3306	33061						
38	1305	13051	3203	32031	3300	33001				
39	1104	11041	3203	32031	3215	32151	3306	33061	3309	33091
40										
41										
42										
43										
44										
45										
46										
47										
48										
49										
50										
51										
52										
53										
54										
55										
56										
57										
58										
59										
60										
61										
62										
63										
64										
65										
66										
67										
68										
69										
70										
71										
72										
73										
74										
75										
76										
77										
78										
79										
80										
81										
82										
83										
84										
85										
