Id	BaseId	Weight	ExtraWeight	MustAppearCount
1	201	50	25	10
2	202	50	25	10
3	203	50	25	10
4	204	50	25	10
5	205	50	25	10
6	206	50	25	10
7	207	50	25	10
8	208	50	25	10
9	209	50	25	10
10	210	50	25	10
11	211	50	25	10
12	212	50	25	10
13	213	50	25	10
14	214	50	25	10
15	215	50	25	10
16	216	50	25	10
17	217	50	25	10
18	218	50	25	10
19	219	50	25	10
20	220	50	25	10
21	221	50	25	10
22	222	50	25	10
23	223	50	25	10
24	224	50	25	10
25	225	50	25	10
26	226	50	25	10
27	227	50	25	10
28	228	50	25	10
29	229	50	25	10
30	230	50	25	10
31	231	50	25	10
32	232	50	25	10
33	233	50	25	10
34	234	50	25	10
