Id	Name	ChildComboId	EffectDescription	ConditionDesc	ConditionLevel	ConditionNum	EffectId[1]	EffectId[2]	EffectId[3]	EffectValid[1]	EffectValid[2]	EffectValid[3]	EffectTarget[1]	EffectTarget[2]	EffectTarget[3]
1	Gray Raven: Fledgling - I	301	All Constructs' Basic Attack gains <color=#ff3f3f>200</color> True DMG and causes enemies to take 1% increased DMG for 2s (max 20%). Each attack refreshes the effect.	Combined Stars of Gray Raven: Fledgling Constructs reach <color=#ff3f3f>2★</color>	2	2	98078			1			1		
2	Gray Raven: Fledgling - II	301	All Constructs' Basic Attack gains <color=#ff3f3f>400</color> True DMG and causes enemies to take 1% increased DMG for 2s (max 20%). Each attack refreshes the effect.	Combined Stars of Gray Raven: Fledgling Constructs reach <color=#ff3f3f>10★</color>	10	2	98079			1			1		
3	Gray Raven: Fledgling - III	301	All Constructs' Basic Attack gains <color=#ff3f3f>600</color> True DMG and causes enemies to take 1% increased DMG for 2s (max 20%). Each attack refreshes the effect.	Combined Stars of Gray Raven: Fledgling Constructs reach <color=#ff3f3f>30★</color>	30	2	98080			1			1		
4	Gray Raven: Fledgling - IV	301	All Constructs' Basic Attack gains <color=#ff3f3f>800</color> True DMG and causes enemies to take 1% increased DMG for 2s (max 20%). Each attack refreshes the effect.	Combined Stars of Gray Raven: Fledgling Constructs reach <color=#ff3f3f>54★</color>	54	2	98081			1			1		
5	Gray Raven: Advanced - I	302	All Constructs activate 1 amplification device for 3s every 15s, gaining <color=#ff3f3f>5%</color> increased DMG and movement speed for <color=#ff3f3f>5s</color>.	Combined Stars of Gray Raven: Advanced Constructs reach <color=#ff3f3f>3★</color>	3	3	98082			1			1		
6	Gray Raven: Advanced - II	302	All Constructs activate 1 amplification device for 3s every 15s, gaining <color=#ff3f3f>10%</color> increased DMG and movement speed for <color=#ff3f3f>7s</color>.	Combined Stars of Gray Raven: Advanced Constructs reach <color=#ff3f3f>15★</color>	15	3	98083			1			1		
7	Gray Raven: Advanced - III	302	All Constructs activate 1 amplification device for 3s every 15s, gaining <color=#ff3f3f>5%</color> increased DMG and movement speed for <color=#ff3f3f>10s</color>.	Combined Stars of Gray Raven: Advanced Constructs reach <color=#ff3f3f>45★</color>	45	3	98084			1			1		
8	Gray Raven: Advanced - IV	302	All Constructs activate 1 amplification device for 3s every 15s, gaining <color=#ff3f3f>20%</color> increased DMG and movement speed for <color=#ff3f3f>14s</color>.	Combined Stars of Gray Raven: Advanced Constructs reach <color=#ff3f3f>81★</color>	81	3	98085			1			1		
9	Gray Raven: Ultimate - I	303	<color=#ff3f3f>[Deploy any Construct with this Bond]:</color> Summons a force field that follows the Construct. Constructs within the force field recover <color=#ff3f3f>100</color> HP and deal <color=#ff3f3f>1000</color> DMG to enemies every second.	Combined Stars of Gray Raven: Ultimate Constructs reach <color=#ff3f3f>3★</color>	3	3	98086			2|303			1		
10	Gray Raven: Ultimate - II	303	<color=#ff3f3f>[Deploy any Construct with this Bond]:</color> Summons a force field that follows the Construct. Constructs within the force field recover <color=#ff3f3f>200</color> HP and deal <color=#ff3f3f>1500</color> DMG to enemies every second.	Combined Stars of Gray Raven: Ultimate Constructs reach <color=#ff3f3f>15★</color>	15	3	98087			2|303			1		
11	Gray Raven: Ultimate - III	303	<color=#ff3f3f>[Deploy any Construct with this Bond]:</color> Summons a force field that follows the Construct. Constructs within the force field recover <color=#ff3f3f>300</color> HP and deal <color=#ff3f3f>2000</color> DMG to enemies every second.	Combined Stars of Gray Raven: Ultimate Constructs reach <color=#ff3f3f>45★</color>	45	3	98088			2|303			1		
12	Gray Raven: Ultimate - IV	303	<color=#ff3f3f>[Deploy any Construct with this Bond]:</color> Summons a force field that follows the Construct. Constructs within the force field recover <color=#ff3f3f>400</color> HP and deal <color=#ff3f3f>2500</color> DMG to enemies every second.	Combined Stars of Gray Raven: Ultimate Constructs reach <color=#ff3f3f>81★</color>	81	3	98089			2|303			1		
13	Strike Hawk - I	304	<color=#ff3f3f>[Deploy any Construct with this Bond]:</color> Max HP of all Constructs increases by <color=#ff3f3f>2000</color>, and each attack deals Extra DMG equal to 10% of the current Construct's Max HP.	Combined Stars of Strike Hawk Constructs reach <color=#ff3f3f>3★</color>	3	3	98114			2|304			1		
14	Strike Hawk - II	304	<color=#ff3f3f>[Deploy any Construct with this Bond]:</color> Max HP of all Constructs increases by <color=#ff3f3f>3000</color>, and each attack deals Extra DMG equal to 10% of the current Construct's Max HP.	Combined Stars of Strike Hawk Constructs reach <color=#ff3f3f>15★</color>	15	3	98115			2|304			1		
15	Strike Hawk - III	304	<color=#ff3f3f>[Deploy any Construct with this Bond]:</color> Max HP of all Constructs increases by <color=#ff3f3f>4000</color>, and each attack deals Extra DMG equal to 10% of the current Construct's Max HP.	Combined Stars of Strike Hawk Constructs reach <color=#ff3f3f>45★</color>	45	3	98116			2|304			1		
16	Strike Hawk - IV	304	<color=#ff3f3f>[Deploy any Construct with this Bond]:</color> Max HP of all Constructs increases by <color=#ff3f3f>5000</color>, and each attack deals Extra DMG equal to 10% of the current Construct's Max HP.	Combined Stars of Strike Hawk Constructs reach <color=#ff3f3f>81★</color>	81	3	98117			2|304			1		
17	Engineering Force - I	305	All Constructs summon 2 rounds of Fire Support twice every <color=#ff3f3f>4s</color>, each dealing <color=#ff3f3f>5000</color> Fire DMG.	Combined Stars of Engineering Force Constructs reach <color=#ff3f3f>3★</color>	3	3	98110			1			1		
18	Engineering Force - II	305	All Constructs summon 2 rounds of Fire Support twice every <color=#ff3f3f>3s</color>, each dealing <color=#ff3f3f>7500</color> Fire DMG.	Combined Stars of Engineering Force Constructs reach <color=#ff3f3f>15★</color>	15	3	98111			1			1		
19	Engineering Force - III	305	All Constructs summon 2 rounds of Fire Support twice every <color=#ff3f3f>2s</color>, each dealing <color=#ff3f3f>10000</color> Fire DMG.	Combined Stars of Engineering Force Constructs reach <color=#ff3f3f>45★</color>	45	3	98112			1			1		
20	Engineering Force - IV	305	All Constructs summon 2 rounds of Fire Support twice every <color=#ff3f3f>1s</color>, each dealing <color=#ff3f3f>12500</color> Fire DMG.	Combined Stars of Engineering Force Constructs reach <color=#ff3f3f>81★</color>	81	3	98113			1			1		
21	Forsaken - I	306	<color=#ff3f3f>[Deploy any Construct with this Bond]:</color> All Constructs have a 20% chance to increase an attack's DMG by <color=#ff3f3f>100%</color> if it is a backstabbing or critical attack.	Combined Stars of Forsaken Constructs reach <color=#ff3f3f>2★</color>	2	2	98106			2|306			1		
22	Forsaken - II	306	<color=#ff3f3f>[Deploy any Construct with this Bond]:</color> All Constructs have a 20% chance to increase an attack's DMG by <color=#ff3f3f>200%</color> if it is a backstabbing or critical attack.	Combined Stars of Forsaken Constructs reach <color=#ff3f3f>10★</color>	10	2	98107			2|306			1		
23	Forsaken - III	306	<color=#ff3f3f>[Deploy any Construct with this Bond]:</color> All Constructs have a 20% chance to increase an attack's DMG by <color=#ff3f3f>300%</color> if it is a backstabbing or critical attack.	Combined Stars of Forsaken Constructs reach <color=#ff3f3f>30★</color>	30	2	98108			2|306			1		
24	Forsaken - IV	306	<color=#ff3f3f>[Deploy any Construct with this Bond]:</color> All Constructs have a 20% chance to increase an attack's DMG by <color=#ff3f3f>400%</color> if it is a backstabbing or critical attack.	Combined Stars of Forsaken Constructs reach <color=#ff3f3f>54★</color>	54	2	98109			2|306			1		
25	Purifying Force - I	307	<color=#ff3f3f>[Deploy any Construct with this Bond]:</color> Whenever the current Construct defeats 1 enemy, gain <color=#ff3f3f>5</color> ATK permanently and recover <color=#ff3f3f>3</color> Energy.	Combined Stars of Purifying Force Constructs reach <color=#ff3f3f>2★</color>	2	2	98102			2|307			1		
26	Purifying Force - II	307	<color=#ff3f3f>[Deploy any Construct with this Bond]:</color> Whenever the current Construct defeats 1 enemy, gain <color=#ff3f3f>10</color> ATK permanently and recover <color=#ff3f3f>6</color> Energy.	Combined Stars of Purifying Force Constructs reach <color=#ff3f3f>10★</color>	10	2	98103			2|307			1		
27	Purifying Force - III	307	<color=#ff3f3f>[Deploy any Construct with this Bond]:</color> Whenever the current Construct defeats 1 enemy, gain <color=#ff3f3f>15</color> ATK permanently and recover <color=#ff3f3f>9</color> Energy.	Combined Stars of Purifying Force Constructs reach <color=#ff3f3f>30★</color>	30	2	98104			2|307			1		
