Id	Name	ComboTypeId	IconPath	ConditionDescription	Condition	DefaultTeamId
101	Attacker	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo16.png	Attacker Bond	4	
102	Tank	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo17.png	Tank Bond	4	
103	Support	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo18.png	Support Bond	4	
104	Amplifier	2	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo21.png	Amplifier Bond	4	
301	Gray Raven: Fledgling	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo01.png	Gray Raven: Fledgling Bond	4	
302	Gray Raven: Advanced	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo02.png	Gray Raven: Advanced Bond	4	
303	Gray Raven: Ultimate	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo03.png	Gray Raven: Ultimate Bond	4	
304	Strike Hawk	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo04.png	Strike Hawk Bond	4	
305	Engineering Force	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo05.png	Engineering Force Bond	4	
306	Forsaken	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo06.png	Forsaken Bond	4	
307	Purifying Force	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo07.png	Purifying Force Bond	4	
308	"Nanami Models"	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo08.png	"Nanami Models" Bond	4	
309	Akdilek	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo09.png	ACA Bond	4	
310	WGAA	1	Assets/Product/Texture/Image/UiExpedition/UiExpeditionCombo20.png	WGAA Bond	4	
311	Cerberus	1	Assets/Product/Texture/Image/UiFight/FightExpeditionskill11.png	Cerberus Bond	4	
400	Heavy Blow	4	Assets/Product/Texture/Image/UiFight/FightExpeditionskill08.png	Active Skill - Heavy Blow	4	1
401	Disintegration	4	Assets/Product/Texture/Image/UiFight/FightExpeditionskill02.png	Passive Skill - Disintegration	4	2
402	Ties	4	Assets/Product/Texture/Image/UiFight/FightExpeditionskill01.png	Active Skill - Ties	4	5
403	Thorn	4	Assets/Product/Texture/Image/UiFight/FightExpeditionskill09.png	Instant Skil - Thorn	4	3
404	Ingenious	4	Assets/Product/Texture/Image/UiFight/FightExpeditionskill04.png	Instant Skill - Ingenious	4	4
