Id	ActivityId	StageId	TagId	OrderId	OrderName	Difficulty	StageBuffDesc	RecommendLevel	MonsterId[1]	MonsterId[2]	MonsterId[3]	NpcAffixId[1]	NpcAffixId[2]	NpcAffixId[3]	NpcAffixId[4]	IsShowScore
1	1	30162001	1	1	I	1	The enemy takes more DMG from Tank Omniframes.	1	1			760001	760041	760041		
2	1	30162002	1	2	II	1	The enemy takes more DMG from Tank Omniframes.	1	1			780650				
3	1	30162003	1	3	III	1	The enemy takes more DMG from Tank Omniframes.	1	1			780650	780670			
4	1	30162004	1	4	IV	1	The enemy takes more DMG from Tank Omniframes.	1	1			760001	760041			
5	1	30162005	1	5	V	2	Tank type members can significantly reduce enemy's Super Armor. Enemies without Super Armor take increased damage.	2	10			780650				
6	1	30162006	1	6	VI	1	Enemies have higher Attack.	2	3	4	4	760001	760041	760041		
7	1	30162007	1	7	VII	1	Enemies have higher Attack.	2	3	4	4	780650				
8	1	30162008	1	8	VIII	1	Enemies have higher Attack.	2	3	4	4	780650	780670			
9	1	30162009	1	9	IX	1	Enemies have higher Attack.	2	3	4	4	760001	760041			
10	1	30162010	1	10	X	2	Enemies have higher Attack.	3	5	5	5	780650				
11	1	30162011	1	11	XI	1	There will be an increased amount of enemies.	3	6	6	6	760001	760041	760041		
12	1	30162012	1	12	XII	1	There will be an increased amount of enemies.	3	6	6	6	780650				
13	1	30162013	1	13	XIII	1	There will be an increased amount of enemies.	3	6	6	6	780650	780670			
14	1	30162014	1	14	XIV	1	There will be an increased amount of enemies.	3	6	6	6	760001	760041			
15	1	30162015	1	15	XV	2	Kill all monsters or protect the device within the time limit.	3	3	29	6	780650				
16	1	30162016	1	16	XVI	1	Constructs lose HP over time when they are near an enemy.	4	7	8	8	760001	760041	760041		
17	1	30162017	1	17	XVII	1	Constructs lose HP over time when they are near an enemy.	4	7	8	8	780650				
18	1	30162018	1	18	XVIII	1	Constructs lose HP over time when they are near an enemy.	4	7	8	8	780650	780670			
19	1	30162019	1	19	XIX	1	Constructs lose HP over time when they are near an enemy.	4	7	8	8	760001	760041			
20	1	30162020	1	20	XX	2	Keep HP above 80% for a significant damage bonus.	4	9			780650				
21	1	30162021	1	21	XXI	1	There will be an increased amount of enemies.	4	6	6	6	760001	760041	760041		
22	1	30162022	1	22	XXII	1	Enemies have higher Attack.	4	3	4	4	780650				
23	1	30162023	1	23	XXIII	1	Constructs lose HP over time when they are near an enemy.	5	7	8	8	780650	780670			
24	1	30162024	1	24	XXIV	1	The enemy takes more DMG from Tank Omniframes.	5	1			760001	760041			
25	1	30162025	1	25	XXV	2	Tank type members can significantly reduce enemy's Super Armor. Enemies without Super Armor take increased damage.	5	2			780650				
26	1	30162026	1	26	XXVI	1	Enemies have higher Attack.	5	11			760001	760041	760041		
27	1	30162027	1	27	XXVII	1	The enemy takes more DMG from Tank Omniframes.	5	10			780650				
28	1	30162028	1	28	XXVIII	1	Constructs lose HP over time when they are near an enemy.	5	13	24	24	780650	780670			
29	1	30162029	1	29	XXIX	1	There will be an increased amount of enemies.	5	17	16	15	760001	760041			
30	1	30162030	1	30	XXX	2	Deal 300,000 DMG to the enemy within 60s to clear.	5	18			780650				
31	1	30162031	1	31	XXXI	1	Enemies have higher Attack.	5	19	20	20	760001	760041	760041		
32	1	30162032	1	32	XXXII	1	The enemy takes more DMG from Tank Omniframes.	6	21			780650				
33	1	30162033	1	33	XXXIII	1	Constructs lose HP over time when they are near an enemy.	6	5	8	8	780650	780670			
34	1	30162034	1	34	XXXIV	1	There will be an increased amount of enemies.	6	10	1	1	760001	760041			
35	1	30162035	1	35	XXXV	2	Kill all monsters or protect the device within the time limit.	6	23	3	4	780650				
36	1	30162036	1	36	XXXVI	1	Constructs lose HP over time when they are near an enemy.	6	13	7	7	760001	760041	760041		
37	1	30162037	1	37	XXXVII	1	There will be an increased amount of enemies.	7	29	8	7	780650				
38	1	30162038	1	38	XXXVIII	1	The enemy takes more DMG from Tank Omniframes.	7	10	28	28	780650	780670			
39	1	30162039	1	39	XXXIX	1	Enemies have higher Attack.	7	25	26	26	760001	760041			
40	1	30162040	1	40	XL	2	Deal significantly higher damage in the next attack each time after receiving healing.	8	27			780650				
41	1	30162041	1	41	XLI	3	Defeat the enemy within 60s.	8	32			780650				
42	1	30162042	1	42	XLII	3	Enemies come in 4 waves and are a lot more aggressive.	8	28	28	28	780650				
43	1	30162043	1	43	XLIII	3	Enemies are paralyzed for a longer period after their Super Armor is reduced to 0.	8	10	10	10	780650				
44	1	30162044	1	44	XLIV	3	Keep HP above 70% for a significant damage bonus.	8	33			780650				
45	1	30162045	1	45	XLV	3	Amberia comes in her complete form.	8	34			780650				
46	2	30162001	1	1	I	1	The enemy takes more DMG from Tank Omniframes.	1	1			760001	760041	760041		
47	2	30162002	1	2	II	1	The enemy takes more DMG from Tank Omniframes.	5	1			780650				
48	2	30162003	1	3	III	1	The enemy takes more DMG from Tank Omniframes.	6	1			780650	780670			
49	2	30162004	1	4	IV	1	The enemy takes more DMG from Tank Omniframes.	7	1			760001	760041			
50	2	30162005	1	5	V	2	Tank type members can significantly reduce enemy's Super Armor. Enemies without Super Armor take increased damage.	2	10			780650				
51	2	30162006	1	6	VI	1	Enemies have higher Attack.	2	3	4	4	760001	760041	760041		
52	2	30162007	1	7	VII	1	Enemies have higher Attack.	2	3	4	4	780650				
53	2	30162008	1	8	VIII	1	Enemies have higher Attack.	2	3	4	4	780650	780670			
54	2	30162009	1	9	IX	1	Enemies have higher Attack.	2	3	4	4	760001	760041			
55	2	30162010	1	10	X	2	Enemies have higher Attack.	3	5	5	5	780650				
56	2	30162011	1	11	XI	1	There will be an increased amount of enemies.	3	6	6	6	760001	760041	760041		
57	2	30162012	1	12	XII	1	There will be an increased amount of enemies.	3	6	6	6	780650				
58	2	30162013	1	13	XIII	1	There will be an increased amount of enemies.	3	6	6	6	780650	780670			
59	2	30162014	1	14	XIV	1	There will be an increased amount of enemies.	3	6	6	6	760001	760041			
60	2	30162015	1	15	XV	2	Kill all monsters or protect the device within the time limit.	3	3	29	6	780650				
61	2	30162016	1	16	XVI	1	Constructs lose HP over time when they are near an enemy.	4	7	8	8	760001	760041	760041		
62	2	30162017	1	17	XVII	1	Constructs lose HP over time when they are near an enemy.	4	7	8	8	780650				
63	2	30162018	1	18	XVIII	1	Constructs lose HP over time when they are near an enemy.	4	7	8	8	780650	780670			
64	2	30162019	1	19	XIX	1	Constructs lose HP over time when they are near an enemy.	4	7	8	8	760001	760041			
65	2	30162020	1	20	XX	2	Keep HP above 80% for a significant damage bonus.	4	9			780650				
66	2	30162021	1	21	XXI	1	There will be an increased amount of enemies.	4	6	6	6	760001	760041	760041		
67	2	30162022	1	22	XXII	1	Enemies have higher Attack.	4	3	4	4	780650				
68	2	30162023	1	23	XXIII	1	Constructs lose HP over time when they are near an enemy.	5	7	8	8	780650	780670			
69	2	30162024	1	24	XXIV	1	The enemy takes more DMG from Tank Omniframes.	5	1			760001	760041			
70	2	30162025	1	25	XXV	2	Tank type members can significantly reduce enemy's Super Armor. Enemies without Super Armor take increased damage.	5	2			780650				
71	2	30162026	1	26	XXVI	1	Enemies have higher Attack.	5	11			760001	760041	760041		
72	2	30162027	1	27	XXVII	1	The enemy takes more DMG from Tank Omniframes.	5	10			780650				
73	2	30162028	1	28	XXVIII	1	Constructs lose HP over time when they are near an enemy.	5	13	24	24	780650	780670			
74	2	30162029	1	29	XXIX	1	There will be an increased amount of enemies.	5	17	16	15	760001	760041			
75	2	30162030	1	30	XXX	2	Deal 300,000 DMG to the enemy within 60s to clear.	5	18			780650				
76	2	30162031	1	31	XXXI	1	Enemies have higher Attack.	5	19	20	20	760001	760041	760041		
77	2	30162032	1	32	XXXII	1	The enemy takes more DMG from Tank Omniframes.	6	21			780650				
78	2	30162033	1	33	XXXIII	1	Constructs lose HP over time when they are near an enemy.	6	5	8	8	780650	780670			
79	2	30162034	1	34	XXXIV	1	There will be an increased amount of enemies.	6	10	1	1	760001	760041			
80	2	30162035	1	35	XXXV	2	Kill all monsters or protect the device within the time limit.	6	23	3	4	780650				
81	2	30162036	1	36	XXXVI	1	Constructs lose HP over time when they are near an enemy.	6	13	7	7	760001	760041	760041		
82	2	30162037	1	37	XXXVII	1	There will be an increased amount of enemies.	7	29	8	7	780650				
83	2	30162038	1	38	XXXVIII	1	The enemy takes more DMG from Tank Omniframes.	7	10	28	28	780650	780670			
84	2	30162039	1	39	XXXIX	1	Enemies have higher Attack.	7	25	26	26	760001	760041			
85	2	30162040	1	40	XL	2	Deal significantly higher damage in the next attack each time after receiving healing.	8	27			780650				
86	2	30162041	1	41	XLI	3	Defeat the enemy within 60s.	8	32			780650				
87	2	30162042	1	42	XLII	3	Enemies come in 4 waves and are a lot more aggressive.	8	28	28	28	780650				
88	2	30162043	1	43	XLIII	3	Enemies are paralyzed for a longer period after their Super Armor is reduced to 0.	8	10	10	10	780650				
89	2	30162044	1	44	XLIV	3	Keep HP above 70% for a significant damage bonus.	8	33			780650				
90	2	30162045	1	45	XLV	3	Amberia comes in her complete form.	8	34			780650				
91	3	30162101	1	1	1	1	The enemy is <color=#0F70BC>great in amount</color>.	1	6	6	6	110244				
92	3	30162102	1	2	2	1	The enemy has <color=#0F70BC>higher desire to attack</color>.	2	26			110209				
93	3	30162103	1	3	3	1	The enemy takes more DMG from <color=#0F70BC>Tank Omniframes</color>.	2	1			110259	110243			
94	3	30162104	1	4	4	1	The Construct will <color=#0F70BC>continue to lose HP</color> when around the enemy.	2	17	15	15	110214				
