TalentId	CharacterId	LayerId	TalentType	ConsumeCount	AttribPoolGroupId	SkillIds[1]	SkillLevels[1]	SkillIds[2]	SkillLevels[2]	EventIds[1]	EventIds[2]	Name	Description	SpecialAbility	Icon
101	1081002	1	1	1						98162		Decoy	Upon dodging, leaves a decoy in place that cannot draw Aggro. It will explode 3s later, dealing 1000% DMG to enemies within 3m. 7s cooldown.	200	Assets/Product/Texture/Image/IconSkill/R2dubianhexin1.png
102	1081002	2	1	1						110119		Frederick	Gains 15% movement speed and 5% Extra DMG Bonus for 5s after every dodge. Can be stacked up to 3 times. Triggering this effect again will renew its duration. The next successful dodge will reduce the attacker's speed by 20% and Extra DMG Reduction by 15% for 4s. 8s cooldown.	200	Assets/Product/Texture/Image/IconSkill/R3A2A1.png
103	1081002	2	1	1						110111		Hanna	Extra DMG Bonus of 3-Pings increases by 25%. For every 30s, enters Matrix upon a 3-Ping and gains a random Signal Orb.	200	Assets/Product/Texture/Image/IconSkill/R39SSS1.png
104	1081002	2	1	1						110117		Darwin	Extra DMG Bonus increases by 3% for 4s for each orb pinged, stacking up to 5 times. When Signal Orbs are pinged, their colors will be marked. Once all 3 colors have been marked, unleashes a shockwave that deals 600% Physical DMG and resets the marks.	200	Assets/Product/Texture/Image/IconSkill/R39SS1.png
105	1081002	3	1	1						98163		Soul Imbued	The decoy will copy Nightblade's Signal Orbs and release them against the currently locked target while restoring 20 Dodge Gauge for him.	200	Assets/Product/Texture/Image/IconSkill/R2dubianhexin1.png
106	1081002	4	1	1						98164		Fulfilled Soul	The decoy will exist 3s more.	200	Assets/Product/Texture/Image/IconSkill/R2dubianhexin1.png
107	1081002	4	1	1						98165		Snatch Soul	The decoy's Explosion DMG increases by 1000%.	200	Assets/Product/Texture/Image/IconSkill/R2dubianhexin1.png
108	1081002	5	1	1						98166		Pursuit Soul	The decoy will be teleported to near the locked target before performing Signal Orb skills, and it has a 20% chance to return Nightblade's Signal Orbs.	200	Assets/Product/Texture/Image/IconSkill/R2dubianhexin1.png
109	1081002	6	1	1						98167		Seduce Soul	The decoy can attract enemy attacks and draw a little Aggro every time it attacks.	200	Assets/Product/Texture/Image/IconSkill/R2dubianhexin1.png
110	1081002	6	1	1						98168		Annihilate	When the decoy explodes, it additionally deals DMG equal to 30% of the DMG it dealt previously.	200	Assets/Product/Texture/Image/IconSkill/R2dubianhexin1.png
