Id	TimeId	Type	StageId	NpcId[1]	NpcLevel[1]	StageName[1]	StageBuffId[1]	NpcId[2]	NpcLevel[2]	StageName[2]	StageBuffId[2]	NpcId[3]	NpcLevel[3]	StageName[3]	StageBuffId[3]	PeriodBuffId[1]	PeriodBuffId[2]	PeriodBuffId[3]	DefaultAtkLevel	DefaultHpLevel	SortId	GroupId	StageRatioCe[1]	StageRatioCe[2]	StageRatioCe[3]	StageBasicCe[1]	StageBasicCe[2]	StageBasicCe[3]
3002	201	1	30161301	81300	710	EASY	750976	81310	910	NORMAL	750977	81310	1100	HARD	750978				2	2	1	1	100	130	150	10	11	12
3007	201	1	30161302	81500	950	EASY	750976	81510	1200	NORMAL	750977	81510	1465	HARD	750978				2	2	1	1	100	130	150	10	11	12
3021	201	1	30161303	837000	400	EASY	750976	837011	520	NORMAL	750977	837012	630	HARD	750978		750953		2	2	1	1	100	130	150	10	11	12
3014	201	1	30161304	83220	420	EASY	750976	83230	695	NORMAL	750977	83230	1000	HARD	750978				2	2	2	6	100	130	150	10	11	12
3030	201	1	30161305	84200	345	EASY	750976	84200	700	NORMAL	750977	84200	1000	HARD	750978		750953		2	2	2	7	100	130	150	10	11	12
3032	201	1	30161306	84400	230	EASY	750976	84400	290	NORMAL	750977	84400	350	HARD	750978				2	2	2	3	100	130	150	10	11	12
3008	201	1	30161307	81700	1805	EASY	750976	81700	2295	NORMAL	750977	81700	2765	HARD	750978		750953		2	2	2	1	100	130	150	10	11	12
3010	201	1	30161308	81900	670	EASY	750976	81900	855	NORMAL	750977	81900	1030	HARD	750978				2	2	2	4	100	130	150	10	11	12
3031	201	1	30161309	84300	190	EASY	750976	84300	245	NORMAL	750977	84300	295	HARD	750978		750953		2	2	2	3	100	130	150	10	11	12
3006	201	1	30161310	81200	345	EASY	750976	81200	440	NORMAL	750977	81200	525	HARD	750978				2	2	2	1	100	130	150	10	11	12
3020	201	1	30161311	83610	435	EASY	750976	83610	555	NORMAL	750977	83610	670	HARD	750978		750953		2	2	2	4	100	130	150	10	11	12
3013	201	1	30161312	81610	565	EASY	750976	81610	720	NORMAL	750977	81610	870	HARD	750978				2	2	2	4	100	130	150	10	11	12
3018	201	1	30161313	83500	1700	EASY	750976	83500	2160	NORMAL	750977	83500	2605	HARD	750978				2	2	2	5	100	130	150	10	11	12
3024	201	1	30161314	83900	385	EASY	750976	83900	485	NORMAL	750977	83900	585	HARD	750978		750953		2	2	2	4	100	130	150	10	11	12
3015	201	1	30161315	83100	480	EASY	750976	83100	610	NORMAL	750977	83100	735	HARD	750978				2	2	2	5	100	130	150	10	11	12
3025	201	1	30161316	841000	480	EASY	750976	841000	610	NORMAL	750977	841000	735	HARD	750978				2	2	2	3	100	130	150	10	11	12
3009	201	1	30161317	81800	695	EASY	750976	81800	880	NORMAL	750977	81800	1065	HARD	750978				2	2	2	1	100	130	150	10	11	12
3016	201	1	30161318	87360	640	EASY	750976	87360	810	NORMAL	750977	87360	980	HARD	750978				2	2	2	2	100	130	150	10	11	12
3033	201	1	30161319	845000	300	EASY	750976	845000	350	NORMAL	750977	845000	400	HARD	750978				2	2	2	5	100	130	150	10	11	12
3034	201	1	30161320	846000	355	EASY	750976	846000	451	NORMAL	750977	846000	542	HARD	750978		750953		2	2	2	4	100	130	150	10	11	12
3035	201	1	30161321	85010	350	EASY	750976	85010	444	NORMAL	750977	85010	534	HARD	750978				2	2	2	3	100	130	150	10	11	12
3038	201	1	30161322	82200	576	EASY	750976	82200	732	NORMAL	750977	82200	880	HARD	750978				2	2	2	6	100	130	150	10	11	12
