Id	IsRandom	BaseScore	NormalBallClickKeyCount	MinNormalBallClickKeyTypeCount	MaxNormalBallClickKeyTypeCount	NormalBallClickKey[1]	NormalBallClickKey[2]	NormalBallClickKey[3]	NormalBallClickKey[4]	NormalBallClickKey[5]	NormalBallClickKey[6]	NormalBallClickKey[7]	NormalBallClickKey[8]	BigBallClickKey[1]	BigBallClickKey[2]
1	1	20	1	1	1	1								5	
2	1	30	2	1	1	1								5	
3	1	30	2	2	2	1	2							5	
4	1	40	3	1	2	1	2							5	
5	1	40	3	2	2	1	2	3						5	
6	1	40	3	2	3	1	2	3						5	
7	1	40	4	1	3	1	2	3						5	
8	1	50	4	2	3	1	2	3						5	
9	1	50	4	2	3	1	2	3						5	
10	1	50	4	2	3	1	2	3						5	
11	1	50	4	2	3	1	2	3						5	
12	1	50	4	3	3	1	2	3						5	
13	1	60	5	1	3	1	2	3						5	
14	1	60	5	2	3	1	2	3						5	
15	1	60	5	2	3	1	2	3						5	
16	1	60	5	3	3	1	2	3						5	
17	1	70	6	2	3	1	2	3						5	
18	1	70	6	3	3	1	2	3						5	
19	1	70	6	3	3	1	2	3						5	
20	1	70	6	3	3	1	2	3						5	
21	0	70				1	1	1	1	1	1			5	
22	0	70				1	2	1	2	1	2			5	
23	0	70				1	1	2	2	3	3			5	
24	0	70				1	2	3	1	2	3			5	
25	0	70				3	3	2	2	1	1			5	
26	0	70				3	2	1	3	2	1			5	
27	0	70				3	3	3	3	3	3			5	
28	0	70				2	3	1	2	3	1			5	
29	0	70				2	2	3	3	1	1			5	
30	0	70				2	2	2	2	2	2			5	
31	0	90				5	5	5	5	5	5	5	5	5	
32	0	90				5	5	5	5	5	5	5	5	5	
33	0	20				2								5	
34	0	30				2	1							5	
35	0	40				2	1	3						5	
36	0	40				2	2	1						5	
37	0	40				2	1	1						5	
38	0	40				2	2	2	1					5	
39	0	50				2	2	3	1					5	
40	0	50				2	2	1	1					5	
41	0	60				2	2	3	3	1				5	
42	0	60				2	3	3	3	1				5	
43	0	60				2	2	2	3	1				5	
44	0	60				1	2	3	1	1				5	
45	0	60				3	2	1	2	1				5	
46	0	60				1	2	2	3	1				5	
47	0	70				1	2	3	1	2	3			5	
48	0	70				3	2	1	3	2	1			5	
49	0	70				2	2	2	2	2	2			5	
50	0	70				3	3	2	2	1	1			5	
51	0	70				1	1	2	2	3	3			5	
52	0	70				1	2	3	3	2	1			5	
53	1	70	6	1	1	1	2							5	
54	1	70	6	2	2	1	2							5	
55	1	70	6	2	2	1	3							5	
56	1	70	6	2	2	2	3							5	
57	1	70	6	2	3	1	2	3						5	
58	1	70	6	2	2	1	2	3						5	
59	1	70	6	2	2	1	2	3					1	5	
60	1	70	6	2	3	1	2	3					3	5	
61	1	70	6	3	3	1	2	3						5	
62	1	70	6	3	3	1	2	3						5	
63	0	90				5	5	5	5	5	5	5	5	5	
64	0	90				5	5	5	5	5	5	5	5	5	
65	1	40	3	2	3	1	2	3						5	
66	1	50	4	3	3	1	2	3						5	
67	1	60	5	3	3	1	2	3						5	
68	1	70	6	3	4	1	2	3	4					5	
69	1	80	7	3	4	1	2	3	4					5	
70	1	80	7	4	4	1	2	3	4					5	
71	1	90	8	3	3	1	2	3	4					5	
72	1	90	8	3	4	1	2	3	4					5	
73	1	90	8	3	4	1	2	3	4					5	
74	1	90	8	4	4	1	2	3	4					5	
75	1	90	8	4	4	1	2	3	4					5	
76	1	90	8	4	5	1	2	3	4	5				5	
77	1	90	8	4	5	1	2	3	4	5				5	
78	1	90	8	4	5	1	2	3	4	5				5	6
