Id	Name	ParentGroup	UiType
100	Babylonia		
200	World Government Association of Art		
300	Star of Life		
400	Science Council		
500	Forsaken Base		
600	Kowloong		
700	The Nighter of Nona Ouroboros		
800	Arctic Route Union		
900	Akdilek Commercial Alliance		
1000	Other Ground Areas		
101	Notes	100	
102	Scripts	100	
103	Reports	100	
201	Notes	200	
202	Scripts	200	
301	Notes	300	
302	Scripts	300	
401	Notes	400	
402	Scripts	400	
501	Notes	500	
502	Scripts	500	
601	Notes	600	
603	Reports	600	
701	Notes	700	
801	Notes	800	
802	Scripts	800	
901	Notes	900	
902	Scripts	900	
903	Reports	900	
1001	Notes	1000	
