Id	Name	Icon
1	Babylonian Army	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon020.png
2	Purifying Force	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon006.png
3	Engineering Force	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon007.png
4	Support Force	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon021.png
5	World Government Association of Art	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon008.png
6	Science Council	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon022.png
7	Star of Life	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon023.png
8	Forsaken	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon010.png
9	Arctic Route Union	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon012.png
10	Akdilek Commercial Alliance	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon011.png
11	The Nighter of Nona Ouroboros	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon024.png
12	Kowloong Corp	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon014.png
13	F.O.S. Military College	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon025.png
100	 Celica	
101	 Lee 	
102	 Lucia	
103	 Liv	
104	 Bianca	
105	 Nanami	
106	 Kamui	
107	 Karenina	
108	 Watanabe	
109	 Ayla	
111	 Sophia	
112	 Chrome	
113	 Vera	
114	 Rosetta	
116	 Changyu	
117	 Luna	
118	 2B	
119	 9S	
120	 A2	
121	 Wanshi	
122	 No. 21	
123	 Bambinata	
151	 Camu	
152	 Qu	
153	 Selena	
154	 Roland	
155	 Pulao	
156	 Haicma	
157	 Noan	
200	 Anonymous	
201	 Asimov	
202	Wiles K Wood	
301	Arctic Route Union Experiment Center	
302	Task Force - Gray Raven	
303	Task Force - Cerberus	
304	Science Council Section 2	
