Id	CharacterId	EquipRecommendId	Description
1	1011002	50010	For Advanced Player
2	1011002	50020	For Beginning Player
3	1021001	50110	For Advanced Player
4	1021001	50120	For Beginning Player
5	1031001	50210	For Advanced Player
6	1031001	50220	For Beginning Player
7	1041002	50310	For Advanced Player
8	1041002	50320	For Beginning Player
9	1051001	50410	For Advanced Player
10	1051001	50420	For Beginning Player
11	1061002	50510	For Advanced Player
12	1061002	50520	For Beginning Player
13	1071002	50610	For Advanced Player
14	1071002	50620	For Beginning Player
15	1081002	50710	For Advanced Player
16	1081002	50720	For Beginning Player
17	1021002	50810	For Advanced Player
18	1021002	50820	For Beginning Player
19	1031002	50910	For Advanced Player
20	1031002	50920	For Beginning Player
21	1011003	51010	For Advanced Player
22	1011003	51020	For Beginning Player
23	1031003	51110	For Advanced Player
24	1031003	51120	For Beginning Player
25	1061003	51210	For Advanced Player
26	1061003	51220	For Beginning Player
27	1071003	51310	For Advanced Player
28	1071003	51320	For Beginning Player
29	1051003	51410	For Advanced Player
30	1051003	51420	For Beginning Player
31	1021003	51510	For Advanced Player
32	1021003	51520	For Beginning Player
33	1081003	51610	For Advanced Player
34	1081003	51620	For Beginning Player
35	1091002	51710	For Advanced Player
36	1091002	51720	For Beginning Player
37	1041003	51810	For Advanced Player
38	1041003	51820	For Beginning Player
39	1111002	51910	For Advanced Player
40	1111002	51920	For Beginning Player
41	1121002	52010	For Advanced Player
42	1121002	52020	For Beginning Player
43	1021004	52110	For Advanced Player
44	1021004	52120	For Beginning Player
45	1131002	52210	For Advanced Player
46	1131002	52220	For Beginning Player
47	1141003	52310	For Advanced Player
48	1141003	52320	For Beginning Player
49	1521003	52410	For Advanced Player
50	1521003	52420	For Beginning Player
51	1161002	52510	For Advanced Player
52	1161002	52520	For Beginning Player
53	1181003	52610	For Advanced Player
54	1181003	52620	For Beginning Player
55	1191003	52710	For Advanced Player
56	1191003	52720	For Beginning Player
57	1201003	52810	For Advanced Player
58	1201003	52820	For Beginning Player
59	1171003	52910	For Advanced Player
60	1171003	52920	For Beginning Player
61	1511003	53010	For Advanced Player
62	1511003	53020	For Beginning Player
63	1531003	53110	For Advanced Player
64	1531003	53120	For Beginning Player
65	1211002	53210	For Advanced Player
66	1211002	53220	For Beginning Player
67	1121003	53310	For Advanced Player
68	1121003	53320	For Beginning Player
69	1221002	53410	For Advanced Player
70	1221002	53420	For Beginning Player
71	1131003	53510	For Advanced Player
72	1131003	53520	For Beginning Player
73	1541003	53610	For Advanced Player
74	1541003	53620	For Beginning Player
75	1031004	53710	For Advanced Player
76	1031004	53720	For Beginning Player
77	1531004	53810	For Advanced Player
78	1531004	53820	For Beginning Player
79	1551003	53910	For Advanced Player
80	1551003	53920	For Beginning Player
81	1051004	54010	For Advanced Player
82	1051004	54020	For Beginning Player
83	1561003	54110	For Advanced Player
84	1561003	54120	For Beginning Player
85	1071004	54210	For Advanced Player
86	1071004	54220	For Beginning Player
87	1571003	54310	For Advanced Player
88	1571003	54320	For Beginning Player
89	1041004	54410	For Advanced Player
90	1041004	54420	For Beginning Player
91	1231002	54510	For Advanced Player
92	1231002	54520	For Beginning Player
