Id	ActivatePlugin	FightEventId	Name	Icon	Desc
1011002	18101041	222113	Lee: Palefire Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1021001	18102041	222213	Lucia: Lotus Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1031001	18103041	222313	Liv: Eclipse Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1041002	18104041	222413	Bianca: Zero Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1051001	18105041	222513	Nanami: Storm Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1061002	18106041	222613	Kamui: Bastion Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1071002	18107041	222713	Karenina: Blast Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1081002	18108041	222813	Watanabe: Nightblade Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1021002	18109041	222913	Lucia: Dawn Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1031002	18110041	223013	Liv: Lux Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1011003	18111041	223113	Lee: Entropy Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1031003	18112041	223213	Liv: Luminance Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1061003	18113041	223313	Kamui: Tenebrion Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1071003	18114041	223413	Karenina: Ember Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1051003	18115041	223513	Nanami: Pulse Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1021003	18116041	223613	Lucia: Crimson Abyss Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1081003	18117041	223713	Watanabe: Astral Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1091002	18118041	223813	Ayla: Brilliance Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1041003	18119041	223913	Bianca: Veritas Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1111002	18120041	224013	Sophia: Silverfang Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1121002	18121041	224113	Chrome: Arclight Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1021004	18122041	224213	Lucia: Plume Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1131002	18123041	224313	Vera: Rozen Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1511003	18124041	224413	Camu: Crocotta Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1141003	18125041	224513	Rosetta: Rigor Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1521003	18126041	224613	Qu: Pavo Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1161002	18127041	224713	Changyu: Qilin Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1171003	18128041	224813	Luna: Laurel Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1181003	18129041	224913	2B Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1191003	18130041	225013	9S Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1201003	18131041	225113	A2 Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1211002	18132041	225213	Wanshi: Hypnos Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1531003	18133041	225313	Selena: Tempest Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1121003	18134041	225413	Chrome: Glory Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1221002	18135041	225513	No. 21: XXI Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
1131003	18136041	225513	Vera: Garnet Special Enhancement	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	[Tap icon to view details]
