Id	Name	RowCount	ColumnCount	ContainCards[1]	ContainCards[2]	ContainCards[3]	ContainCards[4]	ContainCards[5]	ContainCards[6]	ContainCards[7]	ContainCards[8]	ContainCards[9]	ContainCards[10]	ContainCards[11]	ContainCards[12]	CostCoinNum	MaxCostNum	TargetNum	FinishGroups[1]	FinishGroups[2]	FinishGroups[3]	FinishGroups[4]	ClearConditionDesc	FinishProgress[1]	FinishProgress[2]	FinishProgress[3]	FinishProgress[4]	Rewards[1]	Rewards[2]	Rewards[3]	Rewards[4]	MaxOnCardsNum	FailedPunishNum
1	Matrix: Origin	2	4	1	3	5	7	2	4	6	8					1	15	2	1|2	3|4	5|6	7|8	Flip over two cards of\n[the same frame] at the same time	1	2	4		12559	12560	12561		2	1
2	Team label: Cerberus	3	3	9	10	11	29	30	31	32	33	34				1	20	3	9|29|32	10|30|33	11|31|34		Flip over three cards of\n[the same image] at the same time	1	2	3		12562	12563	12564		3	1
3	Search: Functions	3	3	6	12	13	14	11	15	16	17	18				1	20	3	6|12|13	11|14|15	16|17|18		Flip over three cards of\n[the same class] at the same time	1	2	3		12565	12566	12567		3	1
4	Time stamp: Summer	3	4	5	20	23	26	6	21	24	27	19	22	25	28	1	30	3	5|6|19	20|21|22	23|24|25	26|27|28	Flip over three cards of\n[the same character] at the same time	1	2	3	4	12568	12569	12570	12571	3	1
5	Crushed Moon	2	4	58	35	36	37	59	40	41	42					1	15	2	58|59	35|40	36|41	37|42	Flip over two cards of \n[the same frame]\nat the same time	1	2	4		12794	12795	12796		2	1
6	Scorching Heart	3	3	43	44	59	54	55	61	56	57	62				1	20	3	43|54|56	44|55|57	59|61|62		Flip over three cards of \n[the same image]\nat the same time	1	2	3		12797	12798	12799		3	1
7	Elemental Synergy	3	3	40	46	49	59	47	50	45	48	51				1	20	3	40|59|45	46|47|48	49|50|51		Flip over three cards of \n[the same stats]\nat the same time	1	2	3		12800	12801	12802		3	1
8	Foreign Sublimation	3	4	58	36	38	39	59	41	52	53	60	63	64	65	1	30	3	58|59|60	36|41|63	38|52|64	39|53|65	Flip over three cards of \n[the same character]\nat the same time	1	2	3	4	12803	12804	12805	12806	3	1
9	Trailblaze	2	4	301	302	303	304	305	306	307	308					1	15	2	301|305	302|306	303|307	304|308	Flip over two cards of \n[the same character]\nat the same time.	1	2	4		12972	12973	12974		2	1
10	Bond	3	3	311	312	313	314	315	316	317	318	319				1	20	3	311|314|317	312|315|318	313|316|319		Flip over three cards of \n[the same character]\nat the same time.	1	2	3		12975	12976	12977		3	1
11	Might	3	3	321	322	323	324	325	326	327	328	329				1	20	3	321|324|327	322|325|328	323|326|329		Flip over three cards of \n[the same energy type]\nat the same time.	1	2	3		12978	12979	12980		3	1
12	Wish	3	4	331	332	333	334	335	336	337	338	339	340	341	342	1	30	3	331|335|339	332|336|340	333|337|341	334|338|342	Flip over three cards of \n[the same character]\nat the same time.	1	2	3	4	12981	12982	12983	12984	3	1
