Id	GroupId	GroupName	GroupLogo	GroupDescription	CharacterId	HeadPortrait	GraduationPortrait	Port	Type	InVisible	CanClickGroup
1	1	Gray Raven	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon000.png	Gray Raven, the subordinate team of Babylonia's Task Force, specializes in combat operations on Earth.	1021001	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4.png	1	1		
2	1	Gray Raven	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon000.png	Gray Raven, the subordinate team of Babylonia's Task Force, specializes in combat operations on Earth.	1031001	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4.png	2	1		
3	2	Gray Raven - Intermediate	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon001.png	Gray Raven, the subordinate team of Babylonia's Task Force, specializes in combat operations on Earth.	1021002	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya1S.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadluxiya4S.png	3	1		
4	2	Gray Raven - Intermediate	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon001.png	Gray Raven, the subordinate team of Babylonia's Task Force, specializes in combat operations on Earth.	1011002	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4.png	4	1		
5	2	Gray Raven - Intermediate	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon001.png	Gray Raven, the subordinate team of Babylonia's Task Force, specializes in combat operations on Earth.	1031002	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu1S.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4S.png	5	1		
6	3	Gray Raven - Advanced	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon002.png	Gray Raven, the subordinate team of Babylonia's Task Force, specializes in combat operations on Earth.	1021004	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Luxiya1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadR4Luxiya4.png	6	1		
7	3	Gray Raven - Advanced	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon002.png	Gray Raven, the subordinate team of Babylonia's Task Force, specializes in combat operations on Earth.	1011003	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLi4SS.png	7	1		
8	3	Gray Raven - Advanced	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon002.png	Gray Raven, the subordinate team of Babylonia's Task Force, specializes in combat operations on Earth.	1031003	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLifu4SS.png	8	1		
9	4	Strike Hawk	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon003.png	Under the Babylonia Task Force, Strike Hawk is a scouting team responsible for scouting missions on Earth.	1061002	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei4.png	9	1		
10	4	Strike Hawk	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon003.png	Under the Babylonia Task Force, Strike Hawk is a scouting team responsible for scouting missions on Earth.	1061003	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadShenwei4SS.png	10	1		
11	4	Strike Hawk	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon003.png	Under the Babylonia Task Force, Strike Hawk is a scouting team responsible for scouting missions on Earth.	1121002	Assets/Product/Texture/Image/RolePlayer/RoleHeadKuluomu1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadKuluomu4.png	11	1		
12	4	Strike Hawk	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon003.png	Under the Babylonia Task Force, Strike Hawk is a scouting team responsible for scouting missions on Earth.	1211002	Assets/Product/Texture/Image/RolePlayer/RoleHeadWanshi1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadWanshi4.png	31	1		
13	4	Strike Hawk	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon003.png	Strike Hawk, the subordinate team of Babylonia's Task Force, is responsible for scouting missions on Earth.	1121003	Assets/Product/Texture/Image/RolePlayer/RoleHeadR3Kuluomu1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadR3Kuluomu4.png	12	1		
14	5	Cerberus	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon004.png	Cerberus, the subordinate team of Babylonia's Executor Force, is adept at performing ground combat missions.	1131002	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png	Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila2.png	13	1		
15	6	Unidentified	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon005.png	No information on this force can be found in Babylonia's database.	1051001	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao4.png	14	1		
16	6	Unclassified	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon005.png	The database of Babylonia has no information about this faction.	1051003	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadYongyechao4SS.png	15	1		
17	7	Purifying Force	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon006.png	Purifying Force of Babylonia, responsible for tidying up the battlefield and hunting down the defected Constructs.	1041002	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadAolisuo4.png	16	1		
18	7	Purifying Force	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon006.png	The Purifying Force of Babylonia is responsible for cleaning the battlefield and hunting down the rebel Constructs.	1041003	Assets/Product/Texture/Image/RolePlayer/RoleHeadBianka1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadBianka4SS.png	17	1		
19	8	Engineering Force	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon007.png	Engineering Force of Babylonia, responsible for military duties and post-war city construction.	1071002	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina4.png	18	1		
20	8	Engineering Force	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon007.png	The Engineering Force of Babylonia is responsible for military and post-war urban engineering construction.	1071003	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadKalienina4SS.png	19	1		
21	9	World Government Association of Art	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon008.png	The WGAA, a gathering of renowned artists of all genres, preserves all the recorded art works in human history and is labeled as the cradle of the future of art.	1091002	Assets/Product/Texture/Image/RolePlayer/RoleHeadAila1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadAila4.png	20	1		
22	10	Ascendant	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon009.png	An organization that has full control of Punishing Virus. No further information.	1021003	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuxiyaaerfa1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuxiyaaerfa4SS.png	21	1		
23	10	Ascendant	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon009.png	A group that can fully control the Punishing Virus. Further information is unknown.	1171003	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuna1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuna4.png	22	1		
24	11	The Forsaken	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon010.png	A military group formed in the Great Retreat period, composed of outcasts and those who were unwilling to leave the earth, they are hostile to Babylonia.	1081002	Assets/Product/Texture/Image/RolePlayer/RoleHeadDubian1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadDubian4.png	23	1		
25	11	Forsaken	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon010.png	A military organization of outcasts and those who were unwilling to leave the earth during the Great Evacuation. They are hostile to Babylonia.	1081003	Assets/Product/Texture/Image/RolePlayer/RoleHeadDubian1SS.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadDubian4SS.png	24	1		
26	12	Akdilek Commercial Alliance	Assets/Product/Texture/Image/UiCharacterExhibitionImage/UiCharacterExhibitionImageTeamIcon011.png	A commercial alliance that is based at Asslam, the Eternal Engine. It puts profits over anything else.	1111002	Assets/Product/Texture/Image/RolePlayer/RoleHeadSufeiya1.png	Assets/Product/Texture/Image/RolePlayer/RoleHeadSufeiya4.png	25	1		
