Id	Name	Desc	Condition[1]	Condition[2]	StageId	TRPGRewardId	PrefabName	Icon	DialogIcon
10000	Decision Altitude 	Gravity engines operating at 22.7%. Babylonia is falling.	601000		10130200	10000	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
13002	A Familiar Sight	The virtual space looks completely normal, but there is something hidden underneath.	100811	601012	10130171		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightSquare.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa01.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa01a.png
13003	Unexpected Bolt	You encounter unexpected events, both friendly and hostile... both commanded and improvised.	100812	601012	10130172		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa02.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa02.png
11004	Fake Friendship	False is false.	100813	601012	10130201		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
11005	Profile of Bait	Veritas ends in pursuit.	100814	601012	10130202		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
11007	Fragile Relationship	Is relationship and bond between people strong or frail?	100815	601012	10130203	11007	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
13008	Breaking a Deadlock	Finally, there is a hope to break the deadlock.	100816	601012	10130173		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa03.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa03.png
11009	Sealed Shut	All signals come to a screeching halt here.	100817	601012	10130204	11009	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
13011	"Huaxu"	No matter who "it" works for, you've got to make it stop.	100818	601012	10130174		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangleBoss.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa04.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageAa04.png
13012	S.S.D.D	The crisis in Babylonia is lifted temporarily. And everything returns to normal.	100819	601012	10130205	11012	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryAa01.png
20000	Enhanced Inverse	If you see something too dangerous, don't let curiosity get the best of you.	100820	601012	10130206	20000	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa01.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21001	Restore Clue	It seems that we will maintain this perspective until the end of this mission.	100821	602034	10130207		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21003	Enemies in Sight	Projections of Corrupted, the Corrupted, growths of punishing...	100822	602034	10130208		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
23004	Crimson Tide	The four of you gaze into the red tide of life and death, just like how it gazes back.	100823	602034	10130175		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightSquare.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa02.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa02a.png
21005	Shades of the Past	Looks like... this commandant must have been dead for over a week.	100824	602034	10130209		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21011	Piper	They seem to be lured by the "sound of the flute" and submerge in the sea of crimson.	100825	602034	10130210	21001	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
23014	Hetero-Creature	These Corrupted have started to develop biological traits. Simply calling them "Corrupted" would be inaccurate.	100826	602034	10130176		Assets/Product/Ui/ComponentPrefab/GridStage/GridStageTRPGFightRectangle.prefab	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa03.png	Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageBa03.png
21016	Plunder & Sacrifice	In order to survive, we have to decide what to accept, as difficult to bear as they are... That's the price.	100827	602034	10130211		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21017	Past & Future	Please don't hate me.	100828	602034	10130212		Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
21020	Blood Link	...Will I become someone like her?	100829	602034	10130213	21011	Assets/Product/Ui/ComponentPrefab/GridStage/GridStagTRPGStory.prefab		Assets/Product/Texture/Image/UiTRPG/FubenTRPGStageStoryBa01.png
