Id	Name	Priority	Hint	Condition[1]	Condition[2]	Condition[3]	Type
1	Target	1	1	770100			1
2	Reserve	2	0				1
3	Recharge	3	0				1
4	Settings	4	0				1
5	Sign-in	4	0	770200			1
6	Feedback	6	0				1
7	Reward	5	0				1
8	Gift Code	6	0				1
101	Construct	7	0				1
102	Member-Promote	8	1	770301			1
103	Construct - Evolve	9	1				1
104	Member-Skills	10	1				1
105	Member - Transcendant	55	1	774400			1
106	Member - Transcendant	10	1	8005			1
107	Members - Skill Leap	11	1				1
108	Members - Uniframe Leap	11	1				1
201	Equip	11	1				1
202	Equipment - Enhance	12	1				1
203	Equipment - Resonance	13	1				1
204	Gear - Quick Enhance	14	1	770400			1
206	Equipment - Quick Train	14	1	770401			1
207	Equipment Goal - Recommended	14	1	770403			1
208	Equipment Goal - Settings	14	1	770404			1
301	Warehouse	15	1				1
401	Research	16	1	770402			1
402	Research - Equipment	17	1				1
403	Research - Limited/Festival Event	17	0	772270			1
501	Mission	18	1				1
502	Mission - Story	19	1				1
503	Mission - Daily	20	1	770500			1
504	Mission - Event	21	1				1
505	Mission - Weekly	22	1	770500			1
601	Team	23	1				1
602	Team - Mark	24	0	770600			1
603	Team - Achievement	25	1				1
604	Team - Review	26	1				1
701	Mail	27	1				1
801	Friends	28	0	770700			1
802	Chat Channel	29	0	770700			1
901	Foundations - Floor Equipment	30	0	770800			1
902	Dormitory	31	1	770900			1
1001	Regular Shop	32	1	771000			1
1002	Event Shop	33	1	771100			1
1003	Voucher Shop - Voucher Exchange	34	1	771000			1
1201	Dispatch	35	0	771200			1
1301	Bounty Mission	47	0	773400			1
1302	Operation Guardians	47	1	773400			1
1303	Guide	110	1	870003			1
1304	Fake Ascension	111	0	84101226			1
1305	Nier Mission	112	0	5001			1
1306	Micawberism Cloisters	115	0	601000			1
1307	Chestlefield	59	0	5001			1
1308	Festival Mission Event	59	0	772250			1
1309	White Day Dating Event	118	0	774800			1
1310	Eden Festival	59	0	84601200			1
1400	Affection	48	0	773500			1
1401	Affection - File	49	0	773600			1
1402	Affection - Story	50	0	773700			1
1403	Affection - Gift	51	0	773800			1
1404	Affection - Encounter	52	0	773900			1
1501	Customize Control	46	0	774000			1
1601	Memory Rescue	53	1	774100			1
1701	Interlude	35	1	774200			1
1800	Celica's Class	79	1	774501			1
1801	CUB Tutorial	80	1	8006			1
1802	F.O.S. Rating Committee	79	1	774500			1
1901	Guild	38	1	770710			1
1902	Guild - Create	38	0				1
1903	Guild - Join	38	0				1
1904	Guild Boss	38	1	772310			1
2001	Support	39	1	771300			1
2100	Collection	99	1				1
2101	Medal List	100	1	774600			1
2102	Chatting Nameplate System	100	1	774600			1
2200	Codex System	101	1	774700			1
2300	Lv.2 Menu	113	0				1
2400	Photo System	114	1				1
3000	Total Recharge	102	0				1
4000	Eden II	103	0	774800			1
4001	Voting	104	1				1
5001	CUB	117	1	8006			1
6000	Calendar System	123	1	5004			1
8001	Share Invite Code	105	0				1
10101	Normal Story	40	0				1
10102	Hidden Story	41	1	771400			1
10103	Stronghold	35	1	771500			1
10201	Challenge Stage	35	0				1
10202	Challenge - Lemegeton	35	0	771600			1
10203	Challenge - Phantom Pain Cage	35	1	771700			1
10204	Challenge - War Zone	43	1	771801			1
10205	Norman Revival Plan	116	0	870006			1
10206	Norman Revival Plan Power Station	119	0	870006			1
10300	Event Info	44	0				1
10301	Event Quest	44	0				1
10302	Co-op	44	1	772000			1
10303	Event [Mass Deterioration]	44	0	772100			1
10304	Brutal Level	44	0	772200			1
10305	Test Area	45	0	772300			1
10306	Festival Stage	46	0	772250			1
10307	Babel Tower	47	0	772280			1
10308	Main Story	48	0	772260			1
10309	Event Rerun	49	0	772260			1
10310	Tower-Climbing Event	50	0	772290			1
10311	Challenge - Border Pact	44	1	774900			1
10312	Joint Warfare	51	0	8004			1
10313	Phalanx	50	0	775000			1
10314	Extra Story	50	0	775800			1
10315	Autopoiesis Maze	50	0	84700201			1
10316	Special Training	51	0	775600			1
10317	Special Training Minigame	51	0	774800			1
10318	Virtual Horizon	52	0	775100			1
10319	Ghost Festival Minigame	53	0	774800			1
10320	World Boss	107	0	5001			1
10321	RPG Mode	108	0	5001			1
10322	Honor Rank	109	1	844001	844002		1
10323	Ghost Festival Mission	54	0	774800			1
10324	Mini Puzzle	55	0	774800			1
10325	Character Tutorial Stage	56	0	774500			1
10326	Christmas Minigame	57	0	774800			1
10327	New Year Minigame	58	0	774800			1
10328	Couplets Mini-game	59	0				1
10329	Ro-sham-bo Mini-game	60	0	774800			1
10330	Simulated Battle	61	0	775100			1
10331	Flip Mini-game	62	0	774800			1
10333	Poker Guessing	64	0	774800			1
10334	Story launch - Venus Skit	65	0	774800			1
10335	MineSweeper	66	0	774800			1
10336	Hacking Mode	67	0	5001			1
10337	Modify Mode	68	0	775700			1
10338	May Day Scratch-off	63	0	775400			1
10339	Get Carter	69	0	774800			1
10340	Deep Blue Warzone	59	0	84601500			1
10341	Series Coating Event	120	0				1
10342	Battle Pass	70	0	775500			1
10343	Co-op	70	0	8005			1
10345	2021-Dragon Boat Festival Games	121	0	30406			1
10346	2021 - Photo Mode	122	0	774800			1
10347	Liv: Empyrea Match Game	71	0	774800			1
10348	Audio Puzzle	72	0	774800			1
10349	Server Final Battle	73	0	84601200			1
