Id	Name	ConditionIds[1]	ConditionIds[2]	Priority	SkipId	BtnContent	NpcName	NpcHandIcon	ContentsGroupId	Type	UiType	StartTimeStr	EndTimeStr
800	Valentine's Message: Lee	7100		55		Happy Valentine's Day, Lee.	Lee	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLi1.png	800	1	2	2020/2/14 0:00	2020/2/16 23:59
801	Valentine's Message: Liv	7101		56		Happy Valentine's Day, Liv.	Liv	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLifu1.png	801	1	2	2020/2/14 0:00	2020/2/16 23:59
802	Valentine's Message: Kamui	7102		57		Happy Valentine's Day.	Kamui	Assets/Product/Texture/Image/RoleCharacter/RoleHeadShenwei1.png	802	1	2	2020/2/14 0:00	2020/2/16 23:59
803	Valentine's Message: Lucia	7103		58		I like Lucia too. Happy Valentine's Day.	Lucia	Assets/Product/Texture/Image/RoleCharacter/RoleHeadluxiya1.png	803	1	2	2020/2/14 0:00	2020/2/16 23:59
804	Valentine's Message: Nanami	7104		59		Thank you.	Nanami	Assets/Product/Texture/Image/RoleCharacter/RoleHeadYongyechao1.png	804	1	2	2020/2/14 0:00	2020/2/16 23:59
805	Valentine's Message: Bianca	7105		60		Happy Valentine's Day, Bianca.	Bianca	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAolisuo1.png	805	1	2	2020/2/14 0:00	2020/2/16 23:59
806	Valentine's Message: Karenina	7106		61		Thank... Thank you...	Karenina	Assets/Product/Texture/Image/RoleCharacter/RoleHeadKalienina1.png	806	1	2	2020/2/14 0:00	2020/2/16 23:59
807	Valentine's Message: Ayla	7107		62		Thank you.	Ayla	Assets/Product/Texture/Image/RoleCharacter/RoleHeadAila1.png	807	1	2	2020/2/14 0:00	2020/2/16 23:59
808	Valentine's Message: Watanabe	7108		63		Happy Valentine's Day!	Watanabe	Assets/Product/Texture/Image/RoleCharacter/RoleHeadDubian1.png	808	1	2	2020/2/14 0:00	2020/2/16 23:59
809	Valentine's Message: Lucia	7109		64		Thank you.	α	Assets/Product/Texture/Image/RoleCharacter/RoleHeadLuxiyaaerfa1SS.png	809	1	2	2020/2/14 0:00	2020/2/16 23:59
900	Celica			56		...Alright, happy Children's Day.	Celica	Assets/Product/Texture/Image/RoleCharacter/SailikaNomal01.png	900	2	2	2022/5/5 0:00	2022/5/5 23:59
96000010	Valentine's Message: Chrome	96000010		65		Happy Valentine's Day, Chrome.		Assets/Product/Texture/Image/RoleCharacter/RoleHeadKuluomu1.png		1	2	2022/2/13 0:00	2022/2/16 23:59
96000011	Valentine's Message: Sophia	96000011		66		Thanks. I like it a lot.		Assets/Product/Texture/Image/RoleCharacter/RoleHeadSufeiya1.png		1	2	2022/2/13 0:00	2022/2/16 23:59
96000012	Valentine's Message: Vera	96000012		67		Will... do.		Assets/Product/Texture/Image/RoleCharacter/RoleHeadWeila1.png		1	2	2022/2/13 0:00	2022/2/16 23:59
96000013	Valentine's Message: Camu	96000013		68		Thank you.		Assets/Product/Texture/Image/RoleCharacter/RoleHeadKamu1.png		1	2	2022/2/13 0:00	2022/2/16 23:59
