Id	Name	GroupId	SortId	TimeId	ShowBeginTime	ShowEndTime	ActivityType	ActivityBgType	ActivityBg	ActivityTitle	ActivityDes	ActivityPrefabPath	Params[0]	Params[1]	Params[2]	Params[3]	Params[4]	Params[5]	Params[6]	ConditionId
998	Invite Friend	3	1				4	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBase6InviteFriend.png	Invite Friend	You can share your invite code to Lv.≥20 commandants. If they use your code, you will have invited them successfully.	Assets/Product/Ui/ComponentPrefab/ActivityBase/PanelSendInvitation.prefab	2	10015	3					
999	Invite Code	3	1				5	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBase5OtherInviteCode.png	Invite Code	Welcome back to Gray Raven HQ. You can input the invite code of other commandants to receive corresponding rewards.	Assets/Product/Ui/ComponentPrefab/ActivityBase/PanelAcceptInvitation.prefab	2	10016						
970	Return Support	5	1				1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBase6OtherHuigui.png	Return Support	During the event, commandants in the "Return" state can complete the missions and get the rewards (the event ends when the Return state expires).		31							845020
91	Topological Manifold	15	1	12001			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseInvertCardGameTop.png	Topological Manifold	Mission Info: Complete event missions to obtain [Klein Bottles].		157	20164						
92	A Covenant of Glass	12	1	11101			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseBodyCombine.png	A Covenant of Glass	Event Info: Complete event missions to obtain [Crystal-Heart Plush].		146	20154						
93	Character Leap - Luminance	13	1	9005			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBase6OtherHuigui.png	Character Leap	Instructions: Experience the new powers brought about by Leap in the tutorial stage.		132							8006
94	Left Unsaid	36	1	12002			1	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseMainLineV131.png	Left Unsaid	Event Info: Play through the new event story [Left Unsaid] and complete missions.		161							
95	Once in a Blue Moon	36	2	12003			3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseMoonV131.png	Once in a Blue Moon	Requirements: Commandant Lv.40\n\nEvent Info:\n1. New Event Record Story: Mid-Autumn [Once in a Blue Moon].\n2. Permanent story. Stage progress will be retained.		20166							8001
96	A Dance in the Park	36	3	12201			3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseRPGV131.png	A Dance in the Park	Requirements: Commandant Lv.52\n\nEvent Info: \n1. In this event, you will modify 5 designated frames and start a unique adventure.\n2. Level up your team and enhance all your frames through battles and Daily Supplies. In case you get stuck, you might as well wait for supplies to enhance your frames and then resume your challenge.\n3. Level up your team to also perform specialized modification on your frames. Each frame has two unique Specialty Paths and combat styles. You can switch between them accordingly in combat.\n4. Participate in the event to get Event Construct R&D Tickets, Trade Vouchers, event-exclusive Collectibles, and massive upgrade materials.		11736							8008
97	Circuit Connect	36	4	12101			3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSanXiaoV131.png	Circuit Connect - Force Unleashed	Requirements: Commandant Lv.40 and clear Normal Story Mission 2-3\n\nEvent Info:\n1. Swap the Signal Orbs. Ping Orbs by lining up 3 or more Orbs.\n2. Each character has their unique Finishing Move. Accumulate enough Finishing Move Energy to perform it after the cooldown is over to gain an upper hand in combat.\n3. The 6 bosses of the event will be available for challenge one by one. Select the character and secondary skills according to the skills and traits of the boss to start the challenge.\n4. Complete daily and accumulation missions to earn event tokens to purchase more characters and secondary skills in the event shop. Strive for higher points!		82010							8001
98	Cursed Waves	36	5	12508			3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseRogueV131.png	Cursed Waves	Requirements: Commandant Lv.70\n\nEvent Info:\n1. Reward Level Increase: Reward Level Limit increased from Lv.60 to Lv.70.\n2. Version Mission Rotation: Version missions updated for challenge again.\n3. New Character: "Bambinata: Vitrum" already added to the Recruitment Voucher pool.\n4. New Bond: "Yesterday's Egrets" can now be activated in adventures.		85015							70022
99	Operation Uniframe 4.0	36	6	12403			3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseSPV131.png	Operation Uniframe 4.0	Requirements: Commandant Lv.52 or above\n\nEvent Info: \n1. This event has 2 phases that are independent of each other.\n2. Each phase consists of 3 Combat Area and 1 Central Area.\n3. Clearing the stages in a Combat Area increase its Energy Supply Level.\n4. Each area grants additional points to the Central Area based on its Energy Supply Level.		82070							8008
100	House of Hope	36	7	12301			3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseFuShuaV131.png	House of Hope	Requirements: Commandant Lv.40.\nStage open until: 12/11, 06:59 (UTC)\nEvent shop open until: 12/12, 01:59 (UTC)\n\nEvent Info:\n1. You can obtain event tokens by clearing a stage. Some stages may drop random Memories.\n2. Event tokens can be used to purchase items from the event shop.\n3. Clearing a stage will earn you Challenge EXP. Your Authority Level will be increased when you earn a certain amount of Challenge EXP. Increased Authority Level will grant Battle bonuses including damage increase.\n(Note: Those bonuses can be applied to House of Hope stages only.)		20017							8001
101	Omniframe Target	36	8	12506			3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseDrawBBNTV131.png	Omniframe Target - Vitrum	New Omniframe:\n※A-Rank Ice Attacker [Bambinata: Vitrum]\nNew Weapon:\n※6★ [Sound of Silence] (Mantis Blades)\n\nInfo:\n1. Character Research:\n※[Bambinata: Vitrum] will be available in the [Basic Research] Pool.\n You have a 100% chance to get [Bambinata: Vitrum] when you get \nan A-Rank character.\n2. Weapon Research:\n※[Sound of Silence] will be available in the [Weapon Target] Research Pool\nwith the same rules and rates as other weapons.		7205							
102	New Coating - Niki US1000	36	9	12502			3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLuoziNikkiV131.png	Niki US1000	New Coating:\nOmniframe [Rosetta: Rigor] Coating: [Niki US1000]\n\nInfo:\n[Niki US1000] will be on sale at "30% off" in "Top-up - Coating Supply"\nduring the event.		20020							
103	New Coating - Swan Lake	36	10	12507			3	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseDrawBanShengV131.png	Swan Lake	New Coating:\nOmniframe [Bambinata] Coating: [Swan Lake]\n\nInfo:\n[Swan Lake] will be on sale at "30% off" in "Top-up - Coating Supply"\nduring the event.		20020							
