Id	Name	SortId	Bg
1	The Ark Beyond	1	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg1.png
2	Reveries with a Whale	2	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg1.png
3	Invite Event	10	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg2.png
4	Mid-Autumn Rerun Mission	11	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg38.png
5	Return Support	12	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg11.png
6	Limited Collab Rewards	20	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg21.png
7	Rosa Tryst	21	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg20.png
8	Rabbit Hunt	22	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg29.png
9	Deed of Snow Leopard	31	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg45.png
10	Roamer Records	32	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg44.png
11	Dark Winter Origin	33	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelMineSweepingGameV20.png
12	Futurismo	105	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg56.png
13	Character Leap Trial	106	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelCharaUp.png
14	Arcade Anima	69	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelCharacterTowerV132.png
15	Topological Manifold	107	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg55.png
16	Survey	999	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelQuestionnaire.png
17	Godseeker's Psalm	52	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg48.png
18	Entropy: Illusionist	105	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg49.png
19	Tenebrion: Tiger Imperium	54	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg46.png
20	Adaptation Fitting: Jet Jaeger	55	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLabelBg50.png
21	Oath of Purity	104	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseTableBgKrLantern.png
22	A New Divide	101	Assets/Product/Texture/Image/UiActivityBase/UiActivityBaseLableMainLineV128.png
