Id	InitScore	ReduceScoreParam	StageIds[1]	StageIds[2]	Name	NumberName
1	1200	200	30162491	30162492	First Meditation	01
2	300	200	30162489	30162490	Second Meditation	02
3	100	200	30162487	30162488	Third Meditation	03
11	2600	200	30162457	30162458	First Meditation	01
12	1200	200	30162455	30162456	Second Meditation	02
13	300	200	30162453	30162454	Third Meditation	03
14	100	200	30162451	30162452	Fourth Meditation	04
21	2600	200	30162465	30162466	First Meditation	01
22	1200	200	30162463	30162464	Second Meditation	02
23	300	200	30162461	30162462	Third Meditation	03
24	100	200	30162459	30162460	Fourth Meditation	04
31	4600	200	30162475	30162476	First Meditation	01
32	2600	200	30162473	30162474	Second Meditation	02
33	1200	200	30162471	30162472	Third Meditation	03
34	300	200	30162469	30162470	Fourth Meditation	04
35	100	200	30162467	30162468	Fifth Meditation	05
41	4600	200	30162485	30162486	First Meditation	01
42	2600	200	30162483	30162484	Second Meditation	02
43	1200	200	30162481	30162482	Third Meditation	03
44	300	200	30162479	30162480	Fourth Meditation	04
45	100	200	30162477	30162478	Fifth Meditation	05
