StageId	ModelId	BossName	Score	PreFullScore[1]	PreFullScore[2]	PreFullScore[3]	BossLoseHpScore	LeftTimeScore	LeftHpScore	DifficultyType	DifficultyDesc	DifficultyDescEn	AutoFight	FightCharCount	OpenCondition[1]	OpenCondition[2]	BuffDetailsId[1]	BuffDetailsId[2]	BuffDetailsId[3]	BuffDetailsId[4]	BuffDetailsId[5]	FeaturesId[1]	FeaturesId[2]	FeaturesId[3]	SkillTitle[1]	SkillDesc[1]	SkillTitle[2]	SkillDesc[2]	SkillTitle[3]	SkillDesc[3]	SkillTitle[4]	SkillDesc[4]	SkillTitle[5]	SkillDesc[5]	SkillTitle[6]	SkillDesc[6]	SkillTitle[7]	SkillDesc[7]	SkillTitle[8]	SkillDesc[8]	SkillTitle[9]	SkillDesc[9]	SkillTitle[10]	SkillDesc[10]	SkillTitle[11]	SkillDesc[11]	SkillTitle[12]	SkillDesc[12]	AttackName[1]	AttackName[2]	AttackName[3]
30000101	Me1SwordMd002001	Musashi IX	12500				5000	6000	1500	1	Test	TEST	1	1			90000								Jet Blade	Musashi IX fires a powerful blade shockwave at the enemy.	Leaguestep	Musashi IX closes the distance quickly with an enemy.																							
30000102	Me1SwordMd002001	Musashi IX	25000				10000	12000	3000	2	Elite	ELITES	1	1			90000								Heart of Sword Mode	Musashi IX conceals his own form, leaving only a shadow behind, and unleashes a shockwave at the enemy.	Jet Blade	Musashi IX fires a powerful blade shockwave at the enemy.	Leaguestep	Musashi IX closes the distance quickly with an enemy.																					
30000103	Me1SwordMd002001	Musashi IX	50000				20000	24000	6000	3	Knight	KNIGHT	1	1			90000								Blade Shockwave	Musashi IX unleashes multiple shockwaves at an enemy from multiple directions.	Heart of Sword Mode	Musashi IX conceals his own form, leaving only a shadow behind, and unleashes a shockwave at the enemy.	Jet Blade	Musashi IX fires a powerful blade shockwave at the enemy.	Leaguestep	Musashi IX closes the distance quickly with an enemy.																			
30000104	Me1SwordMd002001	Musashi IX	100000				40000	48000	12000	4	Chaos	CHAOS	0	1			90000								Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Blade Shockwave	Musashi IX unleashes multiple shockwaves at an enemy from multiple directions.	Heart of Sword Mode	Musashi IX conceals his own form, leaving only a shadow behind, and unleashes a shockwave at the enemy.	Jet Blade	Musashi IX fires a powerful blade shockwave at the enemy.	Leaguestep	Musashi IX closes the distance quickly with an enemy.																	
30000105	Me1SwordMd002001	Musashi IX	200000				80000	96000	24000	5	Hell	HELL	0	1			90000								Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Blade Shockwave	Musashi IX unleashes multiple shockwaves at an enemy from multiple directions.	Heart of Sword Mode	Musashi IX conceals his own form, leaving only a shadow behind, and unleashes a shockwave at the enemy.	Jet Blade	Musashi IX fires a powerful blade shockwave at the enemy.	Leaguestep	Musashi IX closes the distance quickly with an enemy.																	
30000111	Me1SwordMd002001	Musashi IX	200000				80000	96000	24000	6	Hidden	HIDE	0	1	420001		90000								Infinite	60s continuous challenge. Once the boss is defeated, it will respawn with increased HP for up to 10 times.	Blade Shockwave	Musashi IX unleashes multiple shockwaves at an enemy from multiple directions.	Heart of Sword Mode	Musashi IX conceals his own form, leaving only a shadow behind, and unleashes a shockwave at the enemy.	Jet Blade	Musashi IX fires a powerful blade shockwave at the enemy.	Leaguestep	Musashi IX closes the distance quickly with an enemy.																	
30000201	Mb1OrphanMd030001	Nozzle	12500				5000	6000	1500	1	Test	TEST	1	1			90001	90002							Burst	Throws an ice bomb at an enemy.	Leap Attack	Smashes the ground, dealing area damage.	Spray	Sprays the ground with ice, which deals damage over time to enemies.																					
30000202	Mb1OrphanMd030001	Nozzle	25000				10000	12000	3000	2	Elite	ELITES	1	1			90001	90002							Jump Smash	Smashes the ground multiple times, dealing area damage.	Burst	Throws an ice bomb at an enemy.	Leap Attack	Smashes the ground, dealing area damage.	Spray	Sprays the ground with ice, which deals damage over time to enemies.																			
30000203	Mb1OrphanMd030001	Nozzle	50000				20000	24000	6000	3	Knight	KNIGHT	1	1			90001	90002							Jump Smash	Smashes the ground multiple times, dealing area damage.	Burst	Throws an ice bomb at an enemy.	Leap Attack	Smashes the ground, dealing area damage.	Spray	Sprays the ground with ice, which deals damage over time to enemies.																			
30000204	Mb1OrphanMd030001	Nozzle	100000				40000	48000	12000	4	Chaos	CHAOS	0	1			90001	90002							Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Boosted Spray	Sprays the ground with ice, which deals damage over time to enemies. Ice duration extended	Jump Smash	Smashes the ground multiple times, dealing area damage.	Burst	Throws an ice bomb at an enemy.	Leap Attack	Smashes the ground, dealing area damage.	Reinforcements	Call upon Jitterbombs to defeat the enemies															
30000205	Mb1OrphanMd030001	Nozzle	200000				80000	96000	24000	5	Hell	HELL	0	1			90001	90002							Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Boosted Spray	Sprays the ground with ice, which deals damage over time to enemies. Ice duration extended	Jump Smash	Smashes the ground multiple times, dealing area damage.	Burst	Throws an ice bomb at an enemy.	Leap Attack	Smashes the ground, dealing area damage.	Reinforcements	Call upon Jitterbombs to defeat the enemies															
30000211	Mb1OrphanMd030001	Nozzle	200000				80000	96000	24000	6	Hidden	HIDE	0	1	420002		90001	90002							Infinite	60s continuous challenge. Once the boss is defeated, it will respawn with increased HP for up to 10 times.	Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Boosted Spray	Sprays the ground with ice, which deals damage over time to enemies. Ice duration extended	Jump Smash	Smashes the ground multiple times, dealing area damage.	Burst	Throws an ice bomb at an enemy.	Leap Attack	Smashes the ground, dealing area damage.	Reinforcements	Call upon Jitterbombs to defeat the enemies													
30000301	Mb1LuolanMd010001	Roland	12500				5000	6000	1500	1	Test	TEST	1	1			90003	90004							Open Fire	Roland fires his shotgun at an enemy.	Step Slash	Roland leaps in front and swipes at the enemy.	Bullet Kick	Roland kicks the enemy multiple times, dealing damage and knocking them away.																					
30000302	Mb1LuolanMd010001	Roland	25000				10000	12000	3000	2	Elite	ELITES	1	1			90003	90004							Scythe Form	Roland swings his chain blade, unleashing a powerful shockwave.	Open Fire	Roland fires his shotgun at an enemy.	Step Slash	Roland leaps in front and swipes at the enemy.	Bullet Kick	Roland kicks the enemy multiple times, dealing damage and knocking them away.																			
30000303	Mb1LuolanMd010001	Roland	50000				20000	24000	6000	3	Knight	KNIGHT	1	1			90003	90004							Scythe Form	Roland swings his chain blade, unleashing a powerful shockwave.	Open Fire	Roland fires his shotgun at an enemy.	Step Slash	Roland leaps in front and swipes at the enemy.	Bullet Kick	Roland kicks the enemy multiple times, dealing damage and knocking them away.																			
30000304	Mb1LuolanMd010001	Roland	100000				40000	48000	12000	4	Chaos	CHAOS	0	1			90003	90004							Scorched Earth	Bends the battlefield to one's will, causing enemies on the battlefield to continuously take extra damage.	Explosive Barrel	Roland hooks an explosive barrel and detonates it in mid-air, dealing heavy damage.	Flying Man	Roland pulls himself into the air with his chain blade, dropping powerful bombs on the enemy.	Scythe Form	Roland swings his chain blade, unleashing a powerful shockwave.	Open Fire	Roland fires his shotgun at an enemy.	Step Slash	Roland leaps in front and swipes at the enemy.	Bullet Kick	Roland kicks the enemy multiple times, dealing damage and knocking them away.													
