Id	GroupIcon	GroupName	SectionId[1]	SectionId[2]	SectionId[3]	SectionId[4]	SectionId[5]
1	Assets/Product/Texture/Atlas/UiFubenChallengeMapBoss/BossSingleBtnTabLock.png	Group α	101	102	103	104	
2	Assets/Product/Texture/Atlas/UiFubenChallengeMapBoss/BossSingleBtnTabPre.png	Group β	105	108	106		
3	Assets/Product/Texture/Atlas/UiFubenChallengeMapBoss/BossSingleBtnTabSle.png	Group α	101	102	103		
4	Assets/Product/Texture/Atlas/UiFubenChallengeMapBoss/BossSingleJifenBg1.png	Group β	104	105	106		
5	Assets/Product/Texture/Atlas/UiFubenChallengeMapBoss/BossSingleBtnTabLock.png	Group γ	108	109			
6	Assets/Product/Texture/Atlas/UiFubenChallengeMapBoss/BossSingleBtnTabLock.png	Group α	101	102	103		
7	Assets/Product/Texture/Atlas/UiFubenChallengeMapBoss/BossSingleBtnTabPre.png	Group β	104	105	106	203	
8	Assets/Product/Texture/Atlas/UiFubenChallengeMapBoss/BossSingleBtnTabLock.png	Group γ	108	109	110		
9	Assets/Product/Texture/Atlas/UiFubenChallengeMapBoss/BossSingleBtnTabLock.png	Group α	2014	2011	2010	2017	2016
10	Assets/Product/Texture/Atlas/UiFubenChallengeMapBoss/BossSingleBtnTabPre.png	Group β	2009	2018	2007	2019	2006
11	Assets/Product/Texture/Atlas/UiFubenChallengeMapBoss/BossSingleBtnTabLock.png	Group γ	2008	2013	2012	2015	
