Id	BossLoseHp[1]	BossLoseHpScore[1]	BossTotalHp[1]	LeftTime[1]	LeftTimeScore[1]	CharLeftHp[1]	CharLeftHpSocre[1]	BossLoseHp[2]	BossLoseHpScore[2]	BossTotalHp[2]	LeftTime[2]	LeftTimeScore[2]	CharLeftHp[2]	CharLeftHpSocre[2]	BossLoseHp[3]	BossLoseHpScore[3]	BossTotalHp[3]	LeftTime[3]	LeftTimeScore[3]	CharLeftHp[3]	CharLeftHpSocre[3]	BossLoseHp[4]	BossLoseHpScore[4]	BossTotalHp[4]	LeftTime[4]	LeftTimeScore[4]	CharLeftHp[4]	CharLeftHpSocre[4]
30000101	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30000102	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30000103	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30000104	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30000105	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30000111	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	1200	4000000	1	0	0.01	360
30000201	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30000202	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30000203	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30000204	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30000205	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30000211	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	1200	4000000	1	0	0.01	360
30000301	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30000302	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30000303	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30000304	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30000305	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30000311	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	1200	4000000	1	0	0.01	360
30000601	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30000602	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30000603	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30000604	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30000605	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30000611	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	1200	4000000	1	0	0.01	360
30000501	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30000502	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30000503	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30000504	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30000505	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30000511	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	1200	4000000	1	0	0.01	360
30000701	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30000702	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30000703	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30000704	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30000705	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
30000711	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	800	4000000	1	0	0.01	240	0.01	1200	4000000	1	0	0.01	360
30000901	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	50	0	1	20	0.01	15	0.01	75	0	1	0.125	0.01	22.5
30000902	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	100	0	1	40	0.01	30	0.01	150	0	1	0.25	0.01	45
30000903	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	200	0	1	80	0.01	60	0.01	300	0	1	0.5	0.01	90
30000904	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	400	0	1	160	0.01	120	0.01	600	0	1	1	0.01	180
30000905	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	800	0	1	320	0.01	240	0.01	1200	0	1	2	0.01	360
