Id	CvId	Msec	A	I	U	E	O
0	104001	0	0	0	0	0	0
1	104001	16	0	0	0	0	0
2	104001	33	0	0	0	0	0
3	104001	50	0	0	0	0	0
4	104001	66	0	0	0	0	0
5	104001	83	0	0	0	0	0
6	104001	100	0	0	0	0	0
7	104001	116	0	0	0	0	0
8	104001	133	0.02	0.02	0	0	0
9	104001	150	0.04	0.04	0	0	0
10	104001	166	0.020007	0	0	0	0.188413
11	104001	183	0.020179	0	0	0	0.378802
12	104001	200	0.020571	0	0	0	0.460799
13	104001	216	0	0	0.033474	0	0.510899
14	104001	233	0	0.059834	0	0	0.5109
15	104001	250	0	0.119669	0	0	0.5109
16	104001	266	0	0.159669	0	0	0.322488
17	104001	283	0	0.199669	0	0	0.132098
18	104001	300	0	0.219669	0.066947	0	0
19	104001	316	0.01	0.41965	0	0	0
20	104001	333	0.04	0.359981	0	0	0
21	104001	350	0.06	0.359981	0	0	0
22	104001	366	0.1	0.359981	0	0	0
23	104001	383	0.14	0.359981	0	0	0
24	104001	400	0.16	0.359981	0	0	0
25	104001	416	0.2	0.2	0	0	0
26	104001	433	0.09	0.279999	0	0	0
27	104001	450	0.08	0.359992	0	0	0
28	104001	466	0.06	0.519832	0	0	0
29	104001	483	0.1	0.5994	0	0	0
30	104001	500	0.1	0.5994	0	0	0
31	104001	516	0.1	0.5994	0	0	0
32	104001	533	0.12	0.519401	0	0	0
33	104001	550	0.060278	0.429937	0	0	0
34	104001	566	0.060283	0.42989	0	0	0
35	104001	583	0.050285	0.510301	0	0	0
36	104001	600	0.040285	0.590297	0	0	0
37	104001	616	0.020285	0.750295	0	0	0
38	104001	633	0	0.908685	0.000762	0	0
39	104001	650	0.020015	0.918155	0	0	0
40	104001	666	0.020004	0.718362	0	0	0
41	104001	683	0.020001	0.518383	0	0	0
42	104001	700	0.02	0.418388	0	0	0
43	104001	716	0.04	0.23839	0	0	0
44	104001	733	0	0.028914	0.144556	0	0
45	104001	750	0	0	0.145058	0	0.049748
46	104001	766	0	0	0.07328	0	0.297964
47	104001	783	0	0	0.084281	0	0.473858
48	104001	800	0	0	0.168562	0	0.473858
49	104001	816	0	0	0.168562	0	0.473858
50	104001	833	0	0	0	0.034411	0.473978
51	104001	850	0	0	0	0.059726	0.374545
52	104001	866	0	0	0	0.20147	0.088228
53	104001	883	0	0.021752	0	0.310833	0
54	104001	900	0	0.063504	0	0.310833	0
55	104001	916	0	0.103504	0	0.310833	0
56	104001	933	0	0.078292	0	0.288323	0
57	104001	950	0	0.083241	0	0.315608	0
58	104001	966	0	0.099977	0	0.351923	0
59	104001	983	0	0.176451	0	0.242561	0
60	104001	1000	0	0.156451	0	0.242561	0
61	104001	1016	0	0.156451	0	0.242561	0
62	104001	1033	0	0.241395	0	0.10154	0
63	104001	1050	0	0.306016	0	0.065463	0
64	104001	1066	0	0.452942	0	0.007603	0
65	104001	1083	0	0.631018	0	0.00762	0
66	104001	1100	0	0.730907	0	0.007621	0
67	104001	1116	0	0.89079	0	0.007622	0
68	104001	1133	0	0.852716	0	0.008417	0
69	104001	1150	0	0.778196	0	0.002657	0
70	104001	1166	0.04	0.637798	0	0	0
71	104001	1183	0.08	0.479721	0	0	0
72	104001	1200	0.1	0.399832	0	0	0
73	104001	1216	0.050179	0.242097	0	0	0
74	104001	1233	0.28524	0.071074	0	0	0
75	104001	1250	0.38524	0.071074	0	0	0
76	104001	1266	0.545239	0.051074	0	0	0
77	104001	1283	0.705224	0.031074	0	0	0
78	104001	1300	0.785092	0.021074	0	0	0
79	104001	1316	0.98444	0	0	0	0.000146
80	104001	1333	0.999543	0	0	0	0.000154
81	104001	1350	0.999272	0	0	0	0.00029
82	104001	1366	0.999059	0	0	0	0.000387
83	104001	1383	0.919057	0.01	0	0	0
84	104001	1400	0.81919	0.02	0	0	0
85	104001	1416	0.619483	0.02	0	0	0
