Id	CueSheetName	CueAwb	HasAwb
1	External/Criware/b_char.acb		0
2	External/Criware/c_nornal_step.acb		0
3	External/Criware/g_amb_sea_ice.acb		0
4	External/Criware/g_amb_story.acb	External/Criware/g_amb_story.awb	1
5	External/Criware/g_ui.acb		0
6	External/Criware/e_signal.acb		0
7	External/Criware/g_story.acb		0
8	External/Criware/m_avg_beforebattle.acb	External/Criware/m_avg_beforebattle.awb	1
9	External/Criware/m_avg_daily.acb	External/Criware/m_avg_daily.awb	1
10	External/Criware/m_avg_funny.acb	External/Criware/m_avg_funny.awb	1
11	External/Criware/m_avg_general.acb	External/Criware/m_avg_general.awb	1
12	External/Criware/m_avg_joyofvictory.acb	External/Criware/m_avg_joyofvictory.awb	1
13	External/Criware/m_avg_memory.acb	External/Criware/m_avg_memory.awb	1
14	External/Criware/m_avg_missionstable.acb	External/Criware/m_avg_missionstable.awb	1
15	External/Criware/m_avg_mysterious.acb	External/Criware/m_avg_mysterious.awb	1
16	External/Criware/m_avg_overlook.acb	External/Criware/m_avg_overlook.awb	1
17	External/Criware/m_avg_sad.acb	External/Criware/m_avg_sad.awb	1
18	External/Criware/m_avg_spaceship.acb	External/Criware/m_avg_spaceship.awb	1
19	External/Criware/m_sys_title.acb	External/Criware/m_sys_title.awb	1
20	External/Criware/m_sys_loginin.acb	External/Criware/m_sys_loginin.awb	1
21	External/Criware/m_nbat_victory.acb	External/Criware/m_nbat_victory.awb	1
22	External/Criware/m_nbat_failed.acb	External/Criware/m_nbat_failed.awb	1
23	External/Criware/m_sys_dorm.acb	External/Criware/m_sys_dorm.awb	1
24	External/Criware/m_nbat_nfighting.acb	External/Criware/m_nbat_nfighting.awb	1
25	External/Criware/m_nbat_nsneaking.acb	External/Criware/m_nbat_nsneaking.awb	1
26	External/Criware/m_nbat_tower.acb	External/Criware/m_nbat_tower.awb	1
27	External/Criware/m_bbat_normal.acb	External/Criware/m_bbat_normal.awb	1
28	External/Criware/m_bbat_lastfight.acb	External/Criware/m_bbat_lastfight.awb	1
29	External/Criware/m_sys_christmas.acb	External/Criware/m_sys_christmas.awb	1
