Id	GroupId	StageIndex	PreShowIndex[1]	PreShowIndex[2]	PreShowIndex[3]
15010101	101	1			
15010102	101	2	1		
15010103	101	3	2		
15010104	101	4	3		
15010105	101	5	4		
15010106	101	6	5		
15010107	101	7	6		
15010108	101	8	7		
15010109	101	9	8		
15010110	101	10	9		
15010111	101	11	8		
15010112	101	12	11		
15010113	101	13	8		
15010114	101	14	13		
15010115	101	15	10		
15010116	101	16	15		
15010117	101	17	16		
15010118	101	18	17		
15010119	101	19	17	12	
15010120	101	20	17	14	
16010101	102	1			
16010102	102	2	1		
16010103	102	3	2		
16010104	102	4	3		
16010105	102	5	4		
16010106	102	6	5		
16010107	102	7	6		
16010108	102	8	7		
15030101	103	1			
15030102	103	2	1		
15030103	103	3	2		
15030104	103	4	3		
15030105	103	5	4		
15030119	103	6	5		
15030106	103	7	6		
15030107	103	8			
15030108	103	9	8		
15030109	103	10	9		
15030110	103	11	10		
15030111	103	12	11		
15030112	103	13	12		
15030113	103	14			
15030114	103	15	14		
15030115	103	16	15		
15030116	103	17	16		
15030117	103	18	17		
15030118	103	19	18		
16030101	104	1			
16030102	104	2	1		
16030103	104	3	2		
