Id	Type	Negative	Name	Param	Children[1]	Children[2]	Children[3]	Children[4]	Children[5]	Children[6]	Children[7]	Children[8]	Children[9]	Children[10]	Children[11]	Children[12]	Children[13]	Children[14]	Children[15]	Children[16]	Children[17]	Children[18]	Children[19]	Children[20]	Children[21]	Children[22]	Children[23]	Children[24]	Children[25]	Children[26]	Children[27]	Children[28]	Children[29]	Children[30]	Children[31]	Children[32]	Children[33]	Children[34]	Children[35]	Children[36]	Children[37]	Children[38]	Children[39]	Children[40]	Children[41]	Children[42]	Children[43]	Children[44]	Children[45]	Children[46]	Children[47]	Children[48]	Children[49]	Children[50]
390000000	3				900018	200009	390000003	390000004	390000005	390000006	390000007	390000008	390000009	390000010	390000011	390000013	390000014	390000015	390000016																																			
390000003	0		DoSetInt	1#30011|93																																																		
390000004	0		DoSetInt	1#30012|119																																																		
390000005	0		DoSetInt	1#30013|220																																																		
390000006	0		DoSetInt	1#49001|0																																																		
390000007	0		DoSetInt	1#49002|0																																																		
390000008	0		DoSetInt	1#49003|0																																																		
390000009	0		DoSetInt	1#49004|0																																																		
390000010	0		DoGetTime	1#39990|300																																																		
390000011	0		DoSetInt	1#39070|1301011501																																																		
390000013	0		DoSetAreaToObstacle	AW1|1																																																		
390000014	0		DoShowSceneEffect	AW1|1																																																		
390000015	0		DoSetAreaToObstacle	AW2|0																																																		
390000016	0		DoShowSceneEffect	AW2|0																																																		
390000017	2				200000	390000019																																																
390000019	3				200050	200023	200005	390000023	390000042	390000046	390000273	390000293	390000304	390000315	390000326	390000332																																						
390000023	2				390000024	390000025																																																
390000024	0		CheckInt	1#30001|0|2																																																		
390000025	1				390000026	390000031	390000036																																															
390000026	2				390000027	390000028	390000029	390000030																																														
390000027	0		CheckInt	1#49001|1|3																																																		
390000028	0		CheckInt	1#49002|0|1																																																		
390000029	0		DoTipsShow	1031|0|0																																																		
390000030	0		DoSetInt	1#49002|1																																																		
390000031	2				390000032	390000033	390000034	390000035																																														
390000032	0		CheckInt	1#49001|2|3																																																		
390000033	0		CheckInt	1#49003|0|1																																																		
390000034	0		DoTipsShow	1032|0|0																																																		
390000035	0		DoSetInt	1#49003|1																																																		
390000036	2				390000037	390000038	390000039	390000040	390000041																																													
390000037	0		CheckInt	1#49001|3|3																																																		
390000038	0		CheckInt	1#49004|0|1																																																		
390000039	0		DoTipsShow	1033|0|0																																																		
390000040	0		DoSetInt	1#49004|1																																																		
390000041	0		DoSetInt	1#39999|1																																																		
390000042	2				390000043	390000044	390000045																																															
390000043	0		CheckInt	1#40001|0|1																																																		
390000044	0		DoSetInt	1#39071|4																																																		
390000045	0		DoSetInt	1#40001|1																																																		
390000046	2				390000047	390000048																																																
390000047	0		DoGetMapPosition	1#101|1#102|ZD																																																		
390000048	1				390000049	390000065	390000081	390000097	390000113	390000129	390000145	390000161	390000177	390000193	390000209	390000225	390000241	390000257																																				
390000049	2				390000050	390000051	390000064																																															
390000050	0		CheckNpc	1#3001																																																		
390000051	1				390000052	390000058	390000063																																															
390000052	2				390000053	390000054	390000055	390000056	390000057																																													
390000053	0		CheckPositionInRange	1#3001|1#101|1#102|1																																																		
390000054	0		DoStopMove	1#3001																																																		
390000055	0		DoMagic	1#2007|1#2007|0|790013																																																		
390000056	0		DoRemoveNpc	1#3001																																																		
390000057	0		DoAddInt	1#49001|1#49001|1																																																		
390000058	2				390000059	390000060	390000061	390000062																																														
390000059	0		DoGetAttribRate	1#3001|1#100|1|100																																																		
390000060	0		CheckInt	1#100|70|4																																																		
390000061	0		CheckExistBuffByKind	1#3001|7002340																																																		
390000062	0		DoMagic	1#3001|1#3001|0|700250																																																		
390000063	0		DoMoveToPosition	1#3001|1#101|1#102|0|0																																																		
390000064	0	1	DoReturnTrue																																																			
390000065	2				390000066	390000067	390000080																																															
390000066	0		CheckNpc	1#3011																																																		
390000067	1				390000068	390000074	390000079																																															
390000068	2				390000069	390000070	390000071	390000072	390000073																																													
390000069	0		CheckPositionInRange	1#3011|1#101|1#102|1																																																		
390000070	0		DoStopMove	1#3011																																																		
390000071	0		DoMagic	1#2007|1#2007|0|790013																																																		
390000072	0		DoRemoveNpc	1#3011																																																		
390000073	0		DoAddInt	1#49001|1#49001|1																																																		
390000074	2				390000075	390000076	390000077	390000078																																														
390000075	0		DoGetAttribRate	1#3011|1#100|1|100																																																		
390000076	0		CheckInt	1#100|70|4																																																		
390000077	0		CheckExistBuffByKind	1#3011|7002340																																																		
390000078	0		DoMagic	1#3011|1#3011|0|700250																																																		
390000079	0		DoMoveToPosition	1#3011|1#101|1#102|0|0																																																		
390000080	0	1	DoReturnTrue																																																			
390000081	2				390000082	390000083	390000096																																															
390000082	0		CheckNpc	1#3021																																																		
390000083	1				390000084	390000090	390000095																																															
390000084	2				390000085	390000086	390000087	390000088	390000089																																													
390000085	0		CheckPositionInRange	1#3021|1#101|1#102|1																																																		
390000086	0		DoStopMove	1#3021																																																		
390000087	0		DoMagic	1#2007|1#2007|0|790013																																																		
390000088	0		DoRemoveNpc	1#3021																																																		
390000089	0		DoAddInt	1#49001|1#49001|1																																																		
390000090	2				390000091	390000092	390000093	390000094																																														
390000091	0		DoGetAttribRate	1#3021|1#100|1|100																																																		
390000092	0		CheckInt	1#100|70|4																																																		
390000093	0		CheckExistBuffByKind	1#3021|7002340																																																		
390000094	0		DoMagic	1#3021|1#3021|0|700250																																																		
390000095	0		DoMoveToPosition	1#3021|1#101|1#102|0|0																																																		
390000096	0	1	DoReturnTrue																																																			
390000097	2				390000098	390000099	390000112																																															
390000098	0		CheckNpc	1#3002																																																		
390000099	1				390000100	390000106	390000111																																															
390000100	2				390000101	390000102	390000103	390000104	390000105																																													
390000101	0		CheckPositionInRange	1#3002|1#101|1#102|1																																																		
390000102	0		DoStopMove	1#3002																																																		
390000103	0		DoMagic	1#2007|1#2007|0|790013																																																		
390000104	0		DoRemoveNpc	1#3002																																																		
390000105	0		DoAddInt	1#49001|1#49001|1																																																		
390000106	2				390000107	390000108	390000109	390000110																																														
390000107	0		DoGetAttribRate	1#3002|1#100|1|100																																																		
390000108	0		CheckInt	1#100|70|4																																																		
390000109	0		CheckExistBuffByKind	1#3002|7002340																																																		
390000110	0		DoMagic	1#3002|1#3002|0|700250																																																		
390000111	0		DoMoveToPosition	1#3002|1#101|1#102|0|0																																																		
390000112	0	1	DoReturnTrue																																																			
390000113	2				390000114	390000115	390000128																																															
390000114	0		CheckNpc	1#3012																																																		
390000115	1				390000116	390000122	390000127																																															
390000116	2				390000117	390000118	390000119	390000120	390000121																																													
390000117	0		CheckPositionInRange	1#3012|1#101|1#102|1																																																		
390000118	0		DoStopMove	1#3012																																																		
390000119	0		DoMagic	1#2007|1#2007|0|790013																																																		
390000120	0		DoRemoveNpc	1#3012																																																		
390000121	0		DoAddInt	1#49001|1#49001|1																																																		
390000122	2				390000123	390000124	390000125	390000126																																														
390000123	0		DoGetAttribRate	1#3012|1#100|1|100																																																		
390000124	0		CheckInt	1#100|70|4																																																		
390000125	0		CheckExistBuffByKind	1#3012|7002340																																																		
390000126	0		DoMagic	1#3012|1#3012|0|700250																																																		
390000127	0		DoMoveToPosition	1#3012|1#101|1#102|0|0																																																		
390000128	0	1	DoReturnTrue																																																			
390000129	2				390000130	390000131	390000144																																															
390000130	0		CheckNpc	1#3022																																																		
390000131	1				390000132	390000138	390000143																																															
390000132	2				390000133	390000134	390000135	390000136	390000137																																													
390000133	0		CheckPositionInRange	1#3022|1#101|1#102|1																																																		
390000134	0		DoStopMove	1#3022																																																		
390000135	0		DoMagic	1#2007|1#2007|0|790013																																																		
390000136	0		DoRemoveNpc	1#3022																																																		
390000137	0		DoAddInt	1#49001|1#49001|1																																																		
390000138	2				390000139	390000140	390000141	390000142																																														
390000139	0		DoGetAttribRate	1#3022|1#100|1|100																																																		
390000140	0		CheckInt	1#100|70|4																																																		
390000141	0		CheckExistBuffByKind	1#3022|7002340																																																		
390000142	0		DoMagic	1#3022|1#3022|0|700250																																																		
390000143	0		DoMoveToPosition	1#3022|1#101|1#102|0|0																																																		
390000144	0	1	DoReturnTrue																																																			
390000145	2				390000146	390000147	390000160																																															
390000146	0		CheckNpc	1#3003																																																		
390000147	1				390000148	390000154	390000159																																															
390000148	2				390000149	390000150	390000151	390000152	390000153																																													
390000149	0		CheckPositionInRange	1#3003|1#101|1#102|1																																																		
390000150	0		DoStopMove	1#3003																																																		
390000151	0		DoMagic	1#2007|1#2007|0|790013																																																		
390000152	0		DoRemoveNpc	1#3003																																																		
390000153	0		DoAddInt	1#49001|1#49001|1																																																		
390000154	2				390000155	390000156	390000157	390000158																																														
390000155	0		DoGetAttribRate	1#3003|1#100|1|100																																																		
390000156	0		CheckInt	1#100|70|4																																																		
390000157	0		CheckExistBuffByKind	1#3003|7002340																																																		
390000158	0		DoMagic	1#3003|1#3003|0|700250																																																		
390000159	0		DoMoveToPosition	1#3003|1#101|1#102|0|0																																																		
390000160	0	1	DoReturnTrue																																																			
390000161	2				390000162	390000163	390000176																																															
390000162	0		CheckNpc	1#3013																																																		
390000163	1				390000164	390000170	390000175																																															
390000164	2				390000165	390000166	390000167	390000168	390000169																																													
390000165	0		CheckPositionInRange	1#3013|1#101|1#102|1																																																		
390000166	0		DoStopMove	1#3013																																																		
390000167	0		DoMagic	1#2007|1#2007|0|790013																																																		
390000168	0		DoRemoveNpc	1#3013																																																		
390000169	0		DoAddInt	1#49001|1#49001|1																																																		
390000170	2				390000171	390000172	390000173	390000174																																														
390000171	0		DoGetAttribRate	1#3013|1#100|1|100																																																		
390000172	0		CheckInt	1#100|70|4																																																		
390000173	0		CheckExistBuffByKind	1#3013|7002340																																																		
390000174	0		DoMagic	1#3013|1#3013|0|700250																																																		
390000175	0		DoMoveToPosition	1#3013|1#101|1#102|0|0																																																		
390000176	0	1	DoReturnTrue																																																			
390000177	2				390000178	390000179	390000192																																															
390000178	0		CheckNpc	1#3023																																																		
390000179	1				390000180	390000186	390000191																																															
390000180	2				390000181	390000182	390000183	390000184	390000185																																													
390000181	0		CheckPositionInRange	1#3023|1#101|1#102|1																																																		
390000182	0		DoStopMove	1#3023																																																		
390000183	0		DoMagic	1#2007|1#2007|0|790013																																																		
390000184	0		DoRemoveNpc	1#3023																																																		
390000185	0		DoAddInt	1#49001|1#49001|1																																																		
390000186	2				390000187	390000188	390000189	390000190																																														
390000187	0		DoGetAttribRate	1#3023|1#100|1|100																																																		
390000188	0		CheckInt	1#100|70|4																																																		
390000189	0		CheckExistBuffByKind	1#3023|7002340																																																		
390000190	0		DoMagic	1#3023|1#3023|0|700250																																																		
390000191	0		DoMoveToPosition	1#3023|1#101|1#102|0|0																																																		
390000192	0	1	DoReturnTrue																																																			
390000193	2				390000194	390000195	390000208																																															
390000194	0		CheckNpc	1#3004																																																		
390000195	1				390000196	390000202	390000207																																															
390000196	2				390000197	390000198	390000199	390000200	390000201																																													
390000197	0		CheckPositionInRange	1#3004|1#101|1#102|1																																																		
390000198	0		DoStopMove	1#3004																																																		
390000199	0		DoMagic	1#2007|1#2007|0|790013																																																		
390000200	0		DoRemoveNpc	1#3004																																																		
390000201	0		DoAddInt	1#49001|1#49001|1																																																		
390000202	2				390000203	390000204	390000205	390000206																																														
390000203	0		DoGetAttribRate	1#3004|1#100|1|100																																																		
390000204	0		CheckInt	1#100|70|4																																																		
390000205	0		CheckExistBuffByKind	1#3004|7002340																																																		
390000206	0		DoMagic	1#3004|1#3004|0|700250																																																		
390000207	0		DoMoveToPosition	1#3004|1#101|1#102|0|0																																																		
390000208	0	1	DoReturnTrue																																																			
390000209	2				390000210	390000211	390000224																																															
390000210	0		CheckNpc	1#3014																																																		
390000211	1				390000212	390000218	390000223																																															
390000212	2				390000213	390000214	390000215	390000216	390000217																																													
390000213	0		CheckPositionInRange	1#3014|1#101|1#102|1																																																		
390000214	0		DoStopMove	1#3014																																																		
390000215	0		DoMagic	1#2007|1#2007|0|790013																																																		
390000216	0		DoRemoveNpc	1#3014																																																		
390000217	0		DoAddInt	1#49001|1#49001|1																																																		
390000218	2				390000219	390000220	390000221	390000222																																														
390000219	0		DoGetAttribRate	1#3014|1#100|1|100																																																		
390000220	0		CheckInt	1#100|70|4																																																		
390000221	0		CheckExistBuffByKind	1#3014|7002340																																																		
390000222	0		DoMagic	1#3014|1#3014|0|700250																																																		
390000223	0		DoMoveToPosition	1#3014|1#101|1#102|0|0																																																		
390000224	0	1	DoReturnTrue																																																			
390000225	2				390000226	390000227	390000240																																															
390000226	0		CheckNpc	1#3024																																																		
390000227	1				390000228	390000234	390000239																																															
390000228	2				390000229	390000230	390000231	390000232	390000233																																													
390000229	0		CheckPositionInRange	1#3024|1#101|1#102|1																																																		
390000230	0		DoStopMove	1#3024																																																		
390000231	0		DoMagic	1#2007|1#2007|0|790013																																																		
390000232	0		DoRemoveNpc	1#3024																																																		
390000233	0		DoAddInt	1#49001|1#49001|1																																																		
390000234	2				390000235	390000236	390000237	390000238																																														
390000235	0		DoGetAttribRate	1#3024|1#100|1|100																																																		
390000236	0		CheckInt	1#100|70|4																																																		
390000237	0		CheckExistBuffByKind	1#3024|7002340																																																		
390000238	0		DoMagic	1#3024|1#3024|0|700250																																																		
390000239	0		DoMoveToPosition	1#3024|1#101|1#102|0|0																																																		
390000240	0	1	DoReturnTrue																																																			
390000241	2				390000242	390000243	390000256																																															
390000242	0		CheckNpc	1#3034																																																		
390000243	1				390000244	390000250	390000255																																															
390000244	2				390000245	390000246	390000247	390000248	390000249																																													
390000245	0		CheckPositionInRange	1#3034|1#101|1#102|1																																																		
390000246	0		DoStopMove	1#3034																																																		
390000247	0		DoMagic	1#2007|1#2007|0|790013																																																		
390000248	0		DoRemoveNpc	1#3034																																																		
390000249	0		DoAddInt	1#49001|1#49001|1																																																		
390000250	2				390000251	390000252	390000253	390000254																																														
390000251	0		DoGetAttribRate	1#3034|1#100|1|100																																																		
390000252	0		CheckInt	1#100|70|4																																																		
390000253	0		CheckExistBuffByKind	1#3034|7002340																																																		
390000254	0		DoMagic	1#3034|1#3034|0|700250																																																		
390000255	0		DoMoveToPosition	1#3034|1#101|1#102|0|0																																																		
390000256	0	1	DoReturnTrue																																																			
390000257	2				390000258	390000259	390000272																																															
390000258	0		CheckNpc	1#3044																																																		
390000259	1				390000260	390000266	390000271																																															
390000260	2				390000261	390000262	390000263	390000264	390000265																																													
390000261	0		CheckPositionInRange	1#3044|1#101|1#102|1																																																		
390000262	0		DoStopMove	1#3044																																																		
390000263	0		DoMagic	1#2007|1#2007|0|790013																																																		
390000264	0		DoRemoveNpc	1#3044																																																		
390000265	0		DoAddInt	1#49001|1#49001|1																																																		
390000266	2				390000267	390000268	390000269	390000270																																														
390000267	0		DoGetAttribRate	1#3044|1#100|1|100																																																		
390000268	0		CheckInt	1#100|70|4																																																		
390000269	0		CheckExistBuffByKind	1#3044|7002340																																																		
390000270	0		DoMagic	1#3044|1#3044|0|700250																																																		
390000271	0		DoMoveToPosition	1#3044|1#101|1#102|0|0																																																		
390000272	0	1	DoReturnTrue																																																			
390000273	2				200008	200027	390000276	390000277	390000278	390000279	390000280	390000281	390000282	390000283	390000284	390000285	390000286	390000287	390000288	390000289	390000290	390000291	200010																															
390000276	0		CheckInt	1#37001|1|1																																																		
390000277	0		CheckInt	1#40001|1|1																																																		
390000278	0		DoGetMapPosition	1#101|1#102|ZD																																																		
390000279	0		DoAddNpc	0|1#2006|2006|21|2|PB1|0|0|PB1|0|0|0																																																		
390000280	0		DoAddNpc	0|1#2007|2006|21|2|PB1|0|0|PB1|0|0|0																																																		
390000281	0		DoSetPosition	1#2006|1#101|1#102|1#101|1#102|0																																																		
390000282	0		DoSetPosition	1#2007|1#101|1#102|1#101|1#102|0																																																		
390000283	0		DoMagic	1#2006|1#2006|0|790011																																																		
390000284	0		DoTipsShow	1030|0|0																																																		
390000285	0		DoSetInt	1#37002|3																																																		
390000286	0		DoSetInt	1#37007|1																																																		
390000287	0		DoSetInt	1#37009|1																																																		
390000288	0		DoSetNpcId	1#37771|91120																																																		
390000289	0		DoCopyNote	1#30011|1#37761																																																		
390000290	0		DoSetNpcId	1#37772|91090																																																		
390000291	0		DoCopyNote	1#30011|1#37762																																																		
390000293	2				200008	390000295	390000296	390000297	390000298	390000299	390000300	390000301	390000302	200010																																								
390000295	0		CheckInt	1#37001|2|1																																																		
390000296	0		DoSetInt	1#37002|3																																																		
390000297	0		DoSetInt	1#37007|1																																																		
390000298	0		DoSetInt	1#37009|1																																																		
390000299	0		DoSetNpcId	1#37771|91180																																																		
390000300	0		DoCopyNote	1#30011|1#37761																																																		
390000301	0		DoSetNpcId	1#37772|91160																																																		
390000302	0		DoCopyNote	1#30011|1#37762																																																		
390000304	2				200008	390000306	390000307	390000308	390000309	390000310	390000311	390000312	390000313	200010																																								
390000306	0		CheckInt	1#37001|3|1																																																		
390000307	0		DoSetInt	1#37002|3																																																		
390000308	0		DoSetInt	1#37007|1																																																		
390000309	0		DoSetInt	1#37009|1																																																		
390000310	0		DoSetNpcId	1#37771|91130																																																		
390000311	0		DoCopyNote	1#30011|1#37761																																																		
390000312	0		DoSetNpcId	1#37772|91150																																																		
390000313	0		DoCopyNote	1#30011|1#37762																																																		
390000315	2				200008	390000317	390000318	390000319	390000320	390000321	390000322	390000323	390000324	200010																																								
390000317	0		CheckInt	1#37001|4|1																																																		
390000318	0		DoSetInt	1#37002|3																																																		
390000319	0		DoSetInt	1#37007|1																																																		
390000320	0		DoSetInt	1#37009|1																																																		
390000321	0		DoSetNpcId	1#37771|91190																																																		
390000322	0		DoCopyNote	1#30011|1#37761																																																		
390000323	0		DoSetNpcId	1#37772|91110																																																		
390000324	0		DoCopyNote	1#30011|1#37762																																																		
390000326	2				390000327	200027	390000329	390000330	390000331																																													
390000327	0		CheckInt	1#40001|2|1																																																		
390000329	0		DoSetInt	4#94001|4																																																		
390000330	0		DoGetTime	1#1001|8																																																		
390000331	0		DoSetInt	1#40001|3																																																		
390000332	2				200006	390000334	390000335	390000336	390000337	390000338																																												
390000334	0		CheckInt	1#30004|2|1																																																		
390000335	0		DoSetInt	1#39072|4																																																		
390000336	0		DoMagic	1#2006|1#2006|0|700013																																																		
390000337	0		DoMagic	1#2007|1#2007|0|700013																																																		
390000338	0		DoSetInt	1#40001|2																																																		
