Id	Type	Negative	Name	Param	Children[1]	Children[2]	Children[3]	Children[4]	Children[5]	Children[6]	Children[7]	Children[8]	Children[9]	Children[10]	Children[11]	Children[12]	Children[13]	Children[14]	Children[15]	Children[16]	Children[17]	Children[18]	Children[19]	Children[20]	Children[21]	Children[22]	Children[23]	Children[24]	Children[25]	Children[26]	Children[27]	Children[28]	Children[29]	Children[30]	Children[31]	Children[32]	Children[33]	Children[34]	Children[35]	Children[36]	Children[37]	Children[38]	Children[39]	Children[40]	Children[41]	Children[42]	Children[43]	Children[44]	Children[45]	Children[46]	Children[47]	Children[48]	Children[49]	Children[50]	Children[51]	Children[52]	Children[53]	Children[54]	Children[55]	Children[56]	Children[57]	Children[58]	Children[59]	Children[60]	Children[61]	Children[62]	Children[63]	Children[64]	Children[65]	Children[66]	Children[67]	Children[68]	Children[69]	Children[70]	Children[71]	Children[72]	Children[73]	Children[74]	Children[75]	Children[76]	Children[77]	Children[78]	Children[79]	Children[80]	Children[81]	Children[82]	Children[83]	Children[84]	Children[85]	Children[86]	Children[87]	Children[88]	Children[89]	Children[90]	Children[91]	Children[92]	Children[93]	Children[94]	Children[95]	Children[96]	Children[97]	Children[98]	Children[99]	Children[100]	Children[101]	Children[102]	Children[103]	Children[104]	Children[105]	Children[106]	Children[107]	Children[108]	Children[109]	Children[110]	Children[111]	Children[112]	Children[113]	Children[114]	Children[115]	Children[116]	Children[117]	Children[118]	Children[119]	Children[120]	Children[121]	Children[122]	Children[123]	Children[124]	Children[125]	Children[126]	Children[127]	Children[128]	Children[129]	Children[130]	Children[131]	Children[132]	Children[133]	Children[134]	Children[135]	Children[136]	Children[137]	Children[138]	Children[139]	Children[140]	Children[141]	Children[142]	Children[143]	Children[144]	Children[145]	Children[146]	Children[147]	Children[148]	Children[149]	Children[150]	Children[151]	Children[152]	Children[153]	Children[154]	Children[155]	Children[156]	Children[157]	Children[158]	Children[159]	Children[160]	Children[161]	Children[162]	Children[163]	Children[164]	Children[165]	Children[166]	Children[167]	Children[168]	Children[169]	Children[170]	Children[171]	Children[172]	Children[173]	Children[174]	Children[175]	Children[176]	Children[177]	Children[178]	Children[179]	Children[180]	Children[181]	Children[182]	Children[183]	Children[184]	Children[185]	Children[186]	Children[187]	Children[188]	Children[189]	Children[190]	Children[191]	Children[192]	Children[193]	Children[194]	Children[195]	Children[196]	Children[197]	Children[198]	Children[199]	Children[200]	Children[201]	Children[202]	Children[203]	Children[204]	Children[205]	Children[206]	Children[207]	Children[208]	Children[209]	Children[210]	Children[211]	Children[212]	Children[213]	Children[214]	Children[215]	Children[216]	Children[217]	Children[218]	Children[219]	Children[220]	Children[221]	Children[222]	Children[223]	Children[224]	Children[225]	Children[226]	Children[227]	Children[228]	Children[229]	Children[230]	Children[231]	Children[232]	Children[233]	Children[234]	Children[235]	Children[236]	Children[237]	Children[238]	Children[239]	Children[240]	Children[241]	Children[242]	Children[243]	Children[244]	Children[245]	Children[246]	Children[247]	Children[248]	Children[249]	Children[250]
720000000	2				720000001																																																																																																																																																																																																																																																									
720000001	0		DoSetInt	1#1001|1																																																																																																																																																																																																																																																										
720000002	2				720000003	720000004	720000005	720000006	720000007	720000008																																																																																																																																																																																																																																																				
720000003	0		DoGetNpc	1#2001																																																																																																																																																																																																																																																										
720000004	0		CheckNpc	1#2001																																																																																																																																																																																																																																																										
720000005	0		DoGetDamageBehaviorContext	1#1201|1#1202|1#1203|1#1204|1#1205|1#1206|1#1207|4#-2																																																																																																																																																																																																																																																										
720000006	0		CheckIntCompareInt	1#1202|1#2001|1																																																																																																																																																																																																																																																										
720000007	0		CheckNpc	1#2001																																																																																																																																																																																																																																																										
720000008	0		DoMagic	1#2001|1#2001|1#1001|970706																																																																																																																																																																																																																																																										
720000464	2				720000465	720000466																																																																																																																																																																																																																																																								
720000465	0		DoGetNpc	1#2001																																																																																																																																																																																																																																																										
720000466	0		DoSetNpcNote	1#2001|812007|0																																																																																																																																																																																																																																																										
720000009	2				720000010	720000011	720000012	720000013	720000014	720000015	720000016	720000017	720000018																																																																																																																																																																																																																																																	
720000010	0		DoGetNpc	1#2001																																																																																																																																																																																																																																																										
720000011	0		CheckNpc	1#2001																																																																																																																																																																																																																																																										
720000012	0		DoGetDamageBehaviorContext	1#1201|1#1202|1#1203|1#1204|1#1205|1#1206|1#1207|4#-2																																																																																																																																																																																																																																																										
720000013	0		CheckNote	2#1215																																																																																																																																																																																																																																																										
720000014	0		DoCopyNote	2#1215|1#1215																																																																																																																																																																																																																																																										
720000015	0		CheckIntCompareInt	1#1204|1#1215|1																																																																																																																																																																																																																																																										
720000016	0		DoSetInt	1#1220|99																																																																																																																																																																																																																																																										
720000017	0		DoSetInt	2#1220|99																																																																																																																																																																																																																																																										
720000018	0		DoMagic	1#2001|1#2001|0|971105																																																																																																																																																																																																																																																										
720000019	2				720000020																																																																																																																																																																																																																																																									
720000020	0		DoSetInt	1#1000|40																																																																																																																																																																																																																																																										
720000021	2				720000022	720000023	720000024	720000025	720000026	720000027																																																																																																																																																																																																																																																				
720000022	0		DoGetNpc	1#2001																																																																																																																																																																																																																																																										
720000023	0		CheckNpc	1#2001																																																																																																																																																																																																																																																										
720000024	0		DoGetBehaviorOriginNpc	1#2002																																																																																																																																																																																																																																																										
720000025	0		CheckPassTime	1#1000|0																																																																																																																																																																																																																																																										
720000026	0		DoAddMissileEx	1#2002|1#2001|0|0|0|0|4#1451|4#1901																																																																																																																																																																																																																																																										
720000027	0		DoRemoveCurrentBehavior																																																																																																																																																																																																																																																											
720000028	2				720000029	720000030	720000031	720000032	720000033	720000034																																																																																																																																																																																																																																																				
720000029	0		DoGetNpc	1#2001																																																																																																																																																																																																																																																										
720000030	0		DoCopyNoteByNpcNote	1#2002|1#2001|2002																																																																																																																																																																																																																																																										
720000031	0		DoGetPositionOffsetPosition	2#1303|2#1304|2#1301|2#1302|2#1301|2#1302|2#1401|2#1305																																																																																																																																																																																																																																																										
