Id	Type	Negative	Name	Param	Children[1]	Children[2]	Children[3]	Children[4]	Children[5]	Children[6]	Children[7]	Children[8]	Children[9]	Children[10]	Children[11]	Children[12]	Children[13]	Children[14]	Children[15]	Children[16]	Children[17]	Children[18]	Children[19]	Children[20]	Children[21]	Children[22]	Children[23]	Children[24]	Children[25]	Children[26]	Children[27]	Children[28]	Children[29]	Children[30]	Children[31]	Children[32]	Children[33]	Children[34]	Children[35]	Children[36]	Children[37]	Children[38]	Children[39]	Children[40]	Children[41]	Children[42]	Children[43]	Children[44]	Children[45]	Children[46]	Children[47]	Children[48]	Children[49]	Children[50]	Children[51]	Children[52]	Children[53]	Children[54]	Children[55]	Children[56]	Children[57]	Children[58]	Children[59]	Children[60]	Children[61]	Children[62]	Children[63]	Children[64]	Children[65]	Children[66]	Children[67]	Children[68]	Children[69]	Children[70]	Children[71]	Children[72]	Children[73]	Children[74]	Children[75]	Children[76]	Children[77]	Children[78]	Children[79]	Children[80]	Children[81]	Children[82]	Children[83]	Children[84]	Children[85]	Children[86]	Children[87]	Children[88]	Children[89]	Children[90]	Children[91]	Children[92]	Children[93]	Children[94]	Children[95]	Children[96]	Children[97]	Children[98]	Children[99]	Children[100]	Children[101]	Children[102]	Children[103]	Children[104]	Children[105]	Children[106]	Children[107]	Children[108]	Children[109]	Children[110]	Children[111]	Children[112]	Children[113]	Children[114]	Children[115]	Children[116]	Children[117]	Children[118]	Children[119]	Children[120]	Children[121]	Children[122]	Children[123]	Children[124]	Children[125]	Children[126]	Children[127]	Children[128]	Children[129]	Children[130]	Children[131]	Children[132]	Children[133]	Children[134]	Children[135]	Children[136]	Children[137]	Children[138]	Children[139]	Children[140]	Children[141]	Children[142]	Children[143]	Children[144]	Children[145]	Children[146]	Children[147]	Children[148]	Children[149]	Children[150]	Children[151]	Children[152]	Children[153]	Children[154]	Children[155]	Children[156]	Children[157]	Children[158]	Children[159]	Children[160]	Children[161]	Children[162]	Children[163]	Children[164]	Children[165]	Children[166]	Children[167]	Children[168]	Children[169]	Children[170]	Children[171]	Children[172]	Children[173]	Children[174]	Children[175]	Children[176]	Children[177]	Children[178]	Children[179]	Children[180]	Children[181]	Children[182]	Children[183]	Children[184]	Children[185]	Children[186]	Children[187]	Children[188]	Children[189]	Children[190]	Children[191]	Children[192]	Children[193]	Children[194]	Children[195]	Children[196]	Children[197]	Children[198]	Children[199]	Children[200]	Children[201]	Children[202]	Children[203]	Children[204]	Children[205]	Children[206]	Children[207]	Children[208]	Children[209]	Children[210]	Children[211]	Children[212]	Children[213]	Children[214]	Children[215]	Children[216]	Children[217]	Children[218]	Children[219]	Children[220]	Children[221]	Children[222]	Children[223]	Children[224]	Children[225]	Children[226]	Children[227]	Children[228]	Children[229]	Children[230]	Children[231]	Children[232]	Children[233]	Children[234]	Children[235]	Children[236]	Children[237]	Children[238]	Children[239]	Children[240]	Children[241]	Children[242]	Children[243]	Children[244]	Children[245]	Children[246]	Children[247]	Children[248]	Children[249]	Children[250]
870000000	2				870000001	870000002																																																																																																																																																																																																																																																								
870000001	0		DoSetInt	1#1000|0																																																																																																																																																																																																																																																										
870000002	0		DoSetInt	1#1001|1																																																																																																																																																																																																																																																										
870000003	2				870000004	870000005	870000006	870000007	870000008	870000009	870000010																																																																																																																																																																																																																																																			
870000004	0		DoGetNpc	1#2001																																																																																																																																																																																																																																																										
870000005	0		CheckNpc	1#2001																																																																																																																																																																																																																																																										
870000006	0		DoGetDamageBehaviorContext	1#1201|1#1202|1#1203|1#1204|1#1205|1#1206|1#1207|4#-2																																																																																																																																																																																																																																																										
870000007	0		CheckIntCompareInt	1#1202|1#2001|1																																																																																																																																																																																																																																																										
870000008	0		CheckNote	2#1300																																																																																																																																																																																																																																																										
870000009	0		CheckProbability	2000																																																																																																																																																																																																																																																										
870000010	0		DoSetInt	2#1300|1																																																																																																																																																																																																																																																										
870000011	2				870000012	870000013	870000014	870000015	870000016	870000017																																																																																																																																																																																																																																																				
870000012	0		DoSetMissileId	1#1001|90005011																																																																																																																																																																																																																																																										
870000013	0		DoSetMissileId	1#1002|90005013																																																																																																																																																																																																																																																										
870000014	0		DoSetMissileId	1#1003|90005015																																																																																																																																																																																																																																																										
870000015	0		DoSetMissileId	1#1004|90005017																																																																																																																																																																																																																																																										
870000016	0		DoSetMissileId	1#1005|90005019																																																																																																																																																																																																																																																										
870000017	0		DoSetMissileId	1#1006|90005021																																																																																																																																																																																																																																																										
870000018	2				870000019	870000020	870000021	870000022	870000023	870000024	870000025	870000026	870000027	870000028	870000029	870000030																																																																																																																																																																																																																																														
870000019	0		DoGetNpc	1#2001																																																																																																																																																																																																																																																										
870000020	0		CheckNpc	1#2001																																																																																																																																																																																																																																																										
870000021	0		DoGetDamageBehaviorContext	1#1201|1#1202|1#1203|1#1204|1#1205|1#1206|1#1207|4#-2																																																																																																																																																																																																																																																										
870000022	0		CheckIntCompareInt	1#1202|1#2001|1																																																																																																																																																																																																																																																										
870000023	0		DoRandom	1|360|1#1305																																																																																																																																																																																																																																																										
870000024	0		DoRandom	3|6|1#1306																																																																																																																																																																																																																																																										
870000025	0		DoRandom	1|7|1#1400																																																																																																																																																																																																																																																										
870000026	0		DoAddInt	1#1400|1#1400|1000																																																																																																																																																																																																																																																										
870000027	0		DoCopyNoteEx	1#1400|1#1400|1																																																																																																																																																																																																																																																										
870000028	0		DoGetNpcPosition	1#2001|1#1301|1#1302																																																																																																																																																																																																																																																										
870000029	0		DoGetNpcOffsetPositionEx	1#1303|1#1304|1#2001|1#1301|1#1302|1#1305|1#1306																																																																																																																																																																																																																																																										
870000030	0		DoAddMissileEx	1#2001|0|1#1301|1#1302|1#1303|1#1304|1#1400|1																																																																																																																																																																																																																																																										
870000031	2				870000032	870000033	870000034	870000035	870000036	870000037	870000038																																																																																																																																																																																																																																																			
870000032	0		DoGetNpc	1#2001																																																																																																																																																																																																																																																										
870000033	0		CheckNpc	1#2001																																																																																																																																																																																																																																																										
870000034	0		DoGetDamageBehaviorContext	1#1201|1#1202|1#1203|1#1204|1#1205|1#1206|1#1207|4#-2																																																																																																																																																																																																																																																										
870000035	0		CheckIntCompareInt	1#1201|1#2001|1																																																																																																																																																																																																																																																										
870000036	0		CheckInt	1#1203|800006|1																																																																																																																																																																																																																																																										
870000037	0		DoSetInt	2#1200|1																																																																																																																																																																																																																																																										
870000038	0		DoRemoveCurrentBehavior																																																																																																																																																																																																																																																											
870000039	2				870000040	870000041	870000042	870000043	870000044	870000045	870000046	870000047	870000048																																																																																																																																																																																																																																																	
870000040	0		DoGetNpc	1#2001																																																																																																																																																																																																																																																										
870000041	0		CheckNpc	1#2001																																																																																																																																																																																																																																																										
870000042	0		DoGetDamageBehaviorContext	1#1201|1#1202|1#1203|1#1204|1#1205|1#1206|1#1207|4#-2																																																																																																																																																																																																																																																										
870000043	0		CheckIntCompareInt	1#1202|1#2001|1																																																																																																																																																																																																																																																										
870000044	0		CheckNpc	1#2001																																																																																																																																																																																																																																																										
870000045	0		DoAddMissile	1#2001|1#2001|0|0|0|0|96090001|1																																																																																																																																																																																																																																																										
870000046	0		DoAddMissile	1#2001|1#2001|0|0|0|0|96090002|1																																																																																																																																																																																																																																																										
870000047	0		DoMagic	1#2001|1#2001|0|100002																																																																																																																																																																																																																																																										
870000048	0		DoRemoveCurrentBehavior																																																																																																																																																																																																																																																											
870000049	2				870000050	870000051	870000052	870000053	870000054	870000055	870000056	870000057	870000058	870000059	870000060	870000067	870000068	870000069	870000072	870000073	870000074	870000075	870000076	870000081	870000086																																																																																																																																																																																																																																					
870000050	0		DoSetMissileId	1#1001|90005011																																																																																																																																																																																																																																																										
870000051	0		DoSetMissileId	1#1002|90005013																																																																																																																																																																																																																																																										
870000052	0		DoSetMissileId	1#1003|90005015																																																																																																																																																																																																																																																										
870000053	0		DoSetMissileId	1#1004|90005017																																																																																																																																																																																																																																																										
870000054	0		DoSetMissileId	1#1005|90005019																																																																																																																																																																																																																																																										
870000055	0		DoSetMissileId	1#1006|90005021																																																																																																																																																																																																																																																										
870000056	0		DoGetNpc	1#2001																																																																																																																																																																																																																																																										
870000057	0		CheckNpc	1#2001																																																																																																																																																																																																																																																										
870000058	0		DoGetDamageBehaviorContext	1#1201|1#1202|1#1203|1#1204|1#1205|1#1206|1#1207|4#-2																																																																																																																																																																																																																																																										
870000059	0		CheckIntCompareInt	1#1202|1#2001|1																																																																																																																																																																																																																																																										
870000060	1				870000061	870000066																																																																																																																																																																																																																																																								
870000061	2				870000062	870000063	870000064	870000065																																																																																																																																																																																																																																																						
870000062	0		CheckNote	2#1000																																																																																																																																																																																																																																																										
870000063	0		CheckInt	2#1000|1|3																																																																																																																																																																																																																																																										
870000064	0		CheckInt	2#1000|6|5																																																																																																																																																																																																																																																										
870000065	0		DoCopyNote	2#1000|1#1400																																																																																																																																																																																																																																																										
870000066	0		DoRandom	1|7|1#1400																																																																																																																																																																																																																																																										
870000067	0		DoRandom	1|360|1#1305																																																																																																																																																																																																																																																										
870000068	0		DoRandom	3|6|1#1306																																																																																																																																																																																																																																																										
870000069	1				870000070	870000071																																																																																																																																																																																																																																																								
870000070	0		CheckNote	2#1000																																																																																																																																																																																																																																																										
870000071	0		DoRandom	1|7|1#1400																																																																																																																																																																																																																																																										
870000072	0		DoAddInt	1#1400|1#1400|1000																																																																																																																																																																																																																																																										
870000073	0		DoCopyNoteEx	1#1400|1#1400|1																																																																																																																																																																																																																																																										
870000074	0		DoGetNpcPosition	1#2001|1#1301|1#1302																																																																																																																																																																																																																																																										
870000075	0		DoGetNpcOffsetPositionEx	1#1303|1#1304|1#2001|1#1301|1#1302|1#1305|1#1306																																																																																																																																																																																																																																																										
870000076	1				870000077	870000080																																																																																																																																																																																																																																																								
870000077	2				870000078	870000079																																																																																																																																																																																																																																																								
