Id	Type	Negative	Name	Param	Children[1]	Children[2]	Children[3]	Children[4]	Children[5]	Children[6]	Children[7]	Children[8]	Children[9]	Children[10]	Children[11]	Children[12]	Children[13]	Children[14]	Children[15]	Children[16]	Children[17]	Children[18]	Children[19]	Children[20]	Children[21]	Children[22]	Children[23]	Children[24]	Children[25]	Children[26]	Children[27]	Children[28]	Children[29]	Children[30]	Children[31]	Children[32]	Children[33]	Children[34]	Children[35]	Children[36]	Children[37]	Children[38]	Children[39]	Children[40]	Children[41]	Children[42]	Children[43]	Children[44]	Children[45]	Children[46]	Children[47]	Children[48]	Children[49]	Children[50]
610000000	3				900018	200009	610000003																																															
610000003	0		DoGetTime	1#40000|1																																																		
610000004	3				610000005	200002	610000007	610000011	610000969	610000017																																												
610000005	0		DoGetRoleActivateNpc	1#2001|1																																																		
610000007	2				610000008	610000009	610000010																																															
610000008	0		CheckPassTime	1#40000|0																																																		
610000009	0		DoMagic	1#3001|1#3001|0|700041																																																		
610000010	0		DoGetTime	1#40000|1																																																		
610000011	2				200008	610000013	610000014	610000015	200010	610000967	610001144																																											
610000013	0		CheckInt	1#37001|1|1																																																		
610000014	0		DoSetNpcId	1#37771|99000																																																		
610000015	0		DoSetInt	1#37761|100																																																		
610000967	0		DoMagic	1#3001|1#3001|0|700208																																																		
610001144	0		DoMagic	1#3001|1#3001|0|763023																																																		
610000969	2				610001039	610001040	610001041																																															
610001039	0		CheckNpc	1#3001																																																		
610001040	0		CheckNpc	1#2001																																																		
610001041	0		DoMoveToNpc	1#3001|1#2001|1|0																																																		
610000017	2				200006	610000019	610000020	610000021																																														
610000019	0		CheckInt	1#30001|2|1																																																		
610000020	0		DoSetInt	4#94001|1																																																		
610000021	0		DoGetTime	1#1001|8																																																		
610000022	3				900018	610000024	610000025	610000026	610000027	610000028	610000029	610000030	610000031	610000032	610000033	610000034																																						
610000024	0		DoSetInt	1#30001|0																																																		
610000025	0		DoSetInt	1#30002|0																																																		
610000026	0		DoSetInt	1#30003|0																																																		
610000027	0		DoSetInt	1#30004|0																																																		
610000028	0		DoSetInt	4#94001|0																																																		
610000029	0		DoSetInt	1#39001|0																																																		
610000030	0		DoGetTime	1#30000|0																																																		
610000031	0		DoGetTime	1#5000|0																																																		
610000032	0		DoShowSceneEffect	DS1|1																																																		
610000033	0		DoShowSceneEffect	ZY1|1																																																		
610000034	0		DoGetRoleActivateNpc	1#2001|1																																																		
610000035	3				610000036	610000037	610000038	610000048	610000053	610000058	610000065	610000073																																										
610000036	0		DoGetRoleActivateNpc	1#2001|1																																																		
610000037	0		DoMagic	1#2001|1#2001|0|700235																																																		
610000038	2				610000039	610000043																																																
610000039	1				610000040	610000041	610000042																																															
610000040	0		DoGetAllPlayerDeath																																																			
610000041	0	1	CheckPassTime	1#5000|1																																																		
610000042	0		DoGetTime	1#5000|0																																																		
610000043	2				610000044	610000045	610000046	610000047																																														
610000044	0		DoGetAllPlayerDeath																																																			
610000045	0		CheckPassTime	1#5000|2.3																																																		
610000046	0		DoSetFightResultState	2																																																		
610000047	0		DoExitFight																																																			
610000048	2				610000049	610000050	610000051	610000052																																														
610000049	0		CheckInt	1#39001|0|1																																																		
610000050	0		CheckArea	1#2001|DS1																																																		
