Id	NpcId	Type	ModelId	CvId	Desc
0	1001	0		101160	Lee: Palefire
1	1001	1		101161	
2	1001	2		101162	
3	1001	3		101163	
4	1001	4		101164	
5	1001	5		101165	
6	1001	6		101166	
7	1001	7		101167	
8	1001	8		101168	
9	1001	9		101169	
10	1001	10		101170	
100	5001	0		101160	Lee: Palefire (Lone Gunner Character)
101	5001	1		101161	
102	5001	2		101162	
103	5001	3		101163	
104	5001	4		101164	
105	5001	5		101165	
106	5001	6		101166	
107	5001	7		101167	
108	5001	8		101168	
109	5001	9		101169	
110	5001	10		101170	
1000	1011	0		101160	Lee: Entropy
1001	1011	1		101161	
1002	1011	2		101162	
1003	1011	3		101163	
1004	1011	4		101171	
1005	1011	5		101165	
1006	1011	6		101166	
1007	1011	7		101167	
1008	1011	8		101168	
1009	1011	9		101169	
1010	1011	10		101170	
1020	1011	0	R3LiangMd019101	101160	Lee: Entropy
1021	1011	1	R3LiangMd019101	101161	Illusionist Coating
1022	1011	2	R3LiangMd019101	101162	
1023	1011	3	R3LiangMd019101	101163	
1024	1011	4	R3LiangMd019101	101171	
1025	1011	5	R3LiangMd019101	101165	
1026	1011	6	R3LiangMd019101	101166	
1027	1011	7	R3LiangMd019101	101167	
1028	1011	8	R3LiangMd019101	101168	
1029	1011	9	R3LiangMd019101	101169	
1030	1011	10	R3LiangMd019101	101118	
2000	1002	0		102160	Lucia: Lotus
2001	1002	1		102161	
2002	1002	2		102162	
2003	1002	3		102163	
2004	1002	4		102164	
2005	1002	5		102165	
2006	1002	6		102166	
2007	1002	7		102167	
2008	1002	8		102168	
2009	1002	9		102169	
2010	1002	10		102170	
2100	1132	0		102160	Lucia: Lotus (Self Control Monster)
2101	1132	1		102161	
2102	1132	2		102162	
2103	1132	3		102163	
2104	1132	4		102164	
2105	1132	5		102165	
2106	1132	6		102166	
2107	1132	7		102167	
2108	1132	8		102168	
2109	1132	9		102169	
2110	1132	10		102170	
2200	1232	0		102160	Lucia: Lotus (Self Control Monster 2)
2201	1232	1		102161	
2202	1232	2		102162	
2203	1232	3		102163	
2204	1232	4		102164	
2205	1232	5		102165	
2206	1232	6		102166	
2207	1232	7		102167	
2208	1232	8		102168	
2209	1232	9		102169	
2210	1232	10		102170	
3000	1012	0		102160	Lucia: Dawn
3001	1012	1		102161	
3002	1012	2		102162	
3003	1012	3		102163	
3004	1012	4		102171	
3005	1012	5		102165	
3006	1012	6		102166	
3007	1012	7		102167	
3008	1012	8		102168	
3009	1012	9		102169	
3010	1012	10		102170	
4000	1022	0		1021037	Lucia: Crimson Abyss
4001	1022	1		1021028	
4002	1022	2		1021029	
4003	1022	3		1021030	
4004	1022	4		1021031	
4005	1022	5		1021032	
4006	1022	6		1021033	
4007	1022	7		1021034	
4008	1022	8		1021035	
4009	1022	9		1021036	
4010	1022	10		1021038	
4011	1022	11		1021055	
4012	1022	12		1021056	
4013	1022	13		1021057	
4014	1022	14		1021058	
4015	1022	15		1021059	
5000	1032	0		1022070	Lucia: Plume
5001	1032	1		1022061	
5002	1032	2		1022062	
5003	1032	3		1022063	
5004	1032	4		1022064	
5005	1032	5		1022065	
5006	1032	6		1022066	
5007	1032	7		1022067	
5008	1032	8		1022069	
5009	1032	9		1022068	
5010	1032	10		1022071	
5011	1032	11		0	
6000	1003	0		103160	Liv: Eclipse
6001	1003	1		103161	
6002	1003	2		103162	
6003	1003	3		103163	
6004	1003	4		103164	
6005	1003	5		103165	
6006	1003	6		103166	
6007	1003	7		103167	
6008	1003	8		103168	
6009	1003	9		103169	
6010	1003	10		103170	
6100	4705	0		103160	Liv: Eclipse
6101	4705	1		103161	
6102	4705	2		103162	
6103	4705	3		103163	
6104	4705	4		103164	
6105	4705	5		103165	
6106	4705	6		103166	
6107	4705	7		103167	
6108	4705	8		103168	
6109	4705	9		103169	
6110	4705	10		103170	
7000	1013	0		103160	Liv: Lux
7001	1013	1		103161	
7002	1013	2		103162	
7003	1013	3		103163	
7004	1013	4		103171	
7005	1013	5		103165	
7006	1013	6		103166	
7007	1013	7		103167	
7008	1013	8		103168	
7009	1013	9		103169	
7010	1013	10		103170	
8000	1023	0		103160	Liv: Luminance
8001	1023	1		103161	
8002	1023	2		103162	
8003	1023	3		103163	
8004	1023	4		103172	
8005	1023	5		103165	
8006	1023	6		103166	
8007	1023	7		103167	
8008	1023	8		103168	
8009	1023	9		103169	
8010	1023	10		103170	
9000	1004	0		104160	Bianca: Zero
9001	1004	1		104161	
9002	1004	2		104162	
9003	1004	3		104163	
9004	1004	4		104164	
9005	1004	5		104165	
9006	1004	6		104166	
9007	1004	7		104167	
9008	1004	8		104168	
9009	1004	9		104169	
9010	1004	10		104170	
10000	1014	0		104160	Bianca: Veritas
10001	1014	1		104161	
10002	1014	2		104162	
10003	1014	3		104163	
10004	1014	4		104171	
10005	1014	5		104165	
10006	1014	6		104166	
10007	1014	7		104167	
