Id	Name	IsTrigger
1	Born	1
2	Stand1	0
3	Stand2	0
4	Stand3	0
5	Death	0
6	Standchange	0
7	Run	0
8	Walk	0
9	Runb	0
10	Runl	0
11	Runr	0
12	Walkb	0
13	Walkl	0
14	Walkr	0
15	TurnLeft	0
16	TurnRight	0
17	Move1	1
18	Move2	1
19	Move3	1
20	RunStart	1
21	RunStartEnd01	0
22	Hit1	1
23	Hit2	1
24	Hit3	1
25	Hit4	1
26	Behitfly	1
27	Hoverhit	1
28	Falldown	0
29	Hitdown	0
30	Lieonfloor	0
31	Standup	0
32	Straight	0
33	Stun	0
34	StraightBefore	0
35	StraightAfter	0
36	Win	0
37	Win2	0
38	Stop	0
39	Fail	1
40	Save	0
41	UiStand1	0
42	AttackQte	1
43	Caught	1
50	Squat	0
51	Squatdown	1
52	Squatrun	0
53	Squatrunstart	1
54	Squatrunstop	1
55	Squatup	1
56	RunStartEnd02	1
57	StopR	1
58	Sprint	1
59	SprintLeanL	1
60	SprintLeanR	1
61	SprintStop	1
101	Attack01	1
102	Attack02	1
103	Attack03	1
104	Attack04	1
105	Attack05	1
106	Attack06	1
107	Attack07	1
108	Attack08	1
109	Attack09	1
110	Attack10	1
111	Attack11	1
112	Attack12	1
113	Attack13	1
114	Attack14	1
115	Attack15	1
116	Attack16	1
117	Attack17	1
118	Attack18	1
119	Attack19	1
120	Attack20	1
121	Attack21	1
122	Attack22	1
123	Attack23	1
124	Attack24	1
125	Attack25	1
126	Attack26	1
127	Attack27	1
128	Attack28	1
129	Attack29	1
130	Attack30	1
131	Attack31	1
132	Attack32	1
133	Attack33	1
134	Attack34	1
135	Attack35	1
136	Attack36	1
137	Attack37	1
138	Attack38	1
139	Attack39	1
140	Attack40	1
141	Attack41	1
142	Attack42	1
143	Attack43	1
144	Attack44	1
145	Attack45	1
146	Attack46	1
147	Attack47	1
148	Attack48	1
149	Attack49	1
150	Attack50	1
151	Attack51	1
152	Attack52	1
153	Attack53	1
154	Attack54	1
155	Attack55	1
156	Attack56	1
157	Attack57	1
158	Attack58	1
159	Attack59	1
160	Attack60	1
161	Attack61	1
162	Attack62	1
163	Attack63	1
164	Attack64	1
165	Attack65	1
166	Attack66	1
167	Attack67	1
168	Attack68	1
169	Attack69	1
170	Attack70	1
171	Attack71	1
172	Attack72	1
173	Attack73	1
174	Attack74	1
175	Attack75	1
176	Attack76	1
177	Attack77	1
178	Attack78	1
179	Attack79	1
180	Attack80	1
181	Attack81	1
182	Attack82	1
183	Attack83	1
184	Attack84	1
185	Attack85	1
186	Attack86	1
187	Attack87	1
188	Attack88	1
189	Attack89	1
190	Attack90	1
191	Attack91	1
192	Attack92	1
193	Attack93	1
194	Attack94	1
195	Attack95	1
196	Attack96	1
197	Attack97	1
198	Attack98	1
199	Attack99	1
200	Wait	0
201	Executioner01	1
202	Executioner02	1
203	Executioner03	1
204	Executioner04	1
205	Executioner05	1
206	Executioner06	1
207	Executioner07	1
208	Executioner08	1
209	Executioner09	1
210	Executioner10	1
