Id	Name	Level	Icon	Description
760001	↑Fire	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuo.png	Fire Resistance decreases by 30%
760002	↑Fire	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuo.png	Fire Resistance decreases by 45%
760003	↑Fire	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeihuo.png	Fire Resistance decreases by 60%
760011	↑Ltg	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeilei.png	Lightning Resistance decreases by 30%
760012	↑Ltg	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeilei.png	Lightning Resistance decreases by 45%
760013	↑Ltg	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeilei.png	Lightning Resistance decreases by 60%
760021	↑Ice	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeibing.png	Ice Resistance decreases by 30%
760022	↑Ice	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeibing.png	Ice Resistance decreases by 45%
760023	↑Ice	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeibing.png	Ice Resistance decreases by 60%
760031	↑Dark	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeian.png	Dark Resistance decreases by 30%
760032	↑Dark	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeian.png	Dark Resistance decreases by 45%
760033	↑Dark	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeian.png	Dark Resistance decreases by 60%
760041	↑Phy	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeiwuli.png	Physical Resistance decreases by 30%
760042	↑Phy	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeiwuli.png	Physical Resistance decreases by 45%
760043	↑Phy	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeiwuli.png	Physical Resistance decreases by 60%
760051	↑Ele	1	Assets/Product/Texture/Image/IconAffix/AffixIconWeiyuansu.png	Elemental Resistance decreases by 30%
760052	↑Ele	2	Assets/Product/Texture/Image/IconAffix/AffixIconWeiyuansu.png	Elemental Resistance decreases by 45%
760053	↑Ele	3	Assets/Product/Texture/Image/IconAffix/AffixIconWeiyuansu.png	Elemental Resistance decreases by 60%
760061	- ATK	1	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	Extra DMG Bonus decreases by 30%
760062	- ATK	2	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	Extra DMG Bonus decreases by 45%
760063	- ATK	3	Assets/Product/Texture/Image/IconAffix/AffixIconRuogong.png	Extra DMG Bonus decreases by 60%
760071	A.P.	1	Assets/Product/Texture/Image/IconAffix/AffixIconPojia.png	Extra DMG Reduction decreases by 30%.
760072	A.P.	2	Assets/Product/Texture/Image/IconAffix/AffixIconPojia.png	Extra DMG Reduction decreases by 45%
760073	A.P.	3	Assets/Product/Texture/Image/IconAffix/AffixIconPojia.png	Extra DMG Reduction decreases by 60%.
760081	W.P.	1	Assets/Product/Texture/Image/IconAffix/AffixIconRuodian.png	Extra DMG Reduction decreases by 30% when taking CRIT DMG
760082	W.P.	2	Assets/Product/Texture/Image/IconAffix/AffixIconRuodian.png	Extra DMG Reduction decreases by 45% when taking CRIT DMG
760083	W.P.	3	Assets/Product/Texture/Image/IconAffix/AffixIconRuodian.png	Extra DMG Reduction decreases by 60% when taking CRIT DMG
