Id	GroupId	Order	Name	Desc	Author	Bg	SpineBg	LockBg	UnLockTime	Condition	IsShowRedPoint	BgWidth	BgHigh	BgOffSetX	BgOffSetY
101001	1	1	On the Battlefield	Amidst the countless Corrupted corpses is the girl who was always by your side.		Assets/Product/Texture/Image/BgCg/Cg001_1.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png			0	1280	720	0	0
101002	1	2	Bladepoint	You will never hurt Commandant.		Assets/Product/Texture/Image/BgCg/Cg001_5.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png			0	1280	720	0	0
101003	1	3	Reunite	After a fierce battle, the Gray Raven squad finally reunites.		Assets/Product/Texture/Image/BgCg/Cg002_1.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png			0	1280	720	0	0
101004	1	4	Reunion	A renewed first meeting.		Assets/Product/Texture/Image/BgCg/Cg002_4.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png			0	1280	720	0	0
101005	1	5	Cogs	So turns the cogs of fate.		Assets/Product/Texture/Image/BgCg/Cg002_5.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png			0	1280	720	0	0
101006	1	6	Froggie and Sheepie	If there wasn't a war, what would these two be talking about in a mall?		Assets/Product/Texture/Image/BgCg/Cg109_2.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png		84100107	0	1280	720	0	0
101007	1	7	Faded Color	The death of the artist.		Assets/Product/Texture/Image/BgCg/Cg116_2.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png		84100112	0	1280	720	0	0
101008	1	8	Shield	Faced with an emergency, Lee puts his life on the line to protect his companions.		Assets/Product/Texture/Image/BgCg/Cg215_1.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png		84100212	0	1280	720	0	0
101009	1	9	Corner	The silent observer makes his entry.		Assets/Product/Texture/Image/BgCg/Cg216_1.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png		84100212	0	1680	720	0	0
101010	1	10	Ascension	This power does not bow to just anyone.		Assets/Product/Texture/Image/BgCg/Cg204_1.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png		84100301	0	1280	720	0	0
101011	1	11	Forsaken	Never we forget.		Assets/Product/Texture/Image/BgCg/Cg408_1.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png		84100407	0	1280	720	0	0
101012	1	12	Wordless	Two little dum-dums bad with words.		Assets/Product/Texture/Image/BgCg/Cg516_1.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png		84100512	0	1280	720	0	0
101013	1	13	Hello	You call this a friendly hello?		Assets/Product/Texture/Image/BgCg/Cg513_1.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png		84100608	0	1280	720	0	0
101014	1	14	Questioning	Finally caught up to Kamui. He'd better explain himself for deserting.		Assets/Product/Texture/Image/BgCg/Cg416_1.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png		84100611	0	1280	720	0	0
101015	1	15	The Waiting	Let's see how far they can go.		Assets/Product/Texture/Image/BgCg/Cg608_1.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png		84100703	0	1280	720	0	0
101016	1	16	Light and Shadow	Because, you are me, and I am you. We're both Kamui.		Assets/Product/Texture/Image/BgCg/Cg815_1.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png		84100811	0	1280	720	0	0
101017	1	17	Ayla	Wait for me, Selena.		Assets/Product/Texture/Image/BgCg/Cg901_6.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png		84100903	0	1280	720	0	0
101018	1	18	Reunion	At least for now, we're using each other.		Assets/Product/Texture/Image/BgCg/Cg901_1.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png		84100904	0	1280	720	0	0
101019	1	19	Shatter	The Hetero-Core was struck, but the credits aren't rolling just yet.		Assets/Product/Texture/Image/BgCg/Cg901_3.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png		84100913	0	1280	720	0	0
101020	1	20	Chase	Watanabe turns, running toward the gravity room's exit.		Assets/Product/Texture/Image/BgCg/Cg901_4.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png		84100913	0	1280	720	0	0
101021	1	21	Falling	Hetero-Core falls. Case closed?		Assets/Product/Texture/Image/BgCg/Cg901_5.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png		84100913	0	1280	720	0	0
101022	1	22	Orders	Let us go acquire the merchandise for striking a deal, Sophia.		Assets/Product/Texture/Image/BgCg/Cg1001_2.jpg		Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png		84101001	0	1280	720	0	0
