Id	GroupId	Order	Type	Title	Text	Condition
9003011	90030	1	1	Battle Design	Zi Wei	800000
9003012	90030	2	1	Version	Iα-I003	800000
9003013	90030	3	1	Use	Industrial	800002
9003014	90030	4	1	Type	Mass-produced	800002
9003021	90030	1	2	Production Time	Product of the early Golden Age with basic functions.	800005
9003022	90030	2	2	Intelligence	A machine of the lowest intelligence level with only a single function. Often seen used in the early Golden Age.	800005
9209011	92090	1	1	Battle Design	Zi Wei	800000
9209012	92090	2	1	Version	Pα-I010	800000
9209013	92090	3	1	Use	Security	800002
9209014	92090	4	1	Type	Mass-produced	800002
9209021	92090	1	2	Production Time	Product of the early Golden Age with basic functions.	800005
9209022	92090	2	2	Intelligence	A machine of the lowest intelligence level with only a single function. Often seen used in the early Golden Age.	800005
9212011	92120	1	1	Battle Design	Zi Wei	800000
9212012	92120	2	1	Version	Pβ-II013	800000
9212013	92120	3	1	Use	Security	800002
9212014	92120	4	1	Type	Mass-produced	800002
9212021	92120	1	2	Production Time	Produced in the early Golden Age. It is slightly more advanced than model α.	800005
9212022	92120	2	2	Intelligence	Low intelligence level, but equipped with multiple functions. Eager for power, it will modify itself with surrounding resources.	800005
9211011	92110	1	1	Battle Design	Zi Wei	800000
9211012	92110	2	1	Version	Pβ-I005	800000
9211013	92110	3	1	Use	Security	800002
9211014	92110	4	1	Type	Mass-produced	800002
9211021	92110	1	2	Production Time	Produced in the early Golden Age. It is slightly more advanced than model α.	800005
9211022	92110	2	2	Intelligence	A machine of the lowest intelligence level with only a single function. Often seen used in the early Golden Age.	800005
9210011	92100	1	1	Battle Design	Zi Wei	800000
9210012	92100	2	1	Version	Pα-I011	800000
9210013	92100	3	1	Use	Security	800002
9210014	92100	4	1	Type	Mass-produced	800002
9210021	92100	1	2	Production Time	Product of the early Golden Age with basic functions.	800005
9210022	92100	2	2	Intelligence	A machine of the lowest intelligence level with only a single function. Often seen used in the early Golden Age.	800005
9213011	92130	1	1	Battle Design	Zi Wei	800000
9213012	92130	2	1	Version	Cβ-II063	800000
9213013	92130	3	1	Use	Artistic	800002
9213014	92130	4	1	Type	Mass-produced	800002
9213021	92130	1	2	Production Time	Produced in the early Golden Age. It is slightly more advanced than model α.	800005
