Id	Order	Name	PicSmall	PicBig	UnLockTime	Condition
10001	1	Allen	Assets/Product/Texture/Image/RoleStory/AilunNormal01.png	Assets/Product/Texture/Image/RoleStory/AilunNormal01.png		84100903
10002	2	Aston	Assets/Product/Texture/Image/RoleStory/AsidunNormal01.png	Assets/Product/Texture/Image/RoleStory/AsidunNormal01.png		84101004
10003	3	Asimov	Assets/Product/Texture/Image/RoleStory/AximofuNomal01.png	Assets/Product/Texture/Image/RoleStory/AximofuNomal01.png		84100112
10004	4	Bruce	Assets/Product/Texture/Image/RoleStory/BulusiNomal01.png	Assets/Product/Texture/Image/RoleStory/BulusiNomal01.png		84306011
10005	5	Bridget	Assets/Product/Texture/Image/RoleStory/BulijiteNormal01.png	Assets/Product/Texture/Image/RoleStory/BulijiteNormal01.png		84101210
10006	6	Changyu	Assets/Product/Texture/Image/RoleStory/ChangyuNormal01.png	Assets/Product/Texture/Image/RoleStory/ChangyuNormal01.png		84101002
10007	7	Chaofeng	Assets/Product/Texture/Image/RoleStory/ChaofengNormal01.png	Assets/Product/Texture/Image/RoleStory/ChaofengNormal01.png		84201101
10008	8	Ashlar	Assets/Product/Texture/Image/RoleStory/GuizuNormal01.png	Assets/Product/Texture/Image/RoleStory/GuizuNormal01.png		84101004
10009	9	Hassen	Assets/Product/Texture/Image/RoleStory/HasangNomal01.png	Assets/Product/Texture/Image/RoleStory/HasangNomal01.png		84100112
10010	10	Evan	Assets/Product/Texture/Image/RoleStory/IceboyNomal.png	Assets/Product/Texture/Image/RoleStory/IceboyNomal.png		
10011	11	Diana	Assets/Product/Texture/Image/RoleStory/IceguideNomal.png	Assets/Product/Texture/Image/RoleStory/IceguideNomal.png		
10012	12	Jamilah	Assets/Product/Texture/Image/RoleStory/JiamilaNormal01.png	Assets/Product/Texture/Image/RoleStory/JiamilaNormal01.png		84101001
10013	13	■■	Assets/Product/Texture/Image/RoleStory/JiaoguanNomal01.png	Assets/Product/Texture/Image/RoleStory/JiaoguanNomal01.png		84306011
10014	14	Kalon	Assets/Product/Texture/Image/RoleStory/KaliegrandNomal01.png	Assets/Product/Texture/Image/RoleStory/KaliegrandNomal01.png		84305012
10015	15	Koya	Assets/Product/Texture/Image/RoleStory/KeyaNomal01.png	Assets/Product/Texture/Image/RoleStory/KeyaNomal01.png		84308012
10016	16	John	Assets/Product/Texture/Image/RoleStory/KuluomufuqinNormal01.png	Assets/Product/Texture/Image/RoleStory/KuluomufuqinNormal01.png		84311012
10017	17	Nithart	Assets/Product/Texture/Image/RoleStory/NiteNomal.png	Assets/Product/Texture/Image/RoleStory/NiteNomal.png		845001010
10018	18	Nikola	Assets/Product/Texture/Image/RoleStory/NikelaNomal01.png	Assets/Product/Texture/Image/RoleStory/NikelaNomal01.png		84100112
10019	19	Pulao	Assets/Product/Texture/Image/RoleStory/PulaoNormal01.png	Assets/Product/Texture/Image/RoleStory/PulaoNormal01.png		84101106
10020	20	Amy	Assets/Product/Texture/Image/RoleStory/QishiqianzhuanNpc01.png	Assets/Product/Texture/Image/RoleStory/QishiqianzhuanNpc01.png		84303022
10021	21	Celica	Assets/Product/Texture/Image/RoleStory/SailikaNomal01.png	Assets/Product/Texture/Image/RoleStory/SailikaNomal01.png		84100107
10022	22	Selena	Assets/Product/Texture/Image/RoleStory/SailinnaNormal01.png	Assets/Product/Texture/Image/RoleStory/SailinnaNormal01.png		84309012
10023	23	Snow	Assets/Product/Texture/Image/RoleStory/SnowNomal01.png	Assets/Product/Texture/Image/RoleStory/SnowNomal01.png		84307011
10024	24	Toby	Assets/Product/Texture/Image/RoleStory/TuobiNormal01.png	Assets/Product/Texture/Image/RoleStory/TuobiNormal01.png		84307021
10025	25	Wen	Assets/Product/Texture/Image/RoleStory/WenNormal01.png	Assets/Product/Texture/Image/RoleStory/WenNormal01.png		84307023
10026	26	Cyril	Assets/Product/Texture/Image/RoleStory/XilierNormal01.png	Assets/Product/Texture/Image/RoleStory/XilierNormal01.png		84306021
10027	27	Meka	Assets/Product/Texture/Image/RoleStory/YanjingzhainvNormal01.png	Assets/Product/Texture/Image/RoleStory/YanjingzhainvNormal01.png		84309011
10028	28	Yazi	Assets/Product/Texture/Image/RoleStory/YaziNormal03.png	Assets/Product/Texture/Image/RoleStory/YaziNormal03.png		84101108
10029	29	Murray	Assets/Product/Texture/Image/RoleStory/MoruiNormal01.png	Assets/Product/Texture/Image/RoleStory/MoruiNormal01.png		84201101
