Id	GroupId	Order	Type	Title	Text	Condition
9003011	90030	1	1	Data I	Product of the early Golden Age with basic functions. It can only carry out simple orders.	800007
9003012	90030	2	1	Data II	Can be seen roaming around wastelands everywhere.	800007
9003021	90030	1	2	Story I	It maintains its function by scavenging or dismantling discarded mechanical parts. As a result, it always clashes with human scavengers over resources.	800008
9003022	90030	2	2	Story II	Protects itself with a piece of oilcloth after taking fatal damage and became partially broken. The weapon it never lets go is once used for dismantling and repairing mechanical devices.	800008
9209011	92090	1	1	Data I	It transmits pictures captured by its infrared camera back to the humans and Sentry Guns via transmission lines.	800007
9209012	92090	2	1	Data II	After being corrupted, it no longer transmits any data. Instead, the infrared camera output is increased to smoke humans with laser beams.	800007
9209021	92090	1	2	Story	A robot created by Cosmos Industries to patrol designated routes. Mostly used for commercial and city security.	800008
9212011	92120	1	1	Data I	Shows obvious traces of corruption. Already a mindless puppet of the virus.	800007
9212012	92120	2	1	Data II	Without its lower body, it can only crawl on the ground.	800007
9212021	92120	1	2	Story I	Once a large security robot commonly used by the clubs. Without proper maintenance and viable substitutes, its heavy upper body has eventually crushed its lower body. After being corrupted by Punishing Virus, it displays great resentment for humans and Constructs with complete bodies.	800008
9212022	92120	2	2	Story II	Traces of repairs can be found on its surface, though all of them have been carried out improperly. Nearly all repair materials are makeshift materials.	800008
9211011	92110	1	1	Data I	The gun barrels click open with gear-shaped locks to pour out the spent shells and residue.	800007
9211012	92110	2	1	Data II	The relatively compact body size and speedy wheel-based movement have put a lot of police dogs out of their jobs.	800007
9211021	92110	1	2	Story I	Once a city security robot in the cities adjacent to Mexico. People decorated it with crude accessories.	800008
9211022	92110	2	2	Story II	Its guns were originally loaded with blanks to avoid dealing damage to humans. After being corrupted, it uses everything that fits inside the barrel as shots, which is the reason why the guns have a lot of wear and tear.	800008
9210011	92100	1	1	Data I	Capable of flight with levitation wings, but the flight distance is limited due to the simplistic design. Nonetheless, one should never underestimate its explosive speed in immediate combat.	800007
9210012	92100	2	1	Data II	When inactive, it uses its claws to stabilize itself on the ground. After being corrupted, the claws have become a weapon.	800007
9210021	92100	1	2	Story	An aerial monitor created by Cosmos Industries to patrol designated routes. Much more agile than the ground monitoring robots.	800008
9213011	92130	1	1	Data I	The spear was originally a circus flagpole. It has adapted it into a weapon.	800007
9213012	92130	2	1	Data II	The robotic boar it is riding once belonged to a circus. It has retained its aggressive animal instinct and is able to move at high speed.	800007
9213021	92130	1	2	Story	A Tamer is a robot designed for performance purposes. Its job was to help humans manage beasts in the circus. In the early Golden Age, bionic beast shows were once a great hit, but the craze quickly died. As the number of human tamers declined, the mechanical counterpart took over.	800008
9217011	92170	1	1	Data I	It fashioned a religious symbol from its memory fragments and surrounding scraps, but now, the staff seems to be functioning as a tool for slaughter instead.	800007
9217012	92170	2	1	Data II	In order to survive, it has forcefully modified its own body with incompatible parts, rendering itself into a much more terrifying form.	800007
9217021	92170	1	2	Story I	Still a zealot and a preacher after being infected by the Punishing Virus. Though, its subject of worship seems to have changed from the corruption.	800008
9217022	92170	2	2	Story II	The age of technological explosion weakened the appeal of faith. The church required bionic evangelists that could carry out their orders with unwavering faith. The Missionary model was one of them.	800008
9218011	92180	1	1	Data I	Freed it from its past orders by the corruption, the desire to kill has driven it to butcher anyone it sees with a pair of domestic knives.	800007
9218012	92180	2	1	Data II	Without proper maintenance, its internal wires are exposed. The blades have also essentially become blunt weapons.	800007
9218021	92180	1	2	Story	A general-purpose robot designed for the public. With a human-like appearance and an ability to carry out different orders faithfully, it was the most common robot in the world.	800008
9220011	92200	1	1	Data I	A Black Spider determines its exact distance with the target location (In a corrupted case, humans) through its compound-eye infrared sensors. Upon arrival, it will initiate its self-destruct sequence. The 360° rotational design gives it a wider detection range than Jitterbombs.	800007
9220012	92200	2	1	Data II	While inactive, it will disable its self-destruct sequence and self-compress into a disk shape for ease of transport. It expands when activated. The armor protects the internal fission reactor from being destroyed until it self-destructs.	800007
9220021	92200	1	2	Story	A small military explosive robot. It can crawl like an insect on the battlefield and swiftly arrive at designated locations to initiate self-destruction. Compared with Jitterbombs, it has greater firepower and stealth performance.	800008
9221011	92210	1	1	Data I	A lawnmower is a Gardener's necessary gear in planting and mowing in the urban regions.	800007
9221012	92210	2	1	Data II	The apron is supposed to prevent shredded grass from entering its frame, but it has lost its function in the current world.	800007
9221021	92210	1	2	Story	Produced in the early Golden Age with simple functions. Mostly used for garden management, urban greening, and farming.	800008
9214011	92140	1	1	Data I	A Jitterbomb determines its exact distance with the target location (In a corrupted case, humans) through its compound-eye infrared sensors. Upon arrival, it will initiate its self-destruct sequence.	800007
9214012	92140	2	1	Data II	Ball-shaped and does not explode while inactive, easy to transport in this state. When activated, the small fission reactor lights up. The reactor is both the energy source and the explosive material.	800007
9214021	92140	1	2	Story	A simple industrial explosive robot. The small size allows it to pass through narrow tunnels in mines like an insect. It can move to a designated location to initiate self-destruction.	800008
9215011	92150	1	1	Data I	The hydraulic system enables acrobatic movements. It also powers the entire frame.	800007
9215012	92150	2	1	Data II	With three legs and respectable jumping abilities, it can overcome nearly all terrains.	800007
9215013	92150	3	1	Data III	Open the frontal portion of the frame for a drill that can terraform the terrain for lifting operations.	800007
9215021	92150	1	2	Story	A portable jack produced in the Golden Age. It can lift heavy loads with ease. Mostly deployed for industrial use and flying car repairs.	800008
9216011	92160	1	1	Data I	The light cannons on both sides of its body can rotate vertically and horizontally at 180°.	800007
9216012	92160	2	1	Data II	Equipped with a most simple heat dissipation design. The barrels will turn red and spew smoke to dissipate heat under continuous fire.	800007
9216021	92160	1	2	Story	A security robot commonly seen in cities. Created by Cosmos Industries, it patrols along designated routes and locates intruders with signals from monitors. It automatically eliminates unidentified enemies in cities through its basic weaponry.	800008
9219011	92190	1	1	Data I	Equipped only with basic protective equipment. Due to lack of maintenance, its shield is all bent.	800007
9219012	92190	2	1	Data II	It lacks agility, but is more than functional as a meat, or metal, shield.	800007
9219021	92190	1	2	Story	A large security robot used by police forces during riots. They would rush to where the riot is happening and form a defense line to reduce casualties.	800008
9002011	90020	1	1	Data	After the virus outbreak, Kuroro has not shown any signs of infection. It seems like it could not care less about attacking humans, which is why it is deemed a safe bionic animal.	0
9002021	90020	1	2	Story	A strange mechanical series that appeared in the early Post-Pandemic Age. Its creator remains unknown. Kuroros have a relatively high level of intelligence and a variety of forms. They are also fanatical about collecting Cogs.	0
9246011	92460	1	1	Data I	Equipped with a compound scanner, it can scan creatures in the deep sea using infrared radiation, or the surrounding environment through sonar pulses.	800007
9246012	92460	2	1	Data II	Able to sustain fire for a long time, the multifunctional high-pressure water cannon can cut through bedrock to find ores. The recoil from the high-velocity water stream can also be used to quickly move around.	800007
9246013	92460	3	1	Data III	The anti-pressure mirage coating allows a Deep-sea Ambusher to withstand the high pressure in the deep sea, as well as blend in to shield it from most deep-sea creatures.	800007
9246021	92460	1	2	Story	An industrial robot designed to withstand the deep sea environment. It terraforms the oceanic crust and extracts resources from it. Powered by nuclear fusion, it stores Reagent He-4 inside its body.	800008
9248011	92480	1	1	Data I	The light cannons on both sides of its body can rotate vertically and horizontally at 180°.	800007
9248012	92480	2	1	Data II	Compared with a Sentry Gun, the design and functions are more advanced. It is impervious to space radiation and even able to operate outside the space station if necessary.	800007
9248013	92480	3	1	Data III	It can firmly grasp the surfaces of the space station even in a vacuum environment.	800007
9248021	92480	1	2	Story I	A security robot commonly seen in cities. Created by Cosmos Industries, it patrols along designated routes and locates intruders with signals from monitors. It automatically eliminates unidentified enemies in cities through its basic weaponry. The name of Cosmos came from humanity's ambition to conquer space.	800008
9248022	92480	2	2	Story II	Corrupted, the high concentration of Punishing Virus in its vital fluids leak and trail behind its path, causing damage to humans and Constructs.	800008
