Id	ChapterId	Order	Name	SubName	Icon	DescTitle	Desc	Condition	UnLockTime	StoryId[0]	StoryId[1]
100001	1000	1	Enter Prologue				The mission to take back the Earth begins now. —Hassen			ZX00000BA	
100002	1000	2	Prologue 01				Lave the rest to me.			ZX00001BA	
100003	1000	3	Prologue 02				With Immune Serum and pain receptors disconnected, we can continue to execute our mission.			ZX00002BA	
100004	1000	4	Prologue 03				Open your eyes and see the humans for who they really are through this person. I look forward to your choice after learning about the truth...			ZX00003BA	ZX00003EA
100101	1001	1	A Brief Transit	1_1			To ensure the victory in the War Zone, Gray Raven decided to head further into the zone.	84100101		ZX00101BA	ZX00101EA
100102	1001	2	Farewell Gift	1_2			Lucia can fight again thanks to the Construct's arm.	84100102		ZX00102BA	
100103	1001	3	Graffiti Blast	1_3			Traces of graffiti. Facing such eerie artwork, Liv decided to join the battle.	84100103		ZX00103BA	
100104	1001	4	Full Strength	1_4			Try to fight with Liv!	84100104		ZX00104BA	
100105	1001	5	Restoring Scene	1_5			In the simulation replay, all Gray Raven saw were the Corrupted feasting on their comrades...	84100105		ZX00105BA	
100106	1001	6	Lost in Mist	1_6			Artistic creations?	84100106		ZX00106BA	
100107	1001	7	A Soft Heart	1_7			Lucia turns silent for a short while after receiving the plushie, staring at it with an unmoving gaze.	84100107		ZX00107BA	
100108	1001	8	The Purpose	1_8			If you're lost, then simply walk forward. Walking forward itself can be meaningful enough.	84100108		ZX00108BA	
100109	1001	9	The Followers	1_9			These graffiti surprisingly captivated a lot of these Corrupted...	84100109		ZX00109BA	
100110	1001	10	Base Color	1_10			Hehe... this is just... for a little... base coloring...	84100110		ZX00110BA	
100111	1001	11	Self Analysis	1_11			I... am a free machine.	84100111		ZX00111BA	
100112	1001	12	Final Work	1_12			Be cursed... by... my... work...!	84100112		ZX00112BA	ZX00112EA
100201	1002	1	A Strange New Friend	2_1			Indeed... Walking the path of heavens... The Construct who will rule everything... My name is... Nanami!	84100201		ZX00201BA	
100202	1002	2	Strange Signal	2_2			This signal... The Construct's named "Tifa"?	84100202		ZX00202BA	
100203	1002	3	Old Acquaintance	2_3			This is the leader of the Cerberus squad.	84100203		ZX00203BA	
100204	1002	4	Relic	2_4			No, I remember now... Yes, this reeks of her, we've been played.	84100204		ZX00204BA	
100205	1002	5	Language Game	2_5			This Inver-Device... Tifa took it off herself.	84100205		ZX00205BA	
100206	1002	6	Will to Survive	2_6			That's a... survivor from the Suzaku squad!	84100206		ZX00206BA	
100207	1002	7	Iso-Device	2_7			Corrupted gained new abilities by corrupting the Iso-Devices.	84100207		ZX00207BA	
100208	1002	8	Rescue Signal	2_8			The team received a signal from a Construct requesting aid. Help him as soon as possible.	84100208		ZX00208BA	
100209	1002	9	Will of Steel	2_9			Wait for me, Tifa... I'll... bring you back to... Babylonia...	84100209		ZX00209BA	
100210	1002	10	A "Safe" Exit	2_10			This is the last area linking to the Portal. A safe route can be set up here only.	84100210		ZX00210BA	
