Id	Order	Author	Name	Icon	Pic	LockPic	Type	UnlockType	TagGroupId	TagIds[0]	TagIds[1]	TagIds[2]	StandbyAction	Actions[0]	Actions[1]	NpcId[0]	NpcId[1]	NpcId[2]	NpcId[3]	StageIds[0]	StageIds[1]	StageIds[2]	StageIds[3]
1001	1001		Repairer	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd010031.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd010031.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	9901	9903					90030							
1002	1002		Ground Monitor	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd030011.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd030011.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	9902	9904					92090							
1003	1003		Protector	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1ArmorMd010081.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1ArmorMd010081.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	9901	9905					92120							
1004	1004		Pilgrim	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd030061.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd030061.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	9902	9904					92110							
1005	1005		Aerial Monitor	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010041.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010041.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	9901	9904					92100							
1006	1006		Tamer	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BraveMd020021.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BraveMd020021.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	9901	9905					92130							
1007	1007		Missionary	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010141.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010141.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	9902	9904					92170							
1008	1008		Executor	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010121.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010121.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	9901	9905	9910				92180							
1009	1009		Black Spider	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd010131.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd010131.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	9901						92200							
1010	1010		Gardener	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1ArmorMd010091.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1ArmorMd010091.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	9901	9904					92210							
1011	1011		Jitterbomb	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd010101.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BraveMd010101.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	9909						92140							
1012	1012		Hydraulic	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1ArmorMd010111.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1ArmorMd010111.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	9901	9910					92150							
1013	1013		Sentry Gun	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd030051.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd030051.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	9902	9904					92160							
1014	1014		Shieldbearer	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1ArmorMd010071.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1ArmorMd010071.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	9901	9905					92190							
1015	1015		Kuroro	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1KuroMd1001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1KuroMd1001.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	9908						90020				30050101	30050102	30050103	30050104
1016	1016		Deep-sea Ambusher	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd005020.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMe1BioMd005020.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	9902						92460							
1017	1017		Heteromer Sentry Gun	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd030052.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd030052.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	9902	9904					92480							
1018	1018		Heteromer Aerial Monitor	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010042.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/HeadMo1BioMd010042.png	Assets/Product/Texture/Image/UiArchiveMonsterHead/UiArchiveMonsterUnknown.png	1	1	1	9901	9904					92490							
