Id	Type	LookAtType	LookAtTime	SpeedZTime	SpeedZ	SpeedZSlowDown	YDistance	SpeedYTime	HoverTime	YDownStartSpeed	YDownAccelSpeed	BounceFactor
10020101	1	3	0	0.12	6	-50	0.1	0.1	0.15	0	7	0
10020104	1	3	0	0.12	6	-50						
10020201	2	3	0	0.12	6	-50	0.1	0.1	0.15	0	7	0
10020202	6	3	0	0.1	10	-100	0.1	0.1	0.15	0	7	0
10020301	2	3	0	0.12	6	-50	0.2	0.1	0.15	0	7	0
10020401	2	3	0	0.125	10	-80	0.1	0.1	0.15	0	7	0
10020501	2	3	0	0.1	5	-50	0.1	0.1	0.15	0	7	0
10020502	2	3	0	0.1	5	-50	0.1	0.1	0.15	0	7	0
10020601	3	3	0				1	0.5	0.05	0	7	0
10020701	1	3	0	0.12	6	-50	0.1	0.1	0.15	0	7	0
10020801	1	3	0	0.1	8	-80	0.1	0.1	0.15	0	7	0
10020802	1	3	0	0.1	8	-80	0.1	0.1	0.15	0	7	0
10020901	2	3	0	0.1	10	-100	0.1	0.1	0.15	0	7	0
10020902	2	3	0	0.1	10	-100	0.1	0.1	0.15	0	7	0
10021001	1	3	0	0.1	8	-80	0.1	0.1	0.15	0	7	0
10021004	6	3	0	0.2	12	-60	0.1	0.1	0.15	0	7	0
10021101	5	3	0	0.2	15	-75	0.1	0.1	0.15	0	7	0
10021201	1	3	0	0.1	8	-80	0.1	0.1	0.15	0	7	0
10021203	1	3	0	0.1	8	-80	0.1	0.1	0.15	0	7	0
10021501	1	3	0	0.1	-2	0						
10021502	4	3	0									
10021601	1	3	0	0.1	-2	0						
10021602	4	3	0									
10022101	3	3	0				1.1	0.5	0.05	-0.5	0	0
10022201	3	3	0				1.2	0.55	0.05	-0.5	0	0
10022301	3	3	0				1.3	0.6	0.05	-0.5	0	0
10022401	1	3	0	0.14	28	-200						
10022501	1	3	0	0.14	28	-200						
10022601	1	3	0	0.14	28	-200						
10022808	6	3	0	0.2	12	-60	0.1	0.1	0.15	0	7	0
10022903	6	3	0	0.2	12	-60	0.1	0.1	0.15	0	7	0
10023201	1	3	0									
10023301	1	3	0									
10023401	1	3	0									
10023501	1	3	0	0.12	6	-50						
10023502	0	3	0	0.12	6	-50						
10023503	1	3	0	0.12	6	-50						
10023504	0											
10023601	1	3	0	0.12	6	-50						
10023602	0											
10023603	1	3	0	0.12	6	-50						
10023604	0											
10023605	1	3	0	0.12	6	-50						
10023610	0											
10023611	1	3	0	0.12	6	-50						
10024005	0											
10024301	1	3	0	0.12	6	-50						
10024302	1	3	0	0.12	6	-50						
10024303	0											
10024304	1	3	0	0.12	6	-50						
10024305	1	3	0	0.12	6	-50						
10024306	1	3	0	0.12	6	-50						
10024307	1	3	0	0.12	6	-50						
10024401	1	3	0	0.12	6	-50						
10024402	1	3	0	0.12	6	-50						
10024403	1	3	0	0.12	6	-50						
10024404	1	3	0	0.12	6	-50						
10024405	1	3	0	0.12	6	-50						
10024406	1	3	0	0.12	6	-50						
10024407	1	3	0	0.12	6	-50						
10024408	1	3	0	0.12	6	-50						
10024409	1	3	0	0.12	6	-50						
10024801	1	3	0	0.12	6	-50						
10024802	1	3	0	0.12	6	-50						
10024803	1	3	0	0.12	6	-50						
10024804	1	3	0	0.12	6	-50						
10024805	1	3	0	0.12	6	-50						
10024806	1	3	0	0.12	6	-50						
10024807	1	3	0	0.12	6	-50						
10024901	1	3	0	0.12	6	-50						
10024902	1	3	0	0.12	6	-50						
10024903	1	3	0	0.12	6	-50						
10024904	1	3	0	0.12	6	-50						
10024905	1	3	0	0.12	6	-50						
10024906	1	3	0	0.12	6	-50						
10024907	1	3	0	0.12	6	-50						
10025001	1	3	0	0.12	6	-50						
10025002	1	3	0	0.12	6	-50						
10025003	1	3	0	0.12	6	-50						
10025004	1	3	0	0.12	6	-50						
10025005	1	3	0	0.12	6	-50						
10025006	1	3	0	0.12	6	-50						
10025007	1	3	0	0.12	6	-50						
10025111	1	3	0	0.12	6	-50	0.1	0.1	0.15	0	7	0
10025112	1	3	0	0.12	6	-50	0.1	0.1	0.15	0	7	0
10025113	1	3	0	0.12	6	-50	0.1	0.1	0.15	0	7	0
10025114	1	3	0	0.12	6	-50	0.1	0.1	0.15	0	7	0
10025115	1	3	0	0.12	6	-50	0.1	0.1	0.15	0	7	0
10025116	1	3	0	0.12	6	-50	0.1	0.1	0.15	0	7	0
10025117	1	3	0	0.12	6	-50	0.1	0.1	0.15	0	7	0
10025118	1	3	0	0.12	6	-50	0.1	0.1	0.15	0	7	0
10025119	1	3	0	0.12	6	-50	0.1	0.1	0.15	0	7	0
10025120	1	3	0	0.12	6	-50	0.1	0.1	0.15	0	7	0
10025121	1	3	0	0.12	6	-50	0.1	0.1	0.15	0	7	0
10025122	1	3	0	0.12	6	-50	0.1	0.1	0.15	0	7	0
10025124	1	3	0	0.14	28	-200						
10025125	1	3	0	0.14	28	-200						
10060101	6	3	0	0.2	15	-75						
10060201	5	3	0	0.1	15	-150						
10060202	5	3	0	0.1	15	-150						
10060301	6	3	0	0.2	20	-100						
10060401	4	3	0	0.25	20	-80						
10060501	6	3	0	0.2	15	-75						
10060801	6	3	0	0.25	25	-100						
10060802	3	3	0									
10061201	4	3	0	0.4	8	-5.5						
10061301	4	3	0	0.4	8	-5.5						
10061302	3	3	0									
10061701	3	3	0	0.5	3	0						
10061801	3	3	0	0.5	3	0						
10061901	3	3	0	0.5	3	0						
10062001	3	3	0	0.5	3	0						
10062101	3	3	0	0.5	3	0						
10062102	3	3	0	0.6	10	-15						
10062201	3	3	0	0.5	3	0						
10062202	3	3	0	0.6	10	-15						
10062301	1	3	0									
10062302	2	3	0									
10062303	6	3	0	0.2	15	-75						
10062401	1	3	0									
10062402	2	3	0									
10062403	4	3	0	0.2	15	-75						
10030101	1	3	0									
10030201	2	3	0									
10030301	2	3	0									
10030302	1	3	0									
10030401	1	3	0									
10030501	1	3	0									
10030502	2	3	0									
10030503	1	3	0									
10030504	1	3	0									
10030601	1	3	0									
10030901	1	2	0									
10030902	1	2	0									
10030903	1	2	0									
10031301	6	3	0	3	0.1	-1						
10031401	6	3	0	3	0.1	-1						
10031503	5	2	0									
10031603	5	2	0									
10031703	5	2	0									
10032002	5	2	0									
10032003	1	2	0									
10032004	1	2	0									
10032302	5	2	0									
10032303	1	2	0									
10032304	1	2	0									
10032306	5	2	0									
10032307	1	2	0									
10032308	1	2	0									
