CharacterId	Quality[1]	Quality[2]	Quality[3]	Quality[4]	Quality[5]	Quality[6]
1011002	0	1300	1400	1575	1820	2100
1021001	1130	1230	1330	1500	1730	1995
1031001	1130	1230	1330	1500	1730	1995
1041002	0	1300	1400	1575	1820	2100
1051001	0	1300	1400	1575	1820	2100
1061002	0	1300	1400	1575	1820	2100
1071002	0	1300	1400	1575	1820	2100
1081002	0	1300	1400	1575	1820	2100
1021002	0	1300	1400	1575	1820	2100
1031002	0	1300	1400	1575	1820	2100
1011003	0	0	2000	2250	2600	3000
1031003	0	0	2000	2250	2600	3000
1061003	0	0	2000	2250	2600	3000
1071003	0	0	2000	2250	2600	3000
1051003	0	0	2000	2250	2600	3000
1021003	0	0	2000	2250	2600	3000
1081003	0	1300	1400	1575	1820	2100
1091002	0	1300	1400	1575	1820	2100
1041003	0	0	2000	2250	2600	3000
1111002	0	1300	1400	1575	1820	2100
1121002	0	1300	1400	1575	1820	2100
1021004	0	0	2000	2250	2600	3000
1131002	0	1300	1400	1575	1820	2100
1511003	0	0	2000	2250	2600	3000
1141003	0	0	2000	2250	2600	3000
1521003	0	0	2000	2250	2600	3000
1161002	0	1300	1400	1575	1820	2100
1171003	0	0	2000	2250	2600	3000
1181003	0	0	2000	2250	2600	3000
1191003	0	0	2000	2250	2600	3000
1201003	0	0	2000	2250	2600	3000
1211002	0	1300	1400	1575	1820	2100
1531003	0	0	2000	2250	2600	3000
1121003	0	0	2000	2250	2600	3000
1221002	0	1300	1400	1575	1820	2100
1131003	0	0	2000	2250	2600	3000
1541003	0	0	2000	2250	2600	3000
1031004	0	0	2000	2250	2600	3000
1531004	0	0	2000	2250	2600	3000
1551003	0	0	2000	2250	2600	3000
1051004	0	0	2000	2250	2600	3000
1561003	0	0	2000	2250	2600	3000
1071004	0	0	2000	2250	2600	3000
1571003	0	0	2000	2250	2600	3000
1041004	0	0	2000	2250	2600	3000
