StageId	EffectId
30190020	0
30190021	0
30190022	0
30190023	0
30190024	0
30190025	0
30190050	101
30190051	102
30190052	103
30190053	104
30190054	105
30190055	106
30190090	101
30190091	102
30190092	103
30190093	104
30190094	105
30190095	106
30190120	0
30190121	0
30190122	0
30190123	0
30190124	0
30190125	0
30190040	101
30190041	102
30190042	103
30190043	104
30190044	105
30190045	106
30190070	101
30190071	102
30190072	103
30190073	104
30190074	105
30190075	106
30190130	101
30190131	102
30190132	103
30190133	104
30190134	105
30190135	106
30190100	101
30190101	102
30190102	103
30190103	104
30190104	105
30190105	106
30190110	101
30190111	102
30190112	103
30190113	104
30190114	105
30190115	106
30190060	101
30190061	102
30190062	103
30190063	104
30190064	105
30190065	106
30190030	101
30190031	102
30190032	103
30190033	104
30190034	105
30190035	106
30190140	0
30190150	0
30190201	0
30190202	0
30190203	0
30190204	0
30190205	0
30190206	0
30190207	0
30190208	0
30190209	0
30190210	0
30190211	0
30190212	0
30190213	0
30190214	0
30190215	0
30190216	0
30190217	0
30190218	0
30190219	0
30190220	0
30190221	0
30190222	0
30190223	0
30190224	0
30190225	0
30190226	0
30190227	0
30190228	0
30190229	0
30190230	0
30190231	0
30190232	0
30190233	0
30190234	0
