Id	BaseScore	DamageScore	HpMaxScore	CharLeftHp	CharLeftHpScore
30190020	140000	100	10000	0.01	100
30190021	140000	100	10000	0.01	100
30190022	140000	100	10000	0.01	100
30190023	140000	100	10000	0.01	100
30190024	140000	100	10000	0.01	100
30190025	140000	100	10000	0.01	100
30190050	140000	100	10000	0.01	100
30190051	140000	100	10000	0.01	100
30190052	140000	100	10000	0.01	100
30190053	140000	100	10000	0.01	100
30190054	140000	100	10000	0.01	100
30190055	140000	100	10000	0.01	100
30190090	140000	100	10000	0.01	100
30190091	140000	100	10000	0.01	100
30190092	140000	100	10000	0.01	100
30190093	140000	100	10000	0.01	100
30190094	140000	100	10000	0.01	100
30190095	140000	100	10000	0.01	100
30190120	140000	100	10000	0.01	100
30190121	140000	100	10000	0.01	100
30190122	140000	100	10000	0.01	100
30190123	140000	100	10000	0.01	100
30190124	140000	100	10000	0.01	100
30190125	140000	100	10000	0.01	100
30190040	140000	100	10000	0.01	100
30190041	140000	100	10000	0.01	100
30190042	140000	100	10000	0.01	100
30190043	140000	100	10000	0.01	100
30190044	140000	100	10000	0.01	100
30190045	140000	100	10000	0.01	100
30190070	140000	100	10000	0.01	100
30190071	140000	100	10000	0.01	100
30190072	140000	100	10000	0.01	100
30190073	140000	100	10000	0.01	100
30190074	140000	100	10000	0.01	100
30190075	140000	100	10000	0.01	100
30190130	140000	100	10000	0.01	100
30190131	140000	100	10000	0.01	100
30190132	140000	100	10000	0.01	100
30190133	140000	100	10000	0.01	100
30190134	140000	100	10000	0.01	100
30190135	140000	100	10000	0.01	100
30190100	140000	100	10000	0.01	100
30190101	140000	100	10000	0.01	100
30190102	140000	100	10000	0.01	100
30190103	140000	100	10000	0.01	100
30190104	140000	100	10000	0.01	100
30190105	140000	100	10000	0.01	100
30190110	140000	100	10000	0.01	100
30190111	140000	100	10000	0.01	100
30190112	140000	100	10000	0.01	100
30190113	140000	100	10000	0.01	100
30190114	140000	100	10000	0.01	100
30190115	140000	100	10000	0.01	100
30190060	140000	100	10000	0.01	100
30190061	140000	100	10000	0.01	100
30190062	140000	100	10000	0.01	100
30190063	140000	100	10000	0.01	100
30190064	140000	100	10000	0.01	100
30190065	140000	100	10000	0.01	100
30190030	140000	100	10000	0.01	100
30190031	140000	100	10000	0.01	100
30190032	140000	100	10000	0.01	100
30190033	140000	100	10000	0.01	100
30190034	140000	100	10000	0.01	100
30190035	140000	100	10000	0.01	100
30190140	140000	100	10000	0.01	100
30190150	140000	100	10000	0.01	100
30190201	140000	100	10000	0.01	100
30190202	140000	100	10000	0.01	100
30190203	140000	100	10000	0.01	100
30190204	140000	100	10000	0.01	100
30190205	140000	100	10000	0.01	100
30190206	140000	100	10000	0.01	100
30190207	140000	100	10000	0.01	100
30190208	140000	100	10000	0.01	100
30190209	140000	100	10000	0.01	100
30190210	140000	100	10000	0.01	100
30190211	140000	100	10000	0.01	100
30190212	140000	100	10000	0.01	100
30190213	140000	100	10000	0.01	100
30190214	140000	100	10000	0.01	100
30190215	140000	100	10000	0.01	100
30190216	140000	100	10000	0.01	100
30190217	140000	100	10000	0.01	100
30190218	140000	100	10000	0.01	100
30190219	140000	100	10000	0.01	100
30190220	140000	100	10000	0.01	100
30190221	140000	100	10000	0.01	100
30190222	140000	100	10000	0.01	100
30190223	140000	100	10000	0.01	100
30190224	140000	100	10000	0.01	100
30190225	140000	100	10000	0.01	100
30190226	140000	100	10000	0.01	100
30190227	140000	100	10000	0.01	100
30190228	140000	100	10000	0.01	100
30190229	140000	100	10000	0.01	100
30190230	140000	100	10000	0.01	100
30190231	140000	100	10000	0.01	100
30190232	140000	100	10000	0.01	100
30190233	140000	100	10000	0.01	100
30190234	140000	100	10000	0.01	100
