Id	RobotId[1]	RobotId[2]	RobotId[3]	TimeId
101	10001	10002	10003	
102	10011	10012	10013	
103	10021	10022	10023	
104	10031	10032	10033	
105	10041	10042	10043	
106	10051	10052	10053	
107	10061	10062	10063	
108	10071	10072	10073	
109	10081	10082	10083	
110	10091	10092	10093	
111	10161	10162	10163	
112	10171	10172	10173	
113	10191	10192	10193	
114	10201	10202	10203	
115	10221	10222	10223	
116	10251	10252	10253	
117	10291	10292	10293	
118	10311	10312	10313	
119	10421	10422	10423	
201	10181	10182	10183	
202	10211	10212	10213	
203	10101	10102	10103	
204	10111	10112	10113	
205	10121	10122	10123	
206	10131	10132	10133	
207	10141	10142	10143	
208	10151	10152	10153	
209	10241	10242	10243	
210	10271	10272	10273	
211	10301	10302	10303	
212	10321	10322	10323	
213	10341	10342	10343	
214	10371	10372	10373	
215	10351	10352	10353	
216	10391	10392	10393	
217	10411	10412	10413	
218	10431	10432	10433	
219	10441	10442	10443	
301	10231	10232	10233	
302	10261	10262	10263	
303	10281	10282	10283	
304	10331	10332	10333	
305	10351	10352	10353	
306	10361	10362	10363	
307	10381	10382	10383	
308	10401	10402	10403	
