Id	ModelTransId[1]	ModelTransId[2]	ModelTransId[3]	ResonanceModelTransId1[1]	ResonanceModelTransId1[2]	ResonanceModelTransId1[3]	ResonanceModelTransId2[1]	ResonanceModelTransId2[2]	ResonanceModelTransId2[3]	ResonanceModelTransId3[1]	ResonanceModelTransId3[2]	ResonanceModelTransId3[3]
2013001	90110111	90110112										
2014001	90110211	90110212										
2015001	90110311	90110312										
2034001	90310112	90310111										
2035001	90310212	90310211										
2063001	90610111											
2064001	90610211											
2065001	90610311											
2104001	91010111											
2105001	91010211											
2043001	90410111											
2044001	90410211											
2045001	90410311											
