Id	BigIconPath	IconPath	LiHuiPath	ModelTransId[1]	ModelTransId[2]	ModelTransId[3]	ResonanceModelTransId1[1]	ResonanceModelTransId1[2]	ResonanceModelTransId1[3]	ResonanceModelTransId2[1]	ResonanceModelTransId2[2]	ResonanceModelTransId2[3]	ResonanceModelTransId3[1]	ResonanceModelTransId3[2]	ResonanceModelTransId3[3]	PainterName
2013001	Assets/Product/Texture/Image/IconTools/E1GunMd030011.png	Assets/Product/Texture/Image/IconToolsSp/E1GunMd030011Sp.png	Assets/Product/Texture/Image/Arms/E1GunMd030011.png	10130111	10130112											Artist 1
2014001	Assets/Product/Texture/Image/IconTools/E2GunMd040011.png	Assets/Product/Texture/Image/IconToolsSp/E2GunMd040011Sp.png	Assets/Product/Texture/Image/Arms/E2GunMd040011.png	10140111	10140112											Artist 2
2015001	Assets/Product/Texture/Image/IconTools/E2GunMd050011.png	Assets/Product/Texture/Image/IconToolsSp/E2GunMd050011Sp.png	Assets/Product/Texture/Image/Arms/E2GunMd050011.png	10150111	10150112											Artist 3
2016001	Assets/Product/Texture/Image/IconTools/E3GunMd070011.png	Assets/Product/Texture/Image/IconToolsSp/E3GunMd070011Sp.png	Assets/Product/Texture/Image/Arms/E3GunMd070011.png	10170111	10170112											Artist 5
2016002	Assets/Product/Texture/Image/IconTools/E3GunMd080011.png	Assets/Product/Texture/Image/IconToolsSp/E3GunMd080011Sp.png	Assets/Product/Texture/Image/Arms/E3GunMd080011.png	10170211	10170212											Artist 6
2016003	Assets/Product/Texture/Image/IconTools/E3GunMd090011.png	Assets/Product/Texture/Image/IconToolsSp/E3GunMd090011Sp.png	Assets/Product/Texture/Image/Arms/E3GunMd090011.png	10170311	10170312		10170321	10170322		10170331	10170332		10170341	10170342		Artist 7
2022001	Assets/Product/Texture/Image/IconTools/E1SwordMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E1SwordMd020011Sp.png	Assets/Product/Texture/Image/Arms/E1GunMd030011.png	10220111												Artist 7
2023001	Assets/Product/Texture/Image/IconTools/E1SwordMd030011.png	Assets/Product/Texture/Image/IconToolsSp/E1SwordMd030011Sp.png	Assets/Product/Texture/Image/Arms/E1SwordMd030011.png	10230111												Artist 8
2024001	Assets/Product/Texture/Image/IconTools/E2SwordMd040011.png	Assets/Product/Texture/Image/IconToolsSp/E2SwordMd040011Sp.png	Assets/Product/Texture/Image/Arms/E2SwordMd040011.png	10240111												Artist 9
2024002	Assets/Product/Texture/Image/IconTools/E2SwordMd040011.png	Assets/Product/Texture/Image/IconToolsSp/E2SwordMd040011Sp.png	Assets/Product/Texture/Image/Arms/E2SwordMd040011.png	10240111												Artist 9
2025001	Assets/Product/Texture/Image/IconTools/E2SwordMd050011.png	Assets/Product/Texture/Image/IconToolsSp/E2SwordMd050011Sp.png	Assets/Product/Texture/Image/Arms/E2SwordMd050011.png	10250111												Artist 11
2026001	Assets/Product/Texture/Image/IconTools/E3SwordMd070011.png	Assets/Product/Texture/Image/IconToolsSp/E3SwordMd070011Sp.png	Assets/Product/Texture/Image/Arms/E3SwordMd070011.png	10270111												Artist 13
2026002	Assets/Product/Texture/Image/IconTools/E3SwordMd080011.png	Assets/Product/Texture/Image/IconToolsSp/E3SwordMd080011Sp.png	Assets/Product/Texture/Image/Arms/E3SwordMd080011.png	10270211												Artist 14
2026003	Assets/Product/Texture/Image/IconTools/E2SwordMd120111.png	Assets/Product/Texture/Image/IconToolsSp/E2SwordMd120111Sp.png	Assets/Product/Texture/Image/Arms/E2SwordMd120111.png	10270311												Artist 15
2026004	Assets/Product/Texture/Image/IconTools/E3SwordMd090011.png	Assets/Product/Texture/Image/IconToolsSp/E3SwordMd090011Sp.png	Assets/Product/Texture/Image/Arms/E3SwordMd090011.png	10270411												Artist 16
2026005	Assets/Product/Texture/Image/IconTools/E3SwordMd130111P01.png	Assets/Product/Texture/Image/IconToolsSp/E3SwordMd130111P01Sp.png	Assets/Product/Texture/Image/Arms/E3SwordMd130111P01.png	10270511			10270521			10270531			10270541			Artist 17
2026006	Assets/Product/Texture/Image/IconTools/E3SwordMd150111P01.png	Assets/Product/Texture/Image/IconToolsSp/E3SwordMd150111P01Sp.png	Assets/Product/Texture/Image/Arms/E3SwordMd150111P01.png	10270611			10270621			10270631			10270641			Artist 17
2032001	Assets/Product/Texture/Image/IconTools/E1FloatMd020011.png	Assets/Product/Texture/Image/IconToolsSp/E1FloatMd020011Sp.png	Assets/Product/Texture/Image/Arms/E1GunMd030011.png	10320111	10320112											Artist 16
2033001	Assets/Product/Texture/Image/IconTools/E1FloatMd030011.png	Assets/Product/Texture/Image/IconToolsSp/E1FloatMd030011Sp.png	Assets/Product/Texture/Image/Arms/E1FloatMd030011.png	10330111	10330112											Artist 17
2034001	Assets/Product/Texture/Image/IconTools/E2FloatMd040011.png	Assets/Product/Texture/Image/IconToolsSp/E2FloatMd040011Sp.png	Assets/Product/Texture/Image/Arms/E2FloatMd040011.png	10340111	10340112											Artist 18
2035001	Assets/Product/Texture/Image/IconTools/E2FloatMd050011.png	Assets/Product/Texture/Image/IconToolsSp/E2FloatMd050011Sp.png	Assets/Product/Texture/Image/Arms/E2FloatMd050011.png	10350111	10350112											Artist 19
2036001	Assets/Product/Texture/Image/IconTools/E2FloatMd060011.png	Assets/Product/Texture/Image/IconToolsSp/E2FloatMd060011Sp.png	Assets/Product/Texture/Image/Arms/E2FloatMd060011.png	10360111	10360112											Artist 21
2036002	Assets/Product/Texture/Image/IconTools/E3FloatMd080011.png	Assets/Product/Texture/Image/IconToolsSp/E3FloatMd080011Sp.png	Assets/Product/Texture/Image/Arms/E3FloatMd080011.png	10370211	10370212											Artist 22
2036003	Assets/Product/Texture/Image/IconTools/E3FloatMd090011.png	Assets/Product/Texture/Image/IconToolsSp/E3FloatMd090011Sp.png	Assets/Product/Texture/Image/Arms/E3FloatMd090011.png	10370311	10370312											Artist 23
2043001	Assets/Product/Texture/Image/IconTools/E1BowMd030011.png	Assets/Product/Texture/Image/IconToolsSp/E1BowMd030011Sp.png	Assets/Product/Texture/Image/Arms/E1BowMd030011.png	10430111												Artist 24
2044001	Assets/Product/Texture/Image/IconTools/E2BowMd040011.png	Assets/Product/Texture/Image/IconToolsSp/E2BowMd040011Sp.png	Assets/Product/Texture/Image/Arms/E2BowMd040011.png	10440111												Artist 25
2045001	Assets/Product/Texture/Image/IconTools/E2BowMd050011.png	Assets/Product/Texture/Image/IconToolsSp/E2BowMd050011Sp.png	Assets/Product/Texture/Image/Arms/E2BowMd050011.png	10450111												Artist 26
