Id	IndexId	UiName	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ	ScaleX	ScaleY	ScaleZ
1	1	UiEquipDetail	-0.05	0	0.49	0	0	8	1	1	1
2	2	UiEquipDetail	0.2	0.1	1.2	110	-90	0	1	1	1
3	3	UiEquipDetail	-0.1	0	1.15	10	-90	0	1	1	1
4	4	UiEquipDetail	-0.3	0	1.5	-80	-90	0	1	1	1
5	5	UiEquipDetail	0.3	0.18	1	180	0	-20	1	1	1
6	6	UiEquipDetail	0	0.25	2.3	0	-90	20	1	1	1
7	7	UiEquipDetail	-0.1	0	1.7	15	60	20	1	1	1
8	8	UiEquipDetail	0	0.17	0.8	180	0	-30	1	1	1
9	9	UiEquipDetail	-0.55	-0.13	2.6	8	-26.88	8	1	1	1
10	10	UiEquipDetail	-1	0.4	1.8	32	83	90	1	1	1
11	99	UiEquipDetail	0.5	0.2	3.4	50	0	20	1	1	1
12	1	UiEquipBreakThrough	19.2	-14.1	-15.1	-16	-103	-10	1	1	1
13	2	UiEquipBreakThrough	18.7	-13.4	-15.1	20	-842	189	1	1	1
14	3	UiEquipBreakThrough	18.5	-13.4	-14.8	-201	18	-122	1	1	1
15	4	UiEquipBreakThrough	18.5	-13.6	-14.6	2	64	303	1	1	1
16	5	UiEquipBreakThrough	18.7	-13.4	-14.5	-1	-272	-215	1	1	1
17	6	UiEquipBreakThrough	18.2	-12.7	-15	-5	-95	115	1	1	1
18	7	UiEquipBreakThrough	18.2	-13.1	-14.5	-43	-140	47	1	1	1
19	8	UiEquipBreakThrough	19.2	-13.8	-15	1	109	-208	1	1	1
20	9	UiEquipBreakThrough	-0.55	-0.13	2.6	8	-26.88	8	1	1	1
21	10	UiEquipBreakThrough	-0.2	0.4	1.8	32	83	90	1	1	1
22	99	UiEquipBreakThrough	18	-12.3	-13.8	-68	-166	120	1	1	1
23	1	UiEquipResonanceSelect	19.2	-14.1	-15.1	-16	-103	-10	1	1	1
24	2	UiEquipResonanceSelect	18.7	-13.4	-15.1	20	-842	189	1	1	1
25	3	UiEquipResonanceSelect	18.5	-13.4	-14.8	-201	18	-122	1	1	1
26	4	UiEquipResonanceSelect	18.5	-13.6	-14.6	2	64	303	1	1	1
27	5	UiEquipResonanceSelect	18.7	-13.4	-14.5	-1	-272	-215	1	1	1
28	6	UiEquipResonanceSelect	18.2	-12.7	-15	-5	-95	115	1	1	1
29	7	UiEquipResonanceSelect	18.2	-13.1	-14.5	-43	-140	47	1	1	1
30	8	UiEquipResonanceSelect	19.2	-13.8	-15	1	109	-208	1	1	1
31	9	UiEquipResonanceSelect	-0.55	-0.13	2.6	8	-26.88	8	1	1	1
32	10	UiEquipResonanceSelect	-0.2	0.4	1.8	32	83	90	1	1	1
33	99	UiEquipResonanceSelect	18	-12.3	-13.8	-68	-166	120	1	1	1
34	1	UiEquipResonanceSelectAfter	2.05	1.2	-28.26	0	0	8	1	1	1
35	2	UiEquipResonanceSelectAfter	2.3	1.4	-27.4	110	-90	0	1	1	1
36	3	UiEquipResonanceSelectAfter	1.9	1.26	-27.15	10	90	0	1	1	1
37	4	UiEquipResonanceSelectAfter	2	1.4	-27	-80	-90	0	1	1	1
38	5	UiEquipResonanceSelectAfter	2.5	1.5	-27.5	180	0	-20	1	1	1
39	6	UiEquipResonanceSelectAfter	2.6	1.6	-26.6	0	0	20	1	1	1
40	7	UiEquipResonanceSelectAfter	2.2	1.5	-26.7	15	0	20	1	1	1
41	8	UiEquipResonanceSelectAfter	1.75	1.3	-28	0	0	170	1	1	1
42	9	UiEquipResonanceSelectAfter	2	1.3	-25.2	8	10.4	8	1	1	1
43	10	UiEquipResonanceSelectAfter	2.6	1.49	-26.6	32	-90	90	1	1	1
44	99	UiEquipResonanceSelectAfter	18.4	-11.9	-12	-68	-166	120	1	1	1
45	1	UiEquipResonanceSkill	19.2	-14.1	-15.1	-16	-103	-10	1	1	1
46	2	UiEquipResonanceSkill	18.7	-13.4	-15.1	20	-842	189	1	1	1
47	3	UiEquipResonanceSkill	18.5	-13.4	-14.8	-201	18	-122	1	1	1
48	4	UiEquipResonanceSkill	18.5	-13.6	-14.6	2	64	303	1	1	1
49	5	UiEquipResonanceSkill	18.7	-13.4	-14.5	-1	-272	-215	1	1	1
50	6	UiEquipResonanceSkill	18.2	-12.7	-15	-5	-95	115	1	1	1
51	7	UiEquipResonanceSkill	18.2	-13.1	-14.5	-43	-140	47	1	1	1
52	8	UiEquipResonanceSkill	19.2	-13.8	-15	1	109	-208	1	1	1
53	9	UiEquipResonanceSkill	-0.55	-0.13	2.6	8	-26.88	8	1	1	1
54	10	UiEquipResonanceSkill	-0.2	0.4	1.8	32	83	90	1	1	1
55	99	UiEquipResonanceSkill	18	-12.3	-13.8	-68	-166	120	1	1	1
56	1	UiEquipStrengthen	19.5	-14.3	-14.6	-11	3	-54	1	1	1
57	2	UiEquipStrengthen	19.1	-14.3	-13.5	20	-131	25	1	1	1
58	3	UiEquipStrengthen	19	-14	-13.6	-42	-73	-0.7	1	1	1
59	4	UiEquipStrengthen	19.1	-13.7	-13.1	-50	-193	230	1	1	1
60	5	UiEquipStrengthen	19.4	-14.3	-13.5	30	-203	-125	1	1	1
61	6	UiEquipStrengthen	18.8	-14.2	-12.4	-26	-57	-52	1	1	1
62	7	UiEquipStrengthen	18.9	-13.8	-13.1	-3	10	-58	1	1	1
63	8	UiEquipStrengthen	19.4	-14.3	-14	31	148	-110	1	1	1
64	9	UiEquipStrengthen	-0.55	-0.13	2.6	8	-26.88	8	1	1	1
65	10	UiEquipStrengthen	-0.2	0.4	1.8	32	83	90	1	1	1
66	99	UiEquipStrengthen	19.3	-13	-11	-68	-166	120	1	1	1
67	1	UiDrawShow	0.05	0.2	1.2	0	0	0	1	1	1
68	2	UiDrawShow	0.4	0.35	3	110	-90	0	1	1	1
69	3	UiDrawShow	0.05	0.2	3	10	-90	0	1	1	1
70	4	UiDrawShow	-0.1	0.25	3.6	-80	-90	0	1	1	1
71	5	UiDrawShow	0.4	0.4	2.8	180	0	-20	1	1	1
72	6	UiDrawShow	0.6	0.45	4.8	0	0	20	1	1	1
73	7	UiDrawShow	0.1	0.2	5	0	0	20	1	1	1
74	8	UiDrawShow	0.15	0.38	2	180	0	-20	1	1	1
75	9	UiDrawShow	0	0.2	5.35	8	0	8	1	1	1
76	10	UiDrawShow	-0.55	0.59	4.8	32	83	90	1	1	1
77	99	UiDrawShow	1.2	0.2	4	50	0	20	1	1	1
78	1	UiDrawActivityShow	0.05	0.2	1.2	0	0	0	1	1	1
79	2	UiDrawActivityShow	0.4	0.35	3	110	-90	0	1	1	1
80	3	UiDrawActivityShow	0.05	0.2	3	10	-90	0	1	1	1
81	4	UiDrawActivityShow	-0.1	0.25	3.6	-80	-90	0	1	1	1
82	5	UiDrawActivityShow	0.4	0.4	2.8	180	0	-20	1	1	1
83	6	UiDrawActivityShow	0.6	0.45	4.8	0	0	20	1	1	1
84	7	UiDrawActivityShow	0.1	0.2	5	0	0	20	1	1	1
85	8	UiDrawActivityShow	0.15	0.38	2	180	0	-20	1	1	1
86	9	UiDrawActivityShow	18.7	-14.1	-15.4	23	-847	182	1	1	1
87	10	UiDrawActivityShow	-0.55	0.59	4.8	32	83	90	1	1	1
88	99	UiDrawActivityShow	1.2	0.2	4	50	0	20	1	1	1
89	1	UiArchiveWeaponDetail	0.05	-0.09	-0.8	0	0	8	1	1	1
90	2	UiArchiveWeaponDetail	0.41	0	1.4	110	-90	0	1	1	1
91	3	UiArchiveWeaponDetail	0.05	-0.14	1.6	10	-90	0	1	1	1
92	4	UiArchiveWeaponDetail	-0.15	-0.035	2.8	-80	-90	0	1	1	1
93	5	UiArchiveWeaponDetail	0.42	0.1	1	180	0	-20	1	1	1
94	6	UiArchiveWeaponDetail	0	0.163	3.2	0	-90	20	1	1	1
95	7	UiArchiveWeaponDetail	0.1	0	3	0	0	20	1	1	1
96	8	UiArchiveWeaponDetail	0.13	0.086	0.14	180	0	-30	1	1	1
97	9	UiArchiveWeaponDetail	-0.1	-0.16	5.2	8	-26	8	1	1	1
98	10	UiArchiveWeaponDetail	-0.69	0.35	4.8	32	83	90	1	1	1
99	99	UiArchiveWeaponDetail	0.5	0.2	3.4	50	0	20	1	1	1
100	1	UiFashion	-0.06	0	-1.96	0	0	8	1	1	1
101	2	UiFashion	0.2	0.1	1.2	110	-90	0	1	1	1
102	3	UiFashion	-0.05	0	1.15	10	-90	0	1	1	1
103	4	UiFashion	-0.2	0	2	-80	-90	0	1	1	1
104	5	UiFashion	0.2	0.17	0.74	180	0	-20	1	1	1
105	6	UiFashion	0.3	0.22	3.18	0	0	20	1	1	1
106	7	UiFashion	-0.06	0.03	2.2	0	0	20	1	1	1
107	8	UiFashion	0.035	0.15	-1.04	180	0	-30	1	1	1
108	9	UiFashion	-0.7	0	5.2	8	-26.8	8	1	1	1
109	10	UiFashion	-0.92	0.4	1.8	32	83	90	1	1	1
110	99	UiFashion	0.5	0.2	3.4	50	0	20	1	1	1
111	1	UiFashionDetail	0.12	-0.03	-1.45	0	0	8	1	1	1
112	2	UiFashionDetail	0.2	0.1	1.2	110	-90	0	1	1	1
113	3	UiFashionDetail	-0.05	0	1.15	10	-90	0	1	1	1
114	4	UiFashionDetail	0	0	2	-80	-90	0	1	1	1
115	5	UiFashionDetail	0.32	0.2	1.15	180	0	-20	1	1	1
116	6	UiFashionDetail	0.3	0.22	3.18	0	0	20	1	1	1
117	7	UiFashionDetail	-0.06	0.05	2.5	0	0	20	1	1	1
118	8	UiFashionDetail	0.17	0.15	-0.6	180	0	-30	1	1	1
119	9	UiFashionDetail	-0.7	0	5.2	8	-26.8	8	1	1	1
120	10	UiFashionDetail	-0.2	0.4	1.8	32	83	90	1	1	1
121	99	UiFashionDetail	0.5	0.2	3.4	50	0	20	1	1	1
122	11	UiEquipDetail	-0.3	0.2	2.6	235	120	118	1	1	1
123	11	UiEquipBreakThrough	-0.3	0.2	2.6	120	20	118	1	1	1
124	11	UiEquipResonanceSelect	-0.3	0.2	2.6	120	20	118	1	1	1
125	11	UiEquipResonanceSelectAfter	2	1.5	-26	245	45	120	1	1	1
126	11	UiEquipResonanceSkill	-0.3	0.2	2.6	120	20	118	1	1	1
127	11	UiEquipStrengthen	-0.3	0.2	2.6	235	20	118	1	1	1
128	11	UiDrawShow	0	0.45	4.8	-48	-80	265	1	1	1
129	11	UiDrawActivityShow	0	0.45	4.8	-48	-80	265	1	1	1
130	11	UiArchiveWeaponDetail	-0.05	0.2	6	230	90	118	1	1	1
131	11	UiFashion	-0.3	0.3	4	-86	20	118	1	1	1
132	11	UiFashionDetail	-0.3	0.2	4	-86	20	118	1	1	1
133	12	UiEquipDetail	-0.62	-0.1	2.6	45	-190	3.5	1	1	1
134	12	UiEquipBreakThrough	-0.62	-0.1	2.6	45	-190	3.5	1	1	1
135	12	UiEquipResonanceSelect	-0.62	-0.1	2.6	45	-190	3.5	1	1	1
136	12	UiEquipResonanceSelectAfter	1.97	1.45	-26	45	-190	2	1	1	1
137	12	UiEquipResonanceSkill	-0.62	-0.1	2.6	45	-190	3.5	1	1	1
138	12	UiEquipStrengthen	-0.62	-0.1	2.6	45	-190	3.5	1	1	1
139	12	UiDrawShow	0	0.28	4.1	140	-90	180	0.7	0.7	0.7
140	12	UiDrawActivityShow	0	0.28	4.1	140	-90	180	0.7	0.7	0.7
141	12	UiArchiveWeaponDetail	-0.1	-0.1	5.3	45	-190	3.5	1	1	1
142	12	UiFashion	-0.32	-0.054	3.8	45	-190	-0.755	1	1	1
143	12	UiFashionDetail	-0.32	-0.054	3.8	45	-190	-0.755	1	1	1
144	13	UiEquipDetail	-0.6	0	2.6	125	90	180	1	1	1
145	13	UiEquipBreakThrough	-0.6	0	2.6	125	90	180	1	1	1
146	13	UiEquipResonanceSelect	-0.6	0	2.6	125	90	180	1	1	1
147	13	UiEquipResonanceSelectAfter	2	1.4	-26	160	90	0	1	1	1
148	13	UiEquipResonanceSkill	-0.6	0	2.6	125	90	180	1	1	1
149	13	UiEquipStrengthen	-0.6	0	2.6	125	90	180	1	1	1
150	13	UiDrawShow	0	0.34	5	50	90	180	1	1	1
151	13	UiDrawActivityShow	0	0.34	5	50	-90	180	1	1	1
152	13	UiArchiveWeaponDetail	-0.05	-0.1	6	125	90	0	1	-1	1
153	13	UiFashion	-0.6	0	3.4	46.33	-84.8	5.7	1	1	1
154	13	UiFashionDetail	-0.2	-0.1	3.4	46.33	-84.8	5.7	1	1	1
155	14	UiEquipDetail	-0.09	-0.03	0.53	-110	90	90	1	1	1
156	14	UiEquipBreakThrough	-0.09	-0.03	0.53	-110	90	90	1	1	1
157	14	UiEquipResonanceSelect	-0.09	-0.03	0.53	-110	90	90	1	1	1
158	14	UiEquipResonanceSelectAfter	1.97	1.15	-28.2	-110	90	90	1	1	1
159	14	UiEquipResonanceSkill	-0.09	-0.03	0.53	-110	90	90	1	1	1
160	14	UiEquipStrengthen	-0.09	-0.03	0.53	-110	90	90	1	1	1
161	14	UiDrawShow	0	0.2	1.3	-70	-90	-90	1	1	1
162	14	UiDrawActivityShow	0	0.2	1.3	-70	-90	-90	1	1	1
163	14	UiArchiveWeaponDetail	-0.02	-0.14	-0.5	-110	90	90	1	1	1
164	14	UiFashion	-0.09	-0.03	0.53	-110	90	90	2.55	2.55	2.55
165	14	UiFashionDetail	-0.09	-0.03	0.53	-110	90	90	1	1	1
166	15	UiEquipDetail	-0.45	0.31	2.1	-20	-90	0	1	1	1
167	15	UiEquipBreakThrough	-0.45	0.31	2.1	-20	-90	0	1	1	1
168	15	UiEquipResonanceSelect	-0.45	0.31	2.1	-20	-90	0	1	1	1
169	15	UiEquipResonanceSelectAfter	1.97	2.16	-26.1	-20	-90	0	1	1	1
170	15	UiEquipResonanceSkill	-0.45	0.31	2.1	-20	-90	0	1	1	1
171	15	UiEquipStrengthen	-0.45	0.31	2.1	-25	-90	0	1	1	1
172	15	UiDrawShow	0	0.9	5	-25	-90	0	1	1	1
173	15	UiDrawActivityShow	0	0.9	5	-20	-90	0	1	1	1
174	15	UiArchiveWeaponDetail	-0.1	0.2	4.5	-25	-90	0	1	1	1
175	15	UiFashion	-0.25	0.35	2.56	-20	-90	0	1	1	1
176	15	UiFashionDetail	-0.25	0.35	2.56	-20	-90	0	1	1	1
177	16	UiEquipDetail	-0.4	0.48	1.59	60	-90	90	1	1	1
178	16	UiEquipBreakThrough	-0.4	0.48	1.59	60	-90	90	1	1	1
179	16	UiEquipResonanceSelect	-0.4	0.48	1.59	60	-90	90	1	1	1
180	16	UiEquipResonanceSelectAfter	1.97	1.82	-26.7	50	-90	90	1	1	1
181	16	UiEquipResonanceSkill	-0.4	0.48	1.59	60	-90	90	1	1	1
182	16	UiEquipStrengthen	-0.4	0.48	1.59	60	-90	90	1	1	1
183	16	UiDrawShow	0	0.8	4	45	-190	-90	1	1	1
184	16	UiDrawActivityShow	0	0.8	4	45	-190	-90	1	1	1
185	16	UiArchiveWeaponDetail	-0.1	0.35	3	60	-90	90	1	1	1
186	16	UiFashion	-0.26	0.43	1	60	-90	90	1	1	1
187	16	UiFashionDetail	-0.26	0.43	1	60	-90	90	1	1	1
188	17	UiEquipDetail	-0.04	-0.01	0.18	40	90	90	1	1	1
189	17	UiEquipBreakThrough	-0.04	-0.01	0.18	40	90	90	1	1	1
190	17	UiEquipResonanceSelect	-0.04	-0.01	0.18	40	90	90	1	1	1
191	17	UiEquipResonanceSelectAfter	1.97	1.09	-28.62	40	90	90	1	1	1
192	17	UiEquipResonanceSkill	-0.04	-0.01	0.18	40	90	90	1	1	1
193	17	UiEquipStrengthen	-0.04	-0.01	0.18	40	90	90	1	1	1
194	17	UiDrawShow	0	0.21	0.48	40	90	90	1	1	1
195	17	UiDrawActivityShow	0	0.21	0.48	40	90	90	1	1	1
196	17	UiArchiveWeaponDetail	-0.01	-0.15	-1.8	40	90	90	1	1	1
197	17	UiFashion	-0.21	-0.01	0.58	40	90	90	6	6	6
198	17	UiFashionDetail	-0.04	-0.01	0.58	40	90	90	6	6	6
199	1	UiLottoShow	0.05	0.2	1.2	0	0	0	1	1	1
200	2	UiLottoShow	0.4	0.35	3	110	-90	0	1	1	1
201	3	UiLottoShow	0.05	0.2	3	10	-90	0	1	1	1
202	4	UiLottoShow	-0.1	0.25	3.6	-80	-90	0	1	1	1
203	5	UiLottoShow	0.4	0.4	2.8	180	0	-20	1	1	1
204	6	UiLottoShow	0.6	0.45	4.8	0	0	20	1	1	1
205	7	UiLottoShow	0.1	0.2	5	0	0	20	1	1	1
206	8	UiLottoShow	0.15	0.38	2	180	0	-20	1	1	1
207	9	UiLottoShow	0	0.08	5.35	8	0	8	1	1	1
208	10	UiLottoShow	0	0.45	4.8	32	83	90	1	1	1
209	99	UiLottoShow	1.2	0.2	4	50	0	20	1	1	1
210	18	UiEquipDetail	-0.12	-0.2	1.1	0	180	0	1	1	1
211	18	UiEquipBreakThrough	-0.12	-0.2	1.1	0	180	0	1	1	1
212	18	UiEquipResonanceSelect	-0.12	-0.2	1.1	0	180	0	1	1	1
213	18	UiEquipResonanceSelectAfter	1.95	1.09	-27.52	0	180	0	1	1	1
214	18	UiEquipResonanceSkill	-0.12	-0.2	1.1	0	180	0	1	1	1
215	18	UiEquipStrengthen	-0.12	-0.2	1.1	0	180	0	1	1	1
216	18	UiDrawShow	0	0.1	2.7	0	180	0	1	1	1
217	18	UiDrawActivityShow	0	0.1	2.7	0	180	0	1	1	1
218	18	UiLottoShow	0	0	0	0	0	0	1	1	1
219	18	UiArchiveWeaponDetail	0	-0.32	1.3	0	180	0	1	1	1
220	18	UiFashion	-0.05	-0.2	0	0	180	0	1	1	1
221	18	UiFashionDetail	-0.05	-0.2	0	0	180	0	1	1	1
222	19	UiEquipDetail	-0.13	-0.28	1.5	10	145	-25	1	1	1
223	19	UiEquipBreakThrough	-0.13	-0.28	1.5	10	145	-25	1	1	1
224	19	UiEquipResonanceSelect	-0.13	-0.28	1.5	10	145	-25	1	1	1
225	19	UiEquipResonanceSelectAfter	2	1.1	-26.8	10	145	-25	1	1	1
226	19	UiEquipResonanceSkill	-0.13	-0.28	1.5	10	145	-25	1	1	1
227	19	UiEquipStrengthen	-0.13	-0.28	1.5	10	145	-25	1	1	1
228	19	UiDrawShow	0	0	3.5	10	145	-25	1	1	1
229	19	UiDrawActivityShow	0	0	3.5	10	145	-25	1	1	1
230	19	UiLottoShow	0	0	0	0	0	0	1	1	1
231	19	UiArchiveWeaponDetail	0	-0.4	1.8	10	145	-25	1	1	1
232	19	UiFashion	-0.23	-0.21	0.9	10	145	-25	1	1	1
233	19	UiFashionDetail	0.02	-0.31	1.63	10	145	-25	1	1	1
234	20	UiEquipDetail	-0.2	0.06	1.25	150	90	0	1	1	1
235	20	UiEquipBreakThrough	-0.2	0.06	1.25	150	90	0	1	1	1
236	20	UiEquipResonanceSelect	-0.2	0.06	1.25	150	90	0	1	1	1
237	20	UiEquipResonanceSelectAfter	2	1.4	-27.35	150	90	0	1	1	1
238	20	UiEquipResonanceSkill	-0.2	0.06	1.25	150	90	0	1	1	1
239	20	UiEquipStrengthen	-0.2	0.06	1.25	150	90	0	1	1	1
240	20	UiDrawShow	0	0.37	3.1	150	90	0	1	1	1
241	20	UiDrawActivityShow	0	0.37	3.1	150	90	0	1	1	1
242	20	UiLottoShow	0	0	0	0	0	0	1	1	1
243	20	UiArchiveWeaponDetail	-0.05	0	1.5	150	90	0	1	1	1
244	20	UiFashion	-0.23	0.12	0.8	150	90	0	1	1	1
245	20	UiFashionDetail	-0.23	0.12	0.8	150	90	0	1	1	1
246	21	UiEquipDetail	-0.21	-0.43	1.25	0	246	0	1	1	1
247	21	UiEquipBreakThrough	-0.21	-0.43	1.25	0	246	0	1	1	1
248	21	UiEquipResonanceSelect	-0.21	-0.43	1.25	0	246	0	1	1	1
249	21	UiEquipResonanceSelectAfter	1.9	0.96	-27	0	246	0	1	1	1
250	21	UiEquipResonanceSkill	-0.21	-0.43	1.25	0	246	0	1	1	1
251	21	UiEquipStrengthen	-0.21	-0.43	1.25	0	246	0	1	1	1
252	21	UiDrawShow	0	-0.08	2.8	0	246	0	1	1	1
253	21	UiDrawActivityShow	0	-0.08	2.8	0	246	0	1	1	1
254	21	UiLottoShow	0	0	0	0	0	0	0	0	0
255	21	UiArchiveWeaponDetail	-0.03	-0.49	0.9	0	246	0	1	1	1
256	21	UiFashion	-0.18	-0.39	0	0	246	0	1	1	1
257	21	UiFashionDetail	-0.18	-0.39	0	0	246	0	1	1	1
258	23	UiEquipDetail	-0.35	-0.3	3	-2.5	0	-15	1	1	1
259	23	UiEquipBreakThrough	-0.35	-0.3	3	-2.5	0	-15	1	1	1
260	23	UiEquipResonanceSelect	-0.35	-0.3	3	-2.5	0	-15	1	1	1
261	23	UiEquipResonanceSelectAfter	1.9	1	-25	0	0	-15	1	1	1
262	23	UiEquipResonanceSkill	-0.35	-0.3	3	-2.5	0	-15	1	1	1
263	23	UiEquipStrengthen	-0.35	-0.3	3	-2.5	0	-15	1	1	1
264	23	UiDrawShow	0	0	11	0	0	-15	1.2	1.2	1.2
265	23	UiDrawActivityShow	0	0	11	0	0	-15	1.2	1.2	1.2
266	23	UiLottoShow	0	0	0	0	0	0	1	1	1
267	23	UiArchiveWeaponDetail	-0.1	-0.35	7	-2.5	0	-15	1	1	1
268	23	UiFashion	-0.35	-0.2	6	0	0	-15	1	1	1
269	23	UiFashionDetail	-0.35	-0.2	6	0	0	-15	1	1	1
