Id	ModelName[1]	ResonanceEffectPath[1]	ResonanceEffectShowDelay[1]	AnimController[1]	UiAnimStateName[1]	UiAnimCueId[1]	UiAnimDelay[1]	UiAutoRotateDelay[1]	ModelName[2]	ResonanceEffectPath[2]	ResonanceEffectShowDelay[2]	AnimController[2]	UiAnimStateName[2]	UiAnimCueId[2]	UiAnimDelay[2]	UiAutoRotateDelay[2]	ModelName[3]	ResonanceEffectPath[3]	ResonanceEffectShowDelay[3]	AnimController[3]	UiAnimStateName[3]	UiAnimCueId[3]	UiAnimDelay[3]	UiAutoRotateDelay[3]
10130111	Assets/Product/Role/WeaponPrefab/E1GunMd030011.prefab								Assets/Product/Role/WeaponPrefab/E1GunMd030011.prefab								Assets/Product/Role/WeaponPrefab/E1GunMd030011.prefab							
10130112	Assets/Product/Role/WeaponPrefab/E1GunMd030011.prefab								Assets/Product/Role/WeaponPrefab/E1GunMd030011.prefab								Assets/Product/Role/WeaponPrefab/E1GunMd030011.prefab							
10140111	Assets/Product/Role/WeaponPrefab/E2GunMd040011.prefab								Assets/Product/Role/WeaponPrefab/E2GunMd040011.prefab								Assets/Product/Role/WeaponPrefab/E2GunMd040011.prefab							
10140112	Assets/Product/Role/WeaponPrefab/E2GunMd040011.prefab								Assets/Product/Role/WeaponPrefab/E2GunMd040011.prefab								Assets/Product/Role/WeaponPrefab/E2GunMd040011.prefab							
10150111	Assets/Product/Role/WeaponPrefab/E2GunMd050011.prefab								Assets/Product/Role/WeaponPrefab/E2GunMd050011.prefab								Assets/Product/Role/WeaponPrefab/E2GunMd050011.prefab							
10150112	Assets/Product/Role/WeaponPrefab/E2GunMd050011.prefab								Assets/Product/Role/WeaponPrefab/E2GunMd050011.prefab								Assets/Product/Role/WeaponPrefab/E2GunMd050011.prefab							
10170111	Assets/Product/Role/WeaponPrefab/E3GunMd070011.prefab								Assets/Product/Role/WeaponPrefab/E3GunMd070011.prefab								Assets/Product/Role/WeaponPrefab/E3GunMd070011.prefab							
10170112	Assets/Product/Role/WeaponPrefab/E3GunMd070011.prefab								Assets/Product/Role/WeaponPrefab/E3GunMd070011.prefab								Assets/Product/Role/WeaponPrefab/E3GunMd070011.prefab							
10170211	Assets/Product/Role/WeaponPrefab/E3GunMd080011.prefab								Assets/Product/Role/WeaponPrefab/E3GunMd080011.prefab								Assets/Product/Role/WeaponPrefab/E3GunMd080011.prefab							
10170212	Assets/Product/Role/WeaponPrefab/E3GunMd080011.prefab								Assets/Product/Role/WeaponPrefab/E3GunMd080011.prefab								Assets/Product/Role/WeaponPrefab/E3GunMd080011.prefab							
10170311	Assets/Product/Role/WeaponPrefab/E3GunMd090011.prefab			Assets/Product/Role/WeaponAnimation/Gun/E3GunMd090011/E3GunMd090011Change01.controller	Changestart01	691	300		Assets/Product/Role/WeaponPrefab/E3GunMd090011.prefab			Assets/Product/Role/WeaponAnimation/Gun/E3GunMd090011/E3GunMd090011Change01.controller	Changestart01	691	300		Assets/Product/Role/WeaponPrefab/E3GunMd090011.prefab			Assets/Product/Role/WeaponAnimation/Gun/E3GunMd090011/E3GunMd090011Change01.controller	Changestart01	691	300	
10170312	Assets/Product/Role/WeaponPrefab/E3GunMd090011.prefab			Assets/Product/Role/WeaponAnimation/Gun/E3GunMd090011/E3GunMd090011Change01.controller	Changestart01	691	300		Assets/Product/Role/WeaponPrefab/E3GunMd090011.prefab			Assets/Product/Role/WeaponAnimation/Gun/E3GunMd090011/E3GunMd090011Change01.controller	Changestart01	691	300		Assets/Product/Role/WeaponPrefab/E3GunMd090011.prefab			Assets/Product/Role/WeaponAnimation/Gun/E3GunMd090011/E3GunMd090011Change01.controller	Changestart01	691	300	
10170321	Assets/Product/Role/WeaponPrefab/E3GunMd090011.prefab			Assets/Product/Role/WeaponAnimation/Gun/E3GunMd090011/E3GunMd090011Change02.controller	Changestart02	692	300		Assets/Product/Role/WeaponPrefab/E3GunMd090011.prefab			Assets/Product/Role/WeaponAnimation/Gun/E3GunMd090011/E3GunMd090011Change02.controller	Changestart02	692	300		Assets/Product/Role/WeaponPrefab/E3GunMd090011.prefab			Assets/Product/Role/WeaponAnimation/Gun/E3GunMd090011/E3GunMd090011Change02.controller	Changestart02	692	300	
