Id	PluginDropTypeId	PluginId	Weight	InactiveWeightIncrease	ActiveWeightIncrease
1	101	573	1000	10000	5000
2	101	574	1000	10000	5000
3	101	579	1000	10000	5000
4	101	580	1000	10000	5000
5	101	585	1000	10000	5000
6	101	586	1000	10000	5000
7	101	591	1000	10000	5000
8	101	592	1000	10000	5000
9	101	597	1000	10000	5000
10	101	598	1000	10000	5000
11	101	603	1000	10000	5000
12	101	604	1000	10000	5000
13	101	609	1000	10000	5000
14	101	610	1000	10000	5000
15	101	615	1000	10000	5000
16	101	616	1000	10000	5000
17	101	621	1000	10000	5000
18	101	622	1000	10000	5000
19	101	627	1000	10000	5000
20	101	628	1000	10000	5000
21	101	633	1000	10000	5000
22	101	634	1000	10000	5000
23	101	639	1000	10000	5000
24	101	640	1000	10000	5000
25	101	645	1000	10000	5000
26	101	646	1000	10000	5000
27	101	651	1000	10000	5000
28	101	652	1000	10000	5000
29	101	657	1000	10000	5000
30	101	658	1000	10000	5000
31	101	663	1000	10000	5000
32	101	667	1000	10000	5000
33	101	671	1000	10000	5000
34	101	675	1000	10000	5000
35	101	679	1000	10000	5000
36	101	683	1000	10000	5000
37	101	687	1000	10000	5000
38	101	691	1000	10000	5000
39	101	692	1000	10000	5000
40	101	697	1000	10000	5000
41	101	698	1000	10000	5000
42	101	703	1000	10000	5000
43	101	704	1000	10000	5000
44	101	709	1000	10000	5000
45	101	710	1000	10000	5000
46	101	715	1000	10000	5000
47	101	716	1000	10000	5000
48	101	721	1000	10000	5000
49	101	722	1000	10000	5000
50	101	727	1000	10000	5000
51	101	731	1000	10000	5000
52	101	732	1000	10000	5000
53	101	737	1000	10000	5000
54	101	741	1000	10000	5000
55	101	745	1000	10000	5000
56	101	749	1000	10000	5000
57	101	753	1000	10000	5000
58	101	757	1000	10000	5000
59	101	758	1000	10000	5000
60	101	763	1000	10000	5000
61	101	764	1000	10000	5000
62	111	9	1000	10000	5000
63	111	13	1000	10000	5000
64	111	17	1000	10000	5000
65	111	21	1000	10000	5000
66	111	25	1000	10000	5000
67	111	29	1000	10000	5000
68	111	33	1000	10000	5000
69	111	37	1000	10000	5000
70	111	41	1000	10000	5000
71	111	45	1000	10000	5000
72	111	49	1000	10000	5000
73	111	53	1000	10000	5000
74	111	57	1000	10000	5000
75	111	61	1000	10000	5000
76	111	65	1000	10000	5000
77	111	69	1000	10000	5000
78	111	73	1000	10000	5000
79	111	77	1000	10000	5000
80	111	81	1000	10000	5000
81	111	85	1000	10000	5000
82	111	89	1000	10000	5000
83	111	93	1000	10000	5000
84	111	97	1000	10000	5000
85	111	101	1000	10000	5000
86	111	105	1000	10000	5000
87	111	109	1000	10000	5000
88	111	113	1000	10000	5000
89	111	117	1000	10000	5000
90	111	121	1000	10000	5000
91	111	125	1000	10000	5000
92	111	129	1000	10000	5000
93	111	133	1000	10000	5000
94	111	137	1000	10000	5000
95	111	141	1000	10000	5000
96	111	145	1000	10000	5000
97	111	149	1000	10000	5000
98	111	153	1000	10000	5000
99	111	157	1000	10000	5000
100	111	161	1000	10000	5000
101	111	165	1000	10000	5000
102	111	169	1000	10000	5000
103	111	173	1000	10000	5000
104	111	177	1000	10000	5000
105	111	181	1000	10000	5000
106	111	185	1000	10000	5000
107	111	189	1000	10000	5000
108	111	193	1000	10000	5000
109	111	197	1000	10000	5000
110	111	201	1000	10000	5000
111	111	205	1000	10000	5000
112	111	209	1000	10000	5000
113	111	213	1000	10000	5000
114	111	217	1000	10000	5000
115	111	221	1000	10000	5000
116	111	225	1000	10000	5000
117	111	229	1000	10000	5000
118	111	233	1000	10000	5000
119	111	237	1000	10000	5000
120	111	241	1000	10000	5000
121	111	245	1000	10000	5000
122	111	249	1000	10000	5000
123	111	253	1000	10000	5000
124	111	257	1000	10000	5000
125	111	261	1000	10000	5000
126	111	265	1000	10000	5000
127	111	269	1000	10000	5000
128	111	273	1000	10000	5000
129	111	277	1000	10000	5000
130	111	281	1000	10000	5000
131	111	285	1000	10000	5000
132	111	289	1000	10000	5000
133	111	293	1000	10000	5000
134	111	297	1000	10000	5000
135	111	301	1000	10000	5000
136	111	305	1000	10000	5000
137	111	309	1000	10000	5000
138	111	313	1000	10000	5000
139	111	317	1000	10000	5000
140	111	321	1000	10000	5000
141	111	325	1000	10000	5000
142	111	329	1000	10000	5000
143	111	333	1000	10000	5000
144	111	337	1000	10000	5000
145	111	341	1000	10000	5000
146	111	345	1000	10000	5000
147	111	349	1000	10000	5000
148	111	353	1000	10000	5000
149	111	357	1000	10000	5000
150	111	361	1000	10000	5000
151	111	365	1000	10000	5000
152	111	369	1000	10000	5000
153	111	373	1000	10000	5000
154	111	377	1000	10000	5000
155	111	381	1000	10000	5000
156	111	385	1000	10000	5000
157	111	389	1000	10000	5000
158	111	393	1000	10000	5000
159	111	397	1000	10000	5000
160	111	401	1000	10000	5000
161	111	405	1000	10000	5000
162	111	409	1000	10000	5000
163	111	413	1000	10000	5000
164	111	417	1000	10000	5000
165	111	421	1000	10000	5000
166	111	425	1000	10000	5000
167	111	429	1000	10000	5000
168	111	433	1000	10000	5000
169	111	437	1000	10000	5000
170	111	441	1000	10000	5000
171	111	445	1000	10000	5000
172	111	449	1000	10000	5000
173	111	453	1000	10000	5000
174	111	457	1000	10000	5000
175	111	461	1000	10000	5000
176	111	465	1000	10000	5000
177	111	469	1000	10000	5000
178	111	473	1000	10000	5000
179	111	477	1000	10000	5000
180	111	481	1000	10000	5000
181	111	485	1000	10000	5000
182	111	489	1000	10000	5000
183	111	493	1000	10000	5000
184	111	497	1000	10000	5000
185	111	501	1000	10000	5000
186	111	505	1000	10000	5000
187	111	509	1000	10000	5000
188	111	513	1000	10000	5000
189	111	517	1000	10000	5000
190	111	521	1000	10000	5000
191	111	525	1000	10000	5000
192	111	529	1000	10000	5000
193	111	533	1000	10000	5000
194	111	537	1000	10000	5000
195	111	541	1000	10000	5000
196	111	545	1000	10000	5000
197	111	549	1000	10000	5000
198	111	553	1000	10000	5000
199	111	557	1000	10000	5000
200	111	561	1000	10000	5000
201	111	565	1000	10000	5000
202	111	569	1000	10000	5000
203	111	573	1000	10000	5000
204	111	574	1000	10000	5000
205	111	579	1000	10000	5000
206	111	580	1000	10000	5000
207	111	585	1000	10000	5000
208	111	586	1000	10000	5000
209	111	591	1000	10000	5000
210	111	592	1000	10000	5000
211	111	597	1000	10000	5000
212	111	598	1000	10000	5000
213	111	603	1000	10000	5000
214	111	604	1000	10000	5000
215	111	609	1000	10000	5000
216	111	610	1000	10000	5000
217	111	615	1000	10000	5000
218	111	616	1000	10000	5000
219	111	621	1000	10000	5000
220	111	622	1000	10000	5000
221	111	627	1000	10000	5000
222	111	628	1000	10000	5000
223	111	633	1000	10000	5000
224	111	634	1000	10000	5000
225	111	639	1000	10000	5000
226	111	640	1000	10000	5000
