CharacterId	RobotId	AttrType
1011002	127001	4
1021001	127002	4
1031001	127003	1
1041002	127004	1
1051001	127005	1
1061002	127006	1
1071002	127007	4
1081002	127008	1
1021002	127009	4
1031002	127010	2
1011003	127011	1
1031003	127012	1
1061003	127013	4
1071003	127014	4
1051003	127015	4
1021003	127016	1
1081003	127017	4
1091002	127018	1
1041003	127019	4
1111002	127020	4
1121002	127021	4
1021004	127022	4
1131002	127023	4
1141003	127024	1
1161002	127025	4
1171003	127026	4
1211002	127027	4
1121003	127028	4
1221002	127029	4
1131003	127030	4
1511003	127031	4
1521003	127032	1
1531003	127033	4
1541003	127034	4
1031004	127035	4
1531004	127036	4
1551003	127037	1
1051004	127038	4
1561003	127039	4
1071004	127040	4
1571003	127041	4
1041004	127042	1
1231002	127043	4
1011004	127044	4
1181003		1
1191003		1
1201003		1
