Id	ActivityId	PluginId	ConsumeCount	ConditionId[1]
1	1	9	500	
2	1	10	1500	
3	1	11	3000	
4	1	12	5000	
5	1	13	500	
6	1	14	1500	
7	1	15	3000	
8	1	16	5000	
9	1	17	500	
10	1	18	1500	
11	1	19	3000	
12	1	20	5000	
13	1	21	500	
14	1	22	1500	
15	1	23	3000	
16	1	24	5000	
17	1	25	500	
18	1	26	1500	
19	1	27	3000	
20	1	28	5000	
21	1	29	500	
22	1	30	1500	
23	1	31	3000	
24	1	32	5000	
25	1	33	500	
26	1	34	1500	
27	1	35	3000	
28	1	36	5000	
29	1	37	500	
30	1	38	1500	
31	1	39	3000	
32	1	40	5000	
33	1	41	500	
34	1	42	1500	
35	1	43	3000	
36	1	44	5000	
37	1	45	500	
38	1	46	1500	
39	1	47	3000	
40	1	48	5000	
41	1	49	500	
42	1	50	1500	
43	1	51	3000	
44	1	52	5000	
45	1	53	500	
46	1	54	1500	
47	1	55	3000	
48	1	56	5000	
49	1	57	500	
50	1	58	1500	
51	1	59	3000	
52	1	60	5000	
53	1	61	500	
54	1	62	1500	
55	1	63	3000	
56	1	64	5000	
57	1	65	500	
58	1	66	1500	
59	1	67	3000	
60	1	68	5000	
61	1	69	500	
62	1	70	1500	
63	1	71	3000	
64	1	72	5000	
65	1	73	500	
66	1	74	1500	
67	1	75	3000	
68	1	76	5000	
69	1	77	500	
70	1	78	1500	
71	1	79	3000	
72	1	80	5000	
73	1	81	500	
74	1	82	1500	
75	1	83	3000	
76	1	84	5000	
77	1	85	500	
78	1	86	1500	
79	1	87	3000	
80	1	88	5000	
81	1	89	500	
82	1	90	1500	
83	1	91	3000	
84	1	92	5000	
85	1	93	500	
86	1	94	1500	
87	1	95	3000	
88	1	96	5000	
89	1	97	500	
90	1	98	1500	
91	1	99	3000	
92	1	100	5000	
93	1	101	500	
94	1	102	1500	
95	1	103	3000	
96	1	104	5000	
97	1	105	500	
98	1	106	1500	
99	1	107	3000	
100	1	108	5000	
101	1	109	500	
102	1	110	1500	
103	1	111	3000	
104	1	112	5000	
105	1	113	500	
106	1	114	1500	
107	1	115	3000	
108	1	116	5000	
109	1	117	500	
110	1	118	1500	
111	1	119	3000	
112	1	120	5000	
113	1	121	500	
114	1	122	1500	
115	1	123	3000	
116	1	124	5000	
117	1	125	500	
118	1	126	1500	
119	1	127	3000	
120	1	128	5000	
121	1	129	500	
122	1	130	1500	
123	1	131	3000	
124	1	132	5000	
125	1	133	500	
126	1	134	1500	
127	1	135	3000	
128	1	136	5000	
129	1	137	500	
130	1	138	1500	
131	1	139	3000	
132	1	140	5000	
133	1	141	500	
134	1	142	1500	
135	1	143	3000	
136	1	144	5000	
137	1	145	500	
138	1	146	1500	
139	1	147	3000	
140	1	148	5000	
141	1	149	500	
142	1	150	1500	
143	1	151	3000	
144	1	152	5000	
145	1	153	500	
146	1	154	1500	
147	1	155	3000	
148	1	156	5000	
149	1	157	500	
150	1	158	1500	
151	1	159	3000	
152	1	160	5000	
153	1	161	500	
154	1	162	1500	
155	1	163	3000	
156	1	164	5000	
157	1	165	500	
158	1	166	1500	
159	1	167	3000	
160	1	168	5000	
161	1	169	500	
162	1	170	1500	
163	1	171	3000	
164	1	172	5000	
165	1	173	500	
166	1	174	1500	
167	1	175	3000	
168	1	176	5000	
169	1	177	500	
170	1	178	1500	
171	1	179	3000	
172	1	180	5000	
173	1	181	500	
174	1	182	1500	
175	1	183	3000	
176	1	184	5000	
177	1	185	500	
178	1	186	1500	
179	1	187	3000	
180	1	188	5000	
181	1	189	500	
182	1	190	1500	
183	1	191	3000	
184	1	192	5000	
185	1	193	500	
186	1	194	1500	
187	1	195	3000	
188	1	196	5000	
189	1	197	500	
190	1	198	1500	
191	1	199	3000	
192	1	200	5000	
193	1	201	500	
194	1	202	1500	
195	1	203	3000	
196	1	204	5000	
197	1	205	500	
