Id	GroupId	Weight	BuffId	Desc
1	1	10000	761534	Frost
2	1	10000	761537	Lightning Strike
3	1	10000	761540	Dark Corruption
4	2	10000	761530	Scorch
5	2	10000	761537	Lightning Strike
6	2	10000	761540	Dark Corruption
7	3	10000	761530	Scorch
8	3	10000	761534	Frost
9	3	10000	761537	Lightning Strike
10	3	10000	761540	Dark Corruption
11	201	10000	780282	Barrier
12	201	10000	760353	Lightning Shield
13	201	10000	760213	Agility
14	301	10000	780282	Barrier
15	301	10000	760353	Lightning Shield
16	301	10000	760391	Flash
17	401	10000	780282	Barrier
18	401	10000	760252	Berserk 2
19	401	10000	760391	Flash
20	401	10000	760353	Lightning Shield
21	501	10000	780282	Barrier
22	501	10000	760252	Berserk 2
23	501	10000	760391	Flash
24	501	10000	760353	Lightning Shield
25	501	10000	760213	Agility
26	501	10000	772595	Protection
27	501	10000	772583	Diffusion
28	601	10000	760353	Lightning Shield
29	601	10000	772595	Protection
30	601	10000	780282	Barrier
31	601	10000	760391	Flash
32	602	10000	760252	Berserk 2
33	602	10000	712002	Dominator
34	602	10000	772583	Diffusion
35	1001	10000	760353	Leaped Floor Lightning Shield
36	2001	10000	760353	Lightning Shield
37	2001	10000	760391	Agility
38	2001	10000	760252	Berserk 2
39	3001	10000	760391	Agility
40	3001	10000	760353	Lightning Shield
41	3001	10000	760252	Berserk 2
42	3002	10000	780422	Laser
43	3002	10000	772583	Diffusion
44	4001	10000	772583	Diffusion
45	4001	10000	760353	Lightning Shield
46	4001	10000	760253	Berserk 3
47	4002	10000	712002	Dominator
48	4002	10000	780422	Laser
