Id	Name	Star	Ability	CharacterId	FightEvent	FightEventLevel	FixAttrIds[1]	FixAttrLevels[1]	AttrFixGroupIds[1]	FixAttrIds[2]	FixAttrLevels[2]	AttrFixGroupIds[2]	Load	DecomposeValue	Icon	Quality	Desc	DescTips	DescInitValue	DescFixAttrId	DescCoefficient	Type	IsDisplay
1	3★ Add-on	3			224801	1							3	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	1	Clear to get a random 3★ Add-on 	(Only one Add-on of the same type can be equipped)	10000	1	5000	101	1
2	4★ Add-on	4			224801	1							3	5	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	2	Clear to get a random 4★ Add-on	(Only one Add-on of the same type can be equipped)	20000	1	5000	101	1
3	5★ Add-on	5			224801	1							4	10	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	3	Clear to get a random 5★ Add-on 	(Only one Add-on of the same type can be equipped)	30000	1	5000	101	1
4	6★ Add-on	6			224801	1							4	10	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	4	Clear to get a random 6★ Add-on 	(Only one Add-on of the same type can be equipped)	40000	1	5000	101	1
5	5★ Add-on	5			224801	1							5	50	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	3	ATK <color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Might)	(Only one Add-on of the same type can be equipped)	10000	2	5000	102	1
6	5★ Add-on	5	916	1171003	224801	1							5	50	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	3	ATK <color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Might)	(Only one Add-on of the same type can be equipped)	20000	1	5000	102	1
7	6★ Add-on	6	1450		221005	1							6	400	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	4	ATK <color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Might)	(Only one Add-on of the same type can be equipped)	30000	2	5000	102	1
8	Test Add-on 8	6	1450	1531003	225301	1							6	400	Assets/Product/Texture/Image/UiInfestorExplore/Equip052.png	4	ATK <color=#0d70bd>{0}%</color> (<color=#0d70bd>{3}</color> Might)	(Only one Add-on of the same type can be equipped)	40000	1	5000	102	1
9	Flambeau: Core I	3	290	1541003	2230233	1	4	2	302	1	1	101	3	5	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuolan4.png	1	Pinging orbs has a <color=#0d70bd>{0}%</color>(<color=#0d70bd>{3}</color> Focus) chance to cost no Deception Points.	(Only one Add-on of the same type can be equipped)	160000	4	2000	123	0
10	Flambeau: Core II	4	593	1541003	2230233	2	4	2	302	1	2	102	4	10	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuolan4.png	2	Pinging orbs has a <color=#0d70bd>{0}%</color>(<color=#0d70bd>{3}</color> Focus) chance to cost no Deception Points.	(Only one Add-on of the same type can be equipped)	320000	4	2000	123	0
11	Flambeau: Core III	5	916	1541003	2230233	3	4	3	303	1	2	102	5	50	Assets/Product/Texture/Image/RolePlayer/RoleHeadLuolan4.png	3	Pinging orbs has a <color=#0d70bd>{0}%</color>(<color=#0d70bd>{3}</color> Focus) chance to cost no Deception Points.	(Only one Add-on of the same type can be equipped)	480000	4	2000	123	0
