Id	StageId	MonsterWaveRandomGroupIds[1]	MonsterWaveRandomGroupIds[2]	MonsterWaveRandomGroupIds[3]	MonsterWaveRandomGroupIds[4]
10101	30180716	100101	100111	100121	
10102	30180717	100101	100111	100121	
10103	30180718	100101	100111	100121	
10104	30180719	100101	100111	100121	
20101	30180716	100101	100111	100121	
20102	30180717	100101	100111	100121	
20103	30180718	100101	100111	100121	
20104	30180719	100101	100111	100121	
30101	30180716	100101	100111	100121	
30102	30180717	100101	100111	100121	
30103	30180718	100101	100111	100121	
30104	30180719	100101	100111	100121	
40101	30180716	100101	100111	100121	
40102	30180717	100101	100111	100121	
40103	30180718	100101	100111	100121	
40104	30180719	100101	100111	100121	
50101	30180706	200501	200521		
60101	30180716	100101	100111	100121	
60102	30180717	100101	100111	100121	
60103	30180718	100101	100111	100121	
60104	30180719	100101	100111	100121	
70101	30180716	100101	100111	100121	
70102	30180717	100101	100111	100121	
70103	30180718	100101	100111	100121	
70104	30180719	100101	100111	100121	
80101	30180716	100101	100111	100121	
80102	30180717	100101	100111	100121	
80103	30180718	100101	100111	100121	
80104	30180719	100101	100111	100121	
90101	30180716	100101	100111	100121	
90102	30180717	100101	100111	100121	
90103	30180718	100101	100111	100121	
90104	30180719	100101	100111	100121	
100101	30180750	301001	301011		
100102	30180751	301002	301012		
110101	30180720	101101	101111	101121	
110102	30180721	101101	101111	101121	
110103	30180722	101101	101111	101121	
110104	30180723	101101	101111	101121	
120101	30180720	101101	101111	101121	
120102	30180721	101101	101111	101121	
120103	30180722	101101	101111	101121	
120104	30180723	101101	101111	101121	
130101	30180720	101101	101111	101121	
130102	30180721	101101	101111	101121	
130103	30180722	101101	101111	101121	
130104	30180723	101101	101111	101121	
140101	30180720	101101	101111	101121	
140102	30180721	101101	101111	101121	
140103	30180722	101101	101111	101121	
140104	30180723	101101	101111	101121	
150101	30180707	201501	201521		
160101	30180720	101101	101111	101121	
160102	30180721	101101	101111	101121	
160103	30180722	101101	101111	101121	
160104	30180723	101101	101111	101121	
170101	30180720	101101	101111	101121	
170102	30180721	101101	101111	101121	
170103	30180722	101101	101111	101121	
170104	30180723	101101	101111	101121	
180101	30180720	101101	101111	101121	
180102	30180721	101101	101111	101121	
180103	30180722	101101	101111	101121	
180104	30180723	101101	101111	101121	
190101	30180720	101101	101111	101121	
190102	30180721	101101	101111	101121	
190103	30180722	101101	101111	101121	
190104	30180723	101101	101111	101121	
200101	30180752	302001	302011		
200102	30180753	302002	302012		
210101	30180720	102101	102111	102121	
210102	30180721	102101	102111	102121	
210103	30180722	102101	102111	102121	
210104	30180723	102101	102111	102121	
220101	30180720	102101	102111	102121	
220102	30180721	102101	102111	102121	
220103	30180722	102101	102111	102121	
220104	30180723	102101	102111	102121	
230101	30180720	102101	102111	102121	
230102	30180721	102101	102111	102121	
230103	30180722	102101	102111	102121	
230104	30180723	102101	102111	102121	
240101	30180720	102101	102111	102121	
240102	30180721	102101	102111	102121	
240103	30180722	102101	102111	102121	
240104	30180723	102101	102111	102121	
250101	30180708	202501	202521		
260101	30180720	102101	102111	102121	
260102	30180721	102101	102111	102121	
260103	30180722	102101	102111	102121	
260104	30180723	102101	102111	102121	
270101	30180720	102101	102111	102121	
270102	30180721	102101	102111	102121	
270103	30180722	102101	102111	102121	
270104	30180723	102101	102111	102121	
280101	30180720	102101	102111	102121	
280102	30180721	102101	102111	102121	
280103	30180722	102101	102111	102121	
280104	30180723	102101	102111	102121	
290101	30180720	102101	102111	102121	
290102	30180721	102101	102111	102121	
290103	30180722	102101	102111	102121	
290104	30180723	102101	102111	102121	
300101	30180754	303001	303011		
300102	30180755	303002	303012		
310101	30180724	103101	103111	103121	
310102	30180725	103101	103111	103121	
310103	30180726	103101	103111	103121	
310104	30180727	103101	103111	103121	
