Id	GroupId	Weight	MissedWeightIncrease
101	1	10000	0
111	2	6000	0
112	2	4000	0
201	3	5000	0
202	3	4500	0
203	3	500	0
211	4	4450	0
212	4	4750	0
213	4	750	0
214	4	50	100
301	5	4175	0
302	5	4750	0
303	5	1000	0
304	5	75	108
311	6	3900	0
312	6	4000	0
313	6	2000	0
314	6	100	220
401	7	3200	0
402	7	3500	0
403	7	3000	0
404	7	300	400
501	8	3000	0
502	8	3000	0
503	8	3500	0
504	8	500	400
1001	10	2000	0
1002	10	7000	0
1003	10	1000	0
2001	11	2000	0
2002	11	6000	0
2003	11	2000	0
3001	12	3500	0
3002	12	4500	0
3003	12	2000	0
4001	13	1000	0
4002	13	6000	0
4003	13	3000	0
5001	14	2000	0
5002	14	4000	0
5003	14	4000	0
6001	15	2000	0
6002	15	3000	0
6003	15	5000	0
7001	16	500	0
7002	16	4000	0
7003	16	5500	0
8001	17	3500	0
8002	17	6500	0
9001	18	1500	0
9002	18	8500	0
